,ward_clus,업체명,경도,위도,주차장명,주차경도,주차위도,group,sum_2_y
47,12,남서울가스(주),37.4977796,127.0733765,도곡로21길7,127.0388718483,37.4925934254,48.0,4.9995099466958735
48,13,동일석유(주)남부충전소,37.4842727,126.8997642,암사1동공영주차장,127.137985,37.55275200000001,49.0,1.9852128761416503
49,13,동일석유(주)남부충전소,37.4842727,126.8997642,미근동,126.968306,37.562217,50.0,1.2193674585734506
50,13,동일석유(주)남부충전소,37.4842727,126.8997642,양재주차빌딩,127.041321,37.4785659,51.0,4.2987024918164805
51,13,동일석유(주)남부충전소,37.4842727,126.8997642,방배열린 문화센터,126.9922476,37.4889095,52.0,2.960377171032478
52,14,수도석유(주)방배충전소,37.4868961,126.973018,삼성로별관 부설,127.0521408548,37.5159099376,53.0,3.0602457661072195
53,14,수도석유(주)방배충전소,37.4868961,126.973018,가락동2(체비지),127.119759,37.494681,54.0,2.294402909811981
54,14,수도석유(주)방배충전소,37.4868961,126.973018,화곡6-1,126.84626609999998,37.5529786,55.0,1.92345296282718
55,14,수도석유(주)방배충전소,37.4868961,126.973018,하늘공원 주차장,126.880518,37.487394,56.0,2.281144856701434
56,15,(주)상현상사,37.5136307,127.0291575,교대역동측,127.0159712,37.4939238,57.0,2.9023762035984912
57,15,(주)상현상사,37.5136307,127.0291575,구룡산제2호,127.0672849458,37.4760669787,58.0,2.6068168962577905
58,15,(주)상현상사,37.5136307,127.0291575,화곡본-2,126.8485531,37.5441208,59.0,2.1983219666612155
59,15,(주)상현상사,37.5136307,127.0291575,역삼문화공원,127.03039046159999,37.5025141908,60.0,4.9995099466958735
60,16,둔촌충전소,37.5252332,127.1444095,달마을,126.871574,37.544424,61.0,2.1577341164463832
61,16,둔촌충전소,37.5252332,127.1444095,일원터널,127.078902,37.482745,62.0,3.3456668066053585
62,16,둔촌충전소,37.5252332,127.1444095,일원역,127.084056,37.484669,63.0,3.3456668066053585
63,16,둔촌충전소,37.5252332,127.1444095,더다이닝호수,127.101088,37.510556,64.0,2.673941639721189
