,Unnamed: 0,일자,지점번호,방향,시간,교통량
7020,7020,20190601,D-37,유입,0,1354.0
7050,7050,20190601,D-37,유출,0,810.0
15120,15120,20190601,D-37,유입,1,1037.0
15150,15150,20190601,D-37,유출,1,525.0
23220,23220,20190601,D-37,유입,2,747.0
23250,23250,20190601,D-37,유출,2,406.0
31320,31320,20190601,D-37,유입,3,552.0
31350,31350,20190601,D-37,유출,3,252.0
39420,39420,20190601,D-37,유입,4,460.0
39450,39450,20190601,D-37,유출,4,264.0
47520,47520,20190601,D-37,유입,5,638.0
47550,47550,20190601,D-37,유출,5,514.0
55620,55620,20190601,D-37,유입,6,1036.0
55650,55650,20190601,D-37,유출,6,1124.0
63720,63720,20190601,D-37,유입,7,1485.0
63750,63750,20190601,D-37,유출,7,1755.0
71820,71820,20190601,D-37,유입,8,2110.0
71850,71850,20190601,D-37,유출,8,2142.0
79920,79920,20190601,D-37,유입,9,2449.0
79950,79950,20190601,D-37,유출,9,2500.0
88020,88020,20190601,D-37,유입,10,2654.0
88050,88050,20190601,D-37,유출,10,2390.0
96120,96120,20190601,D-37,유입,11,2304.0
96150,96150,20190601,D-37,유출,11,2294.0
104220,104220,20190601,D-37,유입,12,2025.0
104250,104250,20190601,D-37,유출,12,2263.0
112320,112320,20190601,D-37,유입,13,2412.0
112350,112350,20190601,D-37,유출,13,2294.0
120420,120420,20190601,D-37,유입,14,2306.0
120450,120450,20190601,D-37,유출,14,2162.0
128520,128520,20190601,D-37,유입,15,2484.0
128550,128550,20190601,D-37,유출,15,2288.0
136620,136620,20190601,D-37,유입,16,2366.0
136650,136650,20190601,D-37,유출,16,2486.0
144720,144720,20190601,D-37,유입,17,2165.0
144750,144750,20190601,D-37,유출,17,2290.0
152820,152820,20190601,D-37,유입,18,1753.0
152850,152850,20190601,D-37,유출,18,2215.0
160920,160920,20190601,D-37,유입,19,1299.0
160950,160950,20190601,D-37,유출,19,1794.0
169020,169020,20190601,D-37,유입,20,1234.0
169050,169050,20190601,D-37,유출,20,1673.0
177120,177120,20190601,D-37,유입,21,1282.0
177150,177150,20190601,D-37,유출,21,1668.0
185220,185220,20190601,D-37,유입,22,1378.0
185250,185250,20190601,D-37,유출,22,1401.0
193320,193320,20190601,D-37,유입,23,1327.0
193350,193350,20190601,D-37,유출,23,897.0
