,Unnamed: 0,일자,지점번호,방향,시간,교통량
3720,3720,20190601,C-03,유입,0,1990.0
3750,3750,20190601,C-03,유출,0,1732.0
11820,11820,20190601,C-03,유입,1,1604.0
11850,11850,20190601,C-03,유출,1,1230.0
19920,19920,20190601,C-03,유입,2,1169.0
19950,19950,20190601,C-03,유출,2,999.0
28020,28020,20190601,C-03,유입,3,804.0
28050,28050,20190601,C-03,유출,3,818.0
36120,36120,20190601,C-03,유입,4,961.0
36150,36150,20190601,C-03,유출,4,910.0
44220,44220,20190601,C-03,유입,5,2109.0
44250,44250,20190601,C-03,유출,5,1436.0
52320,52320,20190601,C-03,유입,6,2875.0
52350,52350,20190601,C-03,유출,6,1952.0
60420,60420,20190601,C-03,유입,7,3052.0
60450,60450,20190601,C-03,유출,7,1985.0
68520,68520,20190601,C-03,유입,8,3450.0
68550,68550,20190601,C-03,유출,8,2852.0
76620,76620,20190601,C-03,유입,9,3605.0
76650,76650,20190601,C-03,유출,9,3105.0
84720,84720,20190601,C-03,유입,10,3659.0
84750,84750,20190601,C-03,유출,10,3165.0
92820,92820,20190601,C-03,유입,11,3746.0
92850,92850,20190601,C-03,유출,11,3226.0
100920,100920,20190601,C-03,유입,12,3645.0
100950,100950,20190601,C-03,유출,12,3288.0
109020,109020,20190601,C-03,유입,13,3741.0
109050,109050,20190601,C-03,유출,13,3391.0
117120,117120,20190601,C-03,유입,14,3635.0
117150,117150,20190601,C-03,유출,14,3205.0
125220,125220,20190601,C-03,유입,15,3675.0
125250,125250,20190601,C-03,유출,15,3391.0
133320,133320,20190601,C-03,유입,16,3665.0
133350,133350,20190601,C-03,유출,16,3547.0
141420,141420,20190601,C-03,유입,17,3672.0
141450,141450,20190601,C-03,유출,17,3448.0
149520,149520,20190601,C-03,유입,18,3238.0
149550,149550,20190601,C-03,유출,18,3146.0
157620,157620,20190601,C-03,유입,19,3003.0
157650,157650,20190601,C-03,유출,19,2457.0
165720,165720,20190601,C-03,유입,20,2751.0
165750,165750,20190601,C-03,유출,20,2668.0
173820,173820,20190601,C-03,유입,21,2699.0
173850,173850,20190601,C-03,유출,21,2973.0
181920,181920,20190601,C-03,유입,22,2469.0
181950,181950,20190601,C-03,유출,22,2523.0
190020,190020,20190601,C-03,유입,23,2057.0
190050,190050,20190601,C-03,유출,23,1674.0
3721,3721,20190602,C-03,유입,0,1405.0
3751,3751,20190602,C-03,유출,0,1312.0
11821,11821,20190602,C-03,유입,1,1028.0
11851,11851,20190602,C-03,유출,1,992.0
19921,19921,20190602,C-03,유입,2,754.0
19951,19951,20190602,C-03,유출,2,712.0
