,Unnamed: 0,일자,지점번호,방향,시간,교통량
1980,1980,20190601,B-10,유입,0,1420.0
2010,2010,20190601,B-10,유출,0,2477.0
10080,10080,20190601,B-10,유입,1,955.0
10110,10110,20190601,B-10,유출,1,1683.0
18180,18180,20190601,B-10,유입,2,739.0
18210,18210,20190601,B-10,유출,2,1276.0
26280,26280,20190601,B-10,유입,3,557.0
26310,26310,20190601,B-10,유출,3,1106.0
34380,34380,20190601,B-10,유입,4,854.0
34410,34410,20190601,B-10,유출,4,1667.0
42480,42480,20190601,B-10,유입,5,1643.0
42510,42510,20190601,B-10,유출,5,3905.0
50580,50580,20190601,B-10,유입,6,2777.0
50610,50610,20190601,B-10,유출,6,6045.0
58680,58680,20190601,B-10,유입,7,3225.0
58710,58710,20190601,B-10,유출,7,6438.0
66780,66780,20190601,B-10,유입,8,4585.0
66810,66810,20190601,B-10,유출,8,6513.0
74880,74880,20190601,B-10,유입,9,5715.0
74910,74910,20190601,B-10,유출,9,6103.0
82980,82980,20190601,B-10,유입,10,5016.0
83010,83010,20190601,B-10,유출,10,6028.0
91080,91080,20190601,B-10,유입,11,4914.0
91110,91110,20190601,B-10,유출,11,5944.0
99180,99180,20190601,B-10,유입,12,5167.0
99210,99210,20190601,B-10,유출,12,5959.0
107280,107280,20190601,B-10,유입,13,5343.0
107310,107310,20190601,B-10,유출,13,5991.0
115380,115380,20190601,B-10,유입,14,5247.0
115410,115410,20190601,B-10,유출,14,5939.0
123480,123480,20190601,B-10,유입,15,5440.0
123510,123510,20190601,B-10,유출,15,5863.0
131580,131580,20190601,B-10,유입,16,5312.0
131610,131610,20190601,B-10,유출,16,5879.0
139680,139680,20190601,B-10,유입,17,5028.0
139710,139710,20190601,B-10,유출,17,5918.0
147780,147780,20190601,B-10,유입,18,4669.0
147810,147810,20190601,B-10,유출,18,5835.0
155880,155880,20190601,B-10,유입,19,4963.0
155910,155910,20190601,B-10,유출,19,4953.0
163980,163980,20190601,B-10,유입,20,5186.0
164010,164010,20190601,B-10,유출,20,4589.0
172080,172080,20190601,B-10,유입,21,5290.0
172110,172110,20190601,B-10,유출,21,4096.0
180180,180180,20190601,B-10,유입,22,4020.0
180210,180210,20190601,B-10,유출,22,3654.0
188280,188280,20190601,B-10,유입,23,2475.0
188310,188310,20190601,B-10,유출,23,2375.0
