,자치구,동,면적
196,은평구,응암1동,1.2
197,은평구,응암2동,0.78
198,은평구,신사1동,0.84
199,은평구,신사2동,1
200,은평구,증산동,0.81
201,은평구,수색동,1.29
202,은평구,진관동,11.53
203,은평구,불광2동,1.38
204,은평구,응암3동,0.63
205,은평구,역촌동,1.16
207,서대문구,천연동,1.12
208,서대문구,홍제1동,1.23
209,서대문구,홍제3동,1.05
210,서대문구,홍제2동,0.81
211,서대문구,홍은1동,1.58
212,서대문구,홍은2동,2.06
213,서대문구,남가좌1동,0.51
214,서대문구,남가좌2동,0.77
215,서대문구,북가좌1동,0.52
216,서대문구,북가좌2동,0.84
217,서대문구,충현동,0.46
218,서대문구,북아현동,0.97
219,서대문구,신촌동,2.63
220,서대문구,연희동,3.05
222,마포구,용강동,0.84
223,마포구,대흥동,0.88
224,마포구,염리동,0.43
225,마포구,신수동,0.78
226,마포구,서교동,1.65
227,마포구,합정동,1.72
228,마포구,망원1동,1.13
229,마포구,망원2동,0.67
230,마포구,연남동,0.64
231,마포구,성산1동,0.8
232,마포구,성산2동,2.07
233,마포구,상암동,8.4
234,마포구,도화동,0.62
235,마포구,서강동,1.45
236,마포구,공덕동,0.76
237,마포구,아현동,1.01
239,양천구,목1동,1.41
240,양천구,목2동,1.03
241,양천구,목3동,0.53
242,양천구,목4동,0.57
243,양천구,신월1동,0.65
244,양천구,신월2동,0.61
245,양천구,신월3동,0.87
246,양천구,신월4동,0.52
247,양천구,신월5동,0.69
248,양천구,신월6동,0.41
249,양천구,신월7동,1.19
250,양천구,신정1동,0.7
251,양천구,신정2동,0.52
252,양천구,신정3동,2.72
253,양천구,신정6동,0.96
254,양천구,신정7동,1.21
255,양천구,목5동,1.81
256,양천구,신정4동,1.01
258,강서구,염창동,1.74
259,강서구,등촌1동,0.59
260,강서구,등촌2동,0.92
261,강서구,등촌3동,0.79
262,강서구,화곡본동,0.82
263,강서구,화곡2동,1.12
264,강서구,화곡3동,0.47
265,강서구,화곡4동,0.51
266,강서구,화곡6동,1.12
267,강서구,화곡8동,0.53
268,강서구,가양1동,1.36
269,강서구,가양2동,4.7
270,강서구,가양3동,1
271,강서구,발산1동,0.99
272,강서구,공항동,10.87
273,강서구,방화1동,1.04
274,강서구,방화2동,6.41
275,강서구,방화3동,2.38
276,강서구,화곡1동,1.11
277,강서구,우장산동,2.96
279,구로구,신도림동,1.47
280,구로구,구로1동,1.02
281,구로구,구로3동,1.02
282,구로구,구로4동,0.46
283,구로구,구로5동,1.03
284,구로구,고척1동,1.16
285,구로구,고척2동,1.02
286,구로구,개봉2동,0.8
287,구로구,개봉3동,0.81
288,구로구,오류1동,0.59
289,구로구,오류2동,4.6
290,구로구,수궁동,2.67
291,구로구,가리봉동,0.4
292,구로구,구로2동,1.76
293,구로구,개봉1동,1.31
295,금천구,가산동,2.52
296,금천구,독산1동,2.09
297,금천구,독산2동,0.6
298,금천구,독산3동,0.92
299,금천구,독산4동,0.59
300,금천구,시흥1동,1.71
301,금천구,시흥2동,1.26
302,금천구,시흥3동,1.07
303,금천구,시흥4동,0.87
304,금천구,시흥5동,1.39
306,영등포구,여의동,8.4
307,영등포구,당산1동,0.75
308,영등포구,당산2동,1.55
309,영등포구,양평1동,0.88
310,영등포구,양평2동,3
311,영등포구,신길1동,0.66
312,영등포구,신길3동,0.52
313,영등포구,신길4동,0.35
314,영등포구,신길5동,0.47
315,영등포구,신길6동,0.68
316,영등포구,신길7동,0.64
317,영등포구,대림1동,0.49
318,영등포구,대림2동,0.55
319,영등포구,대림3동,0.95
320,영등포구,영등포본동,1.02
321,영등포구,영등포동,1.26
322,영등포구,도림동,0.89
323,영등포구,문래동,1.49
325,동작구,노량진2동,0.64
326,동작구,상도1동,1.51
327,동작구,상도2동,0.98
328,동작구,상도3동,0.6
329,동작구,상도4동,0.75
330,동작구,사당1동,0.79
331,동작구,사당3동,0.92
332,동작구,사당4동,0.38
333,동작구,사당5동,0.57
334,동작구,대방동,1.55
335,동작구,신대방1동,0.62
336,동작구,신대방2동,1.03
337,동작구,흑석동,1.68
338,동작구,노량진1동,1.58
339,동작구,사당2동,2.75
341,관악구,보라매동,0.76
342,관악구,청림동,0.78
343,관악구,행운동,0.39
344,관악구,낙성대동,0.3
345,관악구,중앙동,2.27
346,관악구,인헌동,1.08
347,관악구,남현동,3.27
348,관악구,서원동,0.54
349,관악구,신원동,0.64
350,관악구,서림동,0.67
351,관악구,신사동,1.38
352,관악구,신림동,0.96
353,관악구,난향동,0.8
354,관악구,조원동,0.65
355,관악구,대학동,0.55
356,관악구,은천동,1.18
357,관악구,성현동,0.68
358,관악구,청룡동,0.72
359,관악구,난곡동,8.3
360,관악구,삼성동,0.99
361,관악구,미성동,2.66
363,서초구,서초1동,1.42
364,서초구,서초2동,1.24
365,서초구,서초3동,2.93
366,서초구,서초4동,0.88
367,서초구,잠원동,1.76
368,서초구,반포본동,1.01
369,서초구,반포1동,1
370,서초구,반포2동,1.35
371,서초구,반포3동,1.28
372,서초구,반포4동,1.43
373,서초구,방배본동,0.67
374,서초구,방배1동,0.7
375,서초구,방배2동,1.93
376,서초구,방배3동,2.4
377,서초구,방배4동,0.98
378,서초구,양재1동,5.76
379,서초구,양재2동,7.58
380,서초구,내곡동,12.68
382,강남구,신사동,1.89
383,강남구,논현1동,1.25
384,강남구,논현2동,1.47
385,강남구,삼성1동,1.94
386,강남구,삼성2동,1.24
387,강남구,대치1동,0.79
388,강남구,대치4동,0.73
389,강남구,역삼1동,2.35
390,강남구,역삼2동,1.15
391,강남구,도곡1동,1.02
392,강남구,도곡2동,1.02
393,강남구,개포1동,1.27
394,강남구,개포4동,1.49
395,강남구,일원본동,0.92
396,강남구,일원1동,1.24
397,강남구,일원2동,1.43
398,강남구,수서동,6.36
399,강남구,세곡동,2.58
400,강남구,압구정동,2.53
401,강남구,청담동,2.33
402,강남구,대치2동,2
403,강남구,개포2동,2.51
405,송파구,풍납1동,0.77
406,송파구,풍납2동,1.59
407,송파구,거여1동,0.51
408,송파구,거여2동,0.53
409,송파구,마천1동,0.58
410,송파구,마천2동,0.89
411,송파구,방이1동,0.5
412,송파구,방이2동,0.8
413,송파구,오륜동,3.17
414,송파구,오금동,1.65
415,송파구,송파1동,0.79
416,송파구,송파2동,0.53
417,송파구,석촌동,0.95
418,송파구,삼전동,0.95
419,송파구,가락본동,1.13
420,송파구,가락1동,1.34
421,송파구,가락2동,0.96
422,송파구,문정1동,0.56
423,송파구,문정2동,2.2
424,송파구,장지동,1.37
425,송파구,위례동,2.55
426,송파구,잠실본동,0.94
427,송파구,잠실4동,1.56
428,송파구,잠실6동,2.79
429,송파구,잠실7동,0.6
430,송파구,잠실2동,2.18
431,송파구,잠실3동,1.49
433,강동구,강일동,2.8
434,강동구,상일동,2.65
435,강동구,명일1동,0.61
436,강동구,명일2동,0.97
437,강동구,고덕1동,1.73
438,강동구,고덕2동,2.01
439,강동구,암사2동,1.18
440,강동구,암사3동,2.51
441,강동구,천호1동,0.71
442,강동구,천호3동,0.79
443,강동구,성내1동,0.58
444,강동구,성내2동,0.67
445,강동구,성내3동,0.71
446,강동구,둔촌1동,0.92
447,강동구,둔촌2동,0.98
448,강동구,암사1동,1.02
449,강동구,천호2동,1.57
450,강동구,길동,2.17
