,Cs_id,cs_name,x_cor,y_cor,DONG_ID
0,1,양재 수소 충전소,127.034066,37.46887,242
1,2,상암수소충전소,126.878403,37.568971000000005,207
2,3,국회충전소,126.91408799999999,37.52949,326
3,4,GS칼텍스 상일 충전소,127.169795,37.545346,23
