,ward_clus,업체명,경도,위도,주차장명,주차경도,주차위도,group,sum_2_y
0,1,망우충전소,37.6005662,127.0997273,남부초공영주차장,126.9221169,37.48504129999999,1.0,2.957020017448969
1,1,망우충전소,37.6005662,127.0997273,신사동제1공영주차장,126.915444,37.4843973,2.0,2.957020017448969
2,1,망우충전소,37.6005662,127.0997273,압구정428,127.0270562016,37.5268421056,3.0,2.957020017448969
3,1,망우충전소,37.6005662,127.0997273,신구초교,127.02399152299999,37.5233612951,4.0,2.957020017448969
4,2,은평서부충전소,37.6436336,126.9190242,논현초교,127.0262216669,37.508490656599996,5.0,3.4143811875819288
5,2,은평서부충전소,37.6436336,126.9190242,삼성1동문화센터,127.0626093517,37.5143551261,6.0,3.0602457661072195
6,2,은평서부충전소,37.6436336,126.9190242,탄천주차장,127.066491114,37.5141115358,7.0,3.0602457661072195
7,2,은평서부충전소,37.6436336,126.9190242,삼성로별관 부설,127.0521408548,37.5159099376,8.0,3.0602457661072195
8,3,신내LPG충전소,37.6127083,127.0986253,탄천,127.069268,37.51289000000001,9.0,3.0602457661072195
9,3,신내LPG충전소,37.6127083,127.0986253,강남치매지원센터,127.04637764540001,37.5103116999,10.0,3.8842123820060896
10,3,신내LPG충전소,37.6127083,127.0986253,구청 부설,127.0470610826,37.5179663586,11.0,3.8842123820060896
11,3,신내LPG충전소,37.6127083,127.0986253,도곡로421,127.0564525891,37.4976788229,12.0,3.3838095301452946
12,4,신흥에너지산업(주),37.5785883,126.8981881,도곡초교,127.05446360399999,37.4995106013,13.0,3.3838095301452946
13,4,신흥에너지산업(주),37.5785883,126.8981881,도곡로21길7,127.0388718483,37.4925934254,14.0,4.9995099466958735
14,4,신흥에너지산업(주),37.5785883,126.8981881,역삼1동문화센터,127.0332824836,37.4953738379,15.0,4.9995099466958735
15,4,신흥에너지산업(주),37.5785883,126.8981881,역삼문화공원,127.03039046159999,37.5025141908,16.0,4.9995099466958735
16,5,기린에너지,37.5362563,126.8967643,도곡로327,127.0516657363,37.4961565104,17.0,4.165142987063743
17,5,기린에너지,37.5362563,126.8967643,논현로32길15,127.04343991020001,37.4842521056,18.0,3.9362597193806734
18,5,기린에너지,37.5362563,126.8967643,구룡산제2호,127.0672849458,37.4760669787,19.0,2.6068168962577905
19,5,기린에너지,37.5362563,126.8967643,포이초교,127.0514162216,37.475292873,20.0,3.529451789124256
20,6,동일석유(주)황금충전소,37.5941469,127.0736578,논현로22길,127.0468164511,37.4812594671,21.0,3.529451789124256
21,6,동일석유(주)황금충전소,37.5941469,127.0736578,개포로24길33,127.0497487923,37.4771388546,22.0,3.529451789124256
