,node1,node2,node3,node4,origin,2022,2024,2026,2028,lpg_id,node1_id,node2_id,node3_id,node4_id,origin_coor,node1_coor,node2_coor,node3_coor,node4_coor
91,마포유수지,망원동,미근동,교대역동측,(주)남양가스,0,0,0,1,34,171,172,173,174,"[37.5205794, 126.83502390000001]","[126.942649, 37.53879000000001]","[126.90645400000001, 37.559666]","[126.96830600000001, 37.562217]","[127.01597120000001, 37.4939238]"
92,무궁화 노외공영주차장,언구비 주차빌딩,서초구립 반포2동,미도아파트 앞 주차빌딩,해양가스,0,0,0,1,4,175,177,178,179,"[37.5345877, 127.08149099999999]","[127.0167575, 37.4922544]","[127.02098799999999, 37.504727]","[126.99539250000001, 37.5041685]","[127.01044399999999, 37.4999956]"
93,서래마을구립 공영주차장,반포4동 주민센터 공영주차장,이수 주차빌딩,방배1동 공영주차장,공항로충전소,0,0,0,1,38,180,181,182,183,"[37.55334000000001, 126.8564504]","[126.99865790000001, 37.497137]","[127.0003038, 37.497432]","[126.9853886, 37.4962412]","[126.99243349999999, 37.4854672]"
94,중앙로 공영 주차빌딩,사당노외,서울교통공사 사당 부설 주차장,방배열린 문화센터,복지상일충전소,0,0,0,1,73,184,185,186,187,"[37.5450485, 127.1675848]","[126.99205500000001, 37.4821794]","[126.98376299999998, 37.475302]","[126.98563600000001, 37.4763143]","[126.9922476, 37.4889095]"
95,양재주차빌딩,청계산청룡,하왕십리(건물),동대문,(주)삼표에너지 김포충전소,0,0,0,1,42,188,196,197,198,"[37.5380632, 126.7959011]","[127.041321, 37.4785659]","[127.05962199999999, 37.44665300000001]","[127.028167, 37.5605019]","[127.01213200000001, 37.567161]"
96,마장동(건물),마장동축산물 서문,응봉동(평면),성수2가1동(건물),대흥에너지산업(주),0,0,0,1,47,199,200,201,203,"[37.52972379999999, 126.84502930000001]","[127.03494189999999, 37.5700669]","[127.03854479999998, 37.5706795]","[127.03456170000001, 37.550532200000006]","[127.05638929999999, 37.5368616]"
97,송정동 (건물),용답동(건물),용답제2공영주차장,서울교통공사 인재개발원 부설 주차장,복지노원충전소,0,0,0,1,24,205,206,207,208,"[37.6868658, 127.0536446]","[127.0682035, 37.5497209]","[127.05400870000001, 37.5644539]","[127.0559285, 37.56302700000001]","[127.05688799999999, 37.562018]"
98,도선동,홍익동(건물),새싹마을 공영주차장,금호초등학교(건물),강서가스충전소,0,0,0,1,43,209,210,211,212,"[37.5549768, 126.76673799999999]","[127.0319098, 37.5656446]","[127.0338459, 37.565856]","[127.01098111, 37.56868111]","[127.0194207, 37.5523437]"
99,벤처빌딩,장위시장,경동고,종암1동,신림충전소,0,0,0,1,60,213,214,215,216,"[37.4735388, 126.9319687]","[127.04230020000001, 37.6083886]","[127.0484822, 37.6105275]","[127.012726, 37.5861472]","[127.03103700000001, 37.599277]"
100,풍납1공영,풍납2공영,풍납시장,거여동공영,(주)상현상사,0,0,0,1,64,217,218,219,220,"[37.5136307, 127.0291575]","[127.120271, 37.535527]","[127.116125, 37.535919]","[127.121273, 37.537238]","[127.15038799999999, 37.492249]"
