,pl_id,name,x_cor,y_cor,installed_2020,installed_2022,installed_2024,installed_2026,installed_2028,dong_id
0,0,남부초공영주차장,37.48504129999999,126.9221169,0,0,0,1,1,1
1,1,신사동제1공영주차장,37.4843973,126.915444,0,0,0,1,1,1
2,2,압구정428,37.5268421056,127.0270562016,0,0,0,1,1,1
3,3,신구초교,37.5233612951,127.02399152299999,0,0,0,1,1,1
4,4,논현초교,37.508490656599996,127.0262216669,0,0,0,1,1,2
5,5,삼성1동문화센터,37.5143551261,127.0626093517,0,0,0,1,1,4
6,6,탄천주차장,37.5141115358,127.066491114,0,0,1,1,1,4
7,7,삼성로별관 부설,37.5159099376,127.0521408548,0,0,1,1,1,4
8,8,탄천,37.512890000000006,127.069268,0,0,0,0,1,4
9,9,강남치매지원센터,37.5103116999,127.04637764540001,0,0,0,1,1,5
10,10,구청 부설,37.5179663586,127.0470610826,0,0,0,0,1,5
11,11,도산대로25길32,37.4976788229,127.0564525891,0,0,0,0,0,7
12,12,도곡로421,37.4976788229,127.0564525891,0,0,0,1,1,7
13,13,도곡초교,37.4995106013,127.05446360399999,0,0,0,0,1,7
14,14,도곡로21길7,37.4925934254,127.0388718483,0,0,1,1,1,8
15,15,역삼1동문화센터,37.4953738379,127.0332824836,0,0,0,1,1,8
16,16,역삼문화공원,37.5025141908,127.03039046159999,0,1,1,1,1,8
17,17,도곡로327,37.4961565104,127.0516657363,0,0,1,1,1,9
18,18,언주초교,37.4863230777,127.0367926524,0,0,0,0,0,10
19,19,논현로32길15,37.4842521056,127.04343991020001,0,0,0,1,1,11
20,20,구룡산제1호,37.4760669787,127.0672849458,0,0,0,1,0,12
21,21,구룡산제2호,37.4760669787,127.0672849458,0,0,1,0,1,12
22,22,포이초교,37.475292873,127.0514162216,0,0,0,0,1,13
23,23,논현로22길,37.4812594671,127.0468164511,0,0,0,0,1,13
24,24,개포로24길33,37.4771388546,127.0497487923,0,0,1,1,1,13
25,25,일원역,37.484669,127.084056,0,0,1,1,1,14
26,26,일원터널,37.482745,127.078902,0,1,1,1,1,14
27,27,탄천제2호,37.4931474673,127.0877676116,0,0,0,1,1,15
28,28,일원1동,37.4895657461,127.0817931211,0,0,0,1,1,15
29,29,영희초교,37.492301660500004,127.08113120590001,0,0,0,0,1,15
30,30,일원동,37.491368,127.088279,0,0,0,0,1,15
31,31,대청역,37.4949158103,127.07932019959999,0,0,0,0,0,16
32,32,밤고개로21길,37.4949158103,127.07932019959999,0,0,0,0,0,16
33,33,대청역,37.4949158103,127.07932019959999,0,0,0,0,0,16
34,34,밤고개로21길,37.4949158103,127.07932019959999,0,0,0,0,0,16
35,35,수서역,37.487944,127.09993500000002,0,0,1,1,1,17
36,36,대왕초교,37.464621355700004,127.1055894642,0,0,0,0,0,18
37,37,대왕초교,37.464621355700004,127.1055894642,0,0,0,0,0,18
38,38,언북초교,37.520126074000004,127.0447140682,0,0,1,1,1,20
39,39,대치2동문화센터,37.5023060444,127.064187116,0,0,0,0,0,21
40,40,학여울역,37.495109,127.06985700000001,0,0,0,0,0,21
41,41,개포동공원,37.4897076707,127.068292231,0,0,1,1,1,22
42,42,강일동공영주차장,37.566151,127.172156,0,0,0,1,1,23
43,43,명일동공영주차장,37.551013,127.142896,0,0,0,0,1,25
44,44,명일동,37.55358,127.155883,0,0,0,0,1,26
45,45,온조대왕옆공영주차장,37.555670210900004,127.15693564969999,0,0,0,1,1,28
46,46,천호1동공영주차장,37.54480220000001,127.13631699999999,0,0,0,1,1,31
47,47,고분다리전통시장공영주차장,37.542834,127.132024,0,0,0,1,1,31
48,48,천호3동공영주차장,37.539087,127.133257,0,0,0,0,0,32
49,49,안말공영주차장,37.531212,127.12990500000001,0,0,0,0,0,34
50,50,암사1동공영주차장,37.552752000000005,127.13798500000001,0,0,1,1,1,38
51,51,천호역,37.538507,127.125128,0,1,0,0,0,39
52,52,해공공영주차장,37.541035,127.12883500000001,0,0,0,0,0,39
53,53,천호유수지공영주차장,37.544765000000005,127.121876,0,0,0,0,0,39
54,54,천호2동공영주차장,37.540301,127.123006,0,0,0,0,0,39
55,55,번2동주차장,37.626781,127.036718,0,0,0,1,1,42
56,56,번동햇살주차장,37.625019,127.033142,0,0,0,0,1,42
57,57,색동공원주차장,37.633199,127.020581,0,0,0,0,0,44
58,58,수유마을시장주차장,37.630588,127.022003,0,0,0,0,0,44
59,59,수유쌈지주차장,37.632063,127.023556,0,0,0,0,0,44
60,60,수유일공원주차장,37.630619,127.017431,0,0,0,0,0,44
61,61,시범주차장,37.640013,127.02594199999999,0,0,0,1,1,46
62,62,대지시장길주차장,37.620104,127.020227,0,0,0,1,1,47
63,63,구세군길주차장,37.625959,127.013517,0,0,0,1,1,47
64,64,삼양마을공원주차장,37.622894,127.01822299999999,0,0,0,0,1,47
65,65,청암주차장,37.624664,127.01540200000001,0,0,0,0,1,47
66,66,삼양시장길주차장,37.625824,127.015677,0,0,0,0,1,47
67,67,은혜(무인)주차장,37.627919,127.016971,0,0,0,0,1,47
68,68,미아동주차장,37.628521,127.02233100000001,0,0,0,0,1,48
69,69,송중동주차장,37.611602000000005,127.033569,0,0,0,1,1,49
70,70,어울림소공원주차장,37.618584000000006,127.036247,0,0,0,1,1,49
71,71,오패산주차장,37.622054,127.031151,0,0,0,1,1,49
72,72,송천동주차장,37.614536,127.025126,0,0,0,1,1,50
73,73,우이동주차장,37.656681,127.01160700000001,0,0,0,1,1,52
74,74,교통광장주차장,37.661971,127.007884,0,0,0,1,1,52
75,75,인수동주차장,37.635193,127.019186,0,0,0,1,1,53
76,76,가오리주차장,37.641526,127.014951,0,0,0,1,1,53
77,77,등촌2-1,37.549757,126.859126,0,0,0,0,0,56
78,78,화곡본-2,37.5441208,126.84855309999999,0,0,1,1,1,58
79,79,화곡본-1,37.5397032,126.847571,0,0,0,0,1,58
80,80,화곡5-3,37.5433295,126.83354409999998,0,0,0,1,1,60
81,81,화곡7-1,37.5446015,126.834701,0,0,0,0,1,60
82,82,화곡6-1,37.5529786,126.84626609999998,0,0,1,1,1,62
83,83,화곡2-1,37.5359807,126.85023840000001,0,0,0,0,1,63
84,84,화곡8-1,37.5384651,126.8466395,0,0,0,0,1,63
85,85,화곡8-2,37.5376472,126.8481274,0,0,0,0,1,63
86,86,영보빌딩,37.563296,126.853045,0,0,0,1,1,65
87,87,가양3동,37.560525,126.85968700000001,0,0,0,0,0,66
88,88,공항동(송정역),37.560321,126.81061399999999,0,1,0,0,0,68
89,89,공항동(송정역),37.560321,126.81061399999999,0,0,0,0,0,68
90,90,공항동(송정역),37.560321,126.81061399999999,0,0,0,0,0,68
91,91,개화산역,37.572362,126.805774,0,0,0,0,0,70
92,92,개화역,37.577917,126.798208,0,0,0,0,0,70
93,93,개화산역,37.572362,126.805774,0,0,0,0,0,70
94,94,개화역,37.577917,126.798208,0,0,0,0,0,70
95,95,방화역(동),37.57725,126.813278,0,0,0,0,1,71
96,96,방화역(서),37.577527,126.812129,0,0,0,0,1,71
97,97,방화우체국,37.579612,126.814605,0,0,0,1,1,71
98,98,여울,37.5350395309,126.824149454,0,0,0,0,0,72
99,99,화곡5-2,37.5441769,126.83854790000001,0,1,1,1,1,73
100,100,보라매제1공영주차장,37.4885084,126.9345192,0,0,0,0,1,74
101,101,행운동제1공영주차장,37.4797436,126.960471,0,0,0,1,1,76
102,102,남부초공영주차장,37.48504129999999,126.9221169,0,0,0,0,0,84
103,103,신사동제1공영주차장,37.4843973,126.915444,0,0,0,0,0,84
104,104,압구정428,37.5268421056,127.0270562016,0,0,0,0,0,84
105,105,신구초교,37.5233612951,127.02399152299999,0,0,0,0,0,84
106,106,신림동제1공영주차장,37.487364,126.9233928,0,0,0,0,1,85
107,107,구로디지털단지역(상),37.484644,126.90373899999999,0,0,0,1,1,87
108,108,난우중공영주차장,37.466680700000005,126.9228102,0,0,0,0,1,92
109,109,원신공영주차장,37.470107,126.92921299999999,0,0,0,0,1,93
110,110,미성동제4공영주차장,37.4762929,126.91992150000002,0,0,0,1,1,94
111,111,민방위교육장공영주차장,37.4693484,126.91126820000001,0,0,0,1,1,94
112,112,화양동 공영,37.5452978672,127.07118091219999,0,0,0,1,1,95
113,113,광진광장 공영,37.54769328,127.0732155725,0,0,0,0,1,96
114,114,중곡3동 마을공원 공영주차장,37.5699186114,127.0846836236,0,0,0,0,1,99
115,115,능동 공영주차장,37.5540425524,127.08024292530001,0,0,0,0,1,101
116,116,구의1동 공영주차장,37.538269647,127.0878657299,0,0,0,0,1,102
117,117,구의3동 공영주차장,37.5391535787,127.09136079870001,0,0,0,0,1,104
118,118,자양유수지,37.5293858107,127.0775284419,0,0,0,0,1,107
119,119,자양4동 공영,37.5395043104,127.0683511994,0,0,0,0,1,109
120,120,구로4동 주택가 공동,37.489771000000005,126.878328,0,0,0,0,1,111
121,121,구로3동 마을공동,37.484981,126.88840800000001,0,0,0,0,0,112
122,122,구로디지털단지역,37.485258,126.90161100000002,0,0,0,0,0,112
123,123,구로리공원 지하,37.490848,126.89157800000001,0,0,0,1,1,113
124,124,대림노외,37.493238,126.893914,0,0,0,0,1,113
125,125,신도림역 환승,37.507776,126.89216299999998,0,0,0,1,1,114
126,126,구로아트밸리 지하,37.497057,126.889559,0,0,0,1,1,114
127,127,고척1동 마을공동,37.502261,126.863882,0,0,0,1,1,115
128,128,오류1동 텃골,37.495385,126.83929499999999,0,0,0,1,1,119
129,129,천왕역,37.4866,126.83888999999999,0,0,1,1,1,120
130,130,하늘공원 주차장,37.487394,126.880518,0,0,1,0,0,123
131,131,개봉1동 마을공동,37.505741,126.844893,0,0,0,0,0,124
132,132,개봉1동 노외,37.505741,126.844893,0,0,0,0,0,124
133,133,고척근린공원 지하,37.505917,126.844427,0,0,0,0,0,124
134,134,가산디지털서측,37.4856589,126.87954540000001,0,0,0,1,1,125
135,135,가산동,37.4766272,126.8955605,0,0,1,1,1,125
136,136,독산1동,37.4648929,126.8947892,0,0,1,1,1,126
137,137,독산2동,37.4638245,126.9000342,0,0,0,0,0,127
138,138,독산3동,37.4794495,126.9063345,0,0,0,0,1,128
139,139,다목적,37.4763121,126.90187490000001,0,0,0,0,1,128
140,140,구룡,37.4778365,126.9027254,0,0,0,0,1,128
141,141,독산4동,37.4693894,126.90449369999999,0,0,0,0,1,129
142,142,시흥1동,37.4506021,126.89669029999999,0,0,0,1,1,130
143,143,남부여성발전센터,37.463149,126.90603899999999,0,0,0,0,1,133
144,144,효봉,37.4607323,126.9109466,0,0,0,0,1,133
145,145,시흥4동,37.4587601,126.9067648,0,0,0,0,1,133
146,146,석계역,37.615487,127.06232800000001,0,0,0,0,0,135
147,147,월계역,37.633124,127.058825,0,0,0,0,0,136
148,148,수락산역,37.678552,127.055903,0,0,0,0,0,144
149,149,수락산역,37.678552,127.055903,0,0,0,0,0,144
150,150,당고개아래,37.667856,127.076858,0,0,0,0,0,150
151,151,창동역,37.654781,127.050827,0,0,0,0,1,164
152,152,창동역(서),37.652253,127.045832,0,0,0,0,1,165
153,153,도봉산,37.687624,127.04061599999999,0,0,0,0,0,166
154,154,휘경유수지,37.5892934,127.06958829999999,0,0,0,0,1,170
155,155,견인보관소노외,37.5892934,127.06958829999999,0,0,0,1,0,170
156,156,신설동 풍물시장,37.572531,127.02426100000001,0,0,0,1,1,172
157,157,장안2동,37.578281,127.070618,0,0,0,1,1,179
158,158,외대주차빌딩,37.5949959,127.0626233,0,0,0,1,1,180
159,159,동작구청부설,37.512187,126.940148,0,0,0,1,1,182
160,160,빙수골장미,37.493558,126.93348600000002,0,0,0,0,1,185
161,161,도화,37.499621000000005,126.934969,0,0,1,1,1,186
162,162,한누리,37.477255,126.97678799999998,0,0,0,0,0,187
163,163,대방생태,37.500189,126.92664099999999,0,1,0,0,0,191
164,164,신대방역,37.487559000000005,126.913219,0,0,1,0,1,192
165,165,구릉,37.498866,126.92731200000001,0,0,0,1,1,193
166,166,보라매공원동문,37.493882765900004,126.92354399999999,0,0,0,1,1,193
167,167,흑석빗물펌프장,37.508318,126.962708,0,0,0,0,1,194
168,168,흑석3동,37.506417,126.96228700000002,0,0,1,1,1,194
169,169,동작주차공원,37.503698,126.976331,0,0,0,1,1,196
170,170,동작대교,37.505942,126.980263,0,0,1,1,1,196
171,171,마포유수지,37.538790000000006,126.942649,0,0,0,1,1,197
172,172,망원동,37.559666,126.90645400000001,0,0,0,1,1,204
173,173,미근동,37.562217,126.96830600000001,0,0,1,0,1,223
174,174,교대역동측,37.4939238,127.01597120000001,0,0,1,1,1,227
175,175,무궁화 노외공영주차장,37.4922544,127.0167575,0,0,0,0,1,227
176,176,잠원동 방음언덕형 공영주차장,37.515762,127.016135,0,1,0,0,0,231
177,177,언구비 주차빌딩,37.504727,127.02098799999999,0,0,1,1,1,233
178,178,서초구립 반포2동,37.5041685,126.99539250000001,0,0,0,1,1,234
