기간	자치구	동	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수
기간	자치구	동	합계	주택	주택	주택	주택	아파트	연립주택	다세대주택	비거주용건물내주택
기간	자치구	동	합계	계	단독주택	다가구주택	영업겸용	아파트	연립주택	다세대주택	비거주용건물내주택
2015	동대문구	소계	98,203	20,799	6,518	11,569	2,712	59,534	3,740	12,529	1,601
2015	동대문구	회기동	2,882	773	131	511	131	1,406	52	566	85
2015	동대문구	휘경1동	3,598	1,301	270	931	100	1,434	94	699	70
2015	동대문구	휘경2동	6,701	1,020	177	750	93	4,151	414	1,075	41
2015	동대문구	청량리동	6,181	1,526	418	929	179	3,691	65	809	90
2015	동대문구	용신동	7,622	2,581	983	1,226	372	3,532	342	914	253
2015	동대문구	제기동	7,453	2,395	1,127	841	427	3,078	156	1,629	195
2015	동대문구	전농1동	7,226	2,391	827	1,324	240	3,431	180	1,115	109
2015	동대문구	전농2동	6,328	524	219	256	49	5,505	X	272	25
2015	동대문구	답십리1동	9,736	1,097	260	685	152	8,355	44	169	71
2015	동대문구	답십리2동	8,546	1,067	284	574	209	6,937	66	361	115
2015	동대문구	장안1동	9,891	966	59	627	280	6,149	1,002	1,549	225
2015	동대문구	장안2동	8,373	952	86	663	203	5,179	1,034	1,048	160
2015	동대문구	이문1동	7,421	3,131	1,250	1,669	212	1,878	289	2,010	113
2015	동대문구	이문2동	6,245	1,075	427	583	65	4,808	X	313	49
2015	중랑구	소계	99,265	21,155	2,548	15,634	2,973	50,078	4,943	21,543	1,546
2015	중랑구	면목2동	6,074	1,618	130	1,209	279	2,444	234	1,595	183
2015	중랑구	면목4동	5,385	1,148	111	881	156	2,867	219	1,084	67
2015	중랑구	면목5동	2,697	1,087	160	771	156	216	380	933	81
2015	중랑구	면목7동	5,607	1,459	286	993	180	2,626	397	1,021	104
2015	중랑구	상봉1동	7,493	727	159	475	93	5,492	296	929	49
2015	중랑구	상봉2동	3,878	1,219	122	900	197	914	164	1,452	129
2015	중랑구	중화1동	5,293	782	82	588	112	2,120	626	1,704	61
2015	중랑구	중화2동	5,183	2,482	233	1,978	271	868	597	1,094	142
2015	중랑구	묵1동	9,284	862	80	668	114	5,593	363	2,386	80
2015	중랑구	묵2동	4,507	1,134	118	853	163	1,650	194	1,399	130
2015	중랑구	망우3동	3,115	1,469	141	1,147	181	61	117	1,400	68
2015	중랑구	신내1동	12,125	476	107	287	82	10,842	229	524	54
2015	중랑구	신내2동	8,441	12	9	X	X	8,425	X	X	X
2015	중랑구	면목본동	7,231	2,703	348	2,029	326	764	253	3,397	114
2015	중랑구	면목3.8동	5,831	1,997	224	1,438	335	1,942	455	1,323	114
2015	중랑구	망우본동	7,121	1,980	238	1,417	325	3,254	419	1,302	166
2015	성북구	소계	128,046	27,180	12,933	11,311	2,936	69,725	6,518	23,097	1,526
2015	성북구	돈암1동	5,763	172	101	50	21	5,341	80	162	8
2015	성북구	돈암2동	7,473	65	48	15	X	7,162	20	221	5
2015	성북구	안암동	3,818	1,268	442	664	162	1,177	214	1,019	140
2015	성북구	보문동	3,421	1,213	517	542	154	1,305	42	765	96
2015	성북구	정릉1동	5,510	690	275	313	102	4,136	72	568	44
2015	성북구	정릉2동	7,537	1,081	667	328	86	3,157	688	2,571	40
2015	성북구	정릉3동	4,895	1,600	1,219	285	96	672	1,086	1,481	56
2015	성북구	정릉4동	8,810	624	358	189	77	5,168	877	2,093	48
2015	성북구	길음1동	11,978	296	225	54	17	11,470	59	128	25
2015	성북구	길음2동	4,840	978	607	277	94	2,810	190	820	42
2015	성북구	월곡1동	7,875	1,091	376	560	155	6,137	93	508	46
2015	성북구	월곡2동	5,390	1,252	438	683	131	3,379	172	489	98
2015	성북구	장위1동	5,624	2,143	825	1,146	172	90	518	2,759	114
2015	성북구	장위2동	4,299	2,227	665	1,301	261	220	288	1,448	116
2015	성북구	장위3동	4,127	1,965	1,007	780	178	1,306	225	563	68
2015	성북구	성북동	5,274	2,474	1,850	469	155	606	770	1,352	72
2015	성북구	삼선동	6,599	2,160	982	899	279	2,742	285	1,285	127
2015	성북구	동선동	4,118	1,223	472	531	220	1,078	369	1,309	139
2015	성북구	종암동	11,663	1,576	592	793	191	8,030	370	1,571	116
2015	성북구	석관동	9,032	3,082	1,267	1,432	383	3,739	100	1,985	126
2015	강북구	소계	91,806	19,393	5,998	11,048	2,347	32,651	4,854	33,820	1,088
2015	강북구	번1동	4,346	1,733	320	1,200	213	880	86	1,558	89
2015	강북구	번2동	6,535	317	104	171	42	2,625	240	3,325	28
2015	강북구	번3동	7,243	33	6	12	15	6,861	66	260	23
2015	강북구	수유1동	6,088	1,696	706	786	204	387	492	3,432	81
2015	강북구	수유2동	6,437	1,034	213	649	172	2,531	175	2,574	123
2015	강북구	수유3동	5,367	1,837	286	1,251	300	235	230	2,939	126
2015	강북구	삼양동	8,203	2,358	1,148	1,023	187	2,646	650	2,473	76
2015	강북구	미아동	6,145	1,557	300	1,032	225	1,099	408	2,990	91
2015	강북구	송중동	7,704	2,289	644	1,398	247	1,342	499	3,474	100
2015	강북구	송천동	6,777	3,153	1,070	1,742	341	1,255	220	2,022	127
2015	강북구	삼각산동	11,380	49	14	21	14	11,291	X	26	14
2015	강북구	우이동	6,305	1,304	506	680	118	856	704	3,354	87
2015	강북구	인수동	9,276	2,033	681	1,083	269	643	1,084	5,393	123
2015	도봉구	소계	102,443	9,404	1,748	6,078	1,578	64,082	4,242	24,014	701
2015	도봉구	쌍문1동	6,579	1,058	416	549	93	1,890	832	2,751	48
2015	도봉구	쌍문2동	6,097	699	140	457	102	2,792	270	2,283	53
2015	도봉구	쌍문3동	4,755	890	150	608	132	1,840	215	1,768	42
2015	도봉구	쌍문4동	6,784	121	51	57	13	6,116	109	426	12
2015	도봉구	방학1동	7,916	1,131	82	825	224	4,237	465	1,979	104
2015	도봉구	방학2동	5,436	1,150	86	847	217	68	844	3,286	88
2015	도봉구	방학3동	9,693	68	41	11	16	9,231	45	336	13
2015	도봉구	창1동	8,780	435	48	298	89	7,251	293	766	35
2015	도봉구	창2동	8,166	778	74	525	179	2,937	361	4,041	49
2015	도봉구	창3동	3,782	1,136	189	724	223	1,126	120	1,364	36
2015	도봉구	창4동	10,009	X	X	X	X	9,991	X	16	X
2015	도봉구	창5동	8,581	156	18	109	29	6,946	112	1,317	50
