기간	자치구	동	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수
기간	자치구	동	합계	주택	주택	주택	주택	아파트	연립주택	다세대주택	비거주용건물내주택
기간	자치구	동	합계	계	단독주택	다가구주택	영업겸용	아파트	연립주택	다세대주택	비거주용건물내주택
2015	관악구	청룡동	6,177	1,686	226	1,260	200	2,172	535	1,675	109
2015	관악구	난곡동	6,861	1,624	242	1,262	120	915	738	3,517	67
2015	관악구	삼성동	7,936	1,961	1,248	630	83	4,712	233	994	36
2015	관악구	미성동	8,126	1,240	262	803	175	3,597	440	2,741	108
2015	서초구	소계	125,403	6,773	1,090	4,609	1,074	90,084	5,722	21,474	1,350
2015	서초구	서초1동	6,277	486	151	268	67	4,425	296	972	98
2015	서초구	서초2동	6,422	107	7	81	19	5,896	85	278	56
2015	서초구	서초3동	8,447	371	47	247	77	5,251	761	1,930	134
2015	서초구	서초4동	8,280	23	X	15	6	8,133	45	71	8
2015	서초구	잠원동	10,520	252	16	172	64	9,556	123	492	97
2015	서초구	반포본동	3,664	X	X	X	X	3,662	X	X	X
2015	서초구	반포1동	8,079	492	17	403	72	5,437	305	1,771	74
2015	서초구	반포2동	5,704	X	X	X	X	5,703	X	X	X
2015	서초구	반포3동	6,341	6	X	X	5	6,335	X	X	X
2015	서초구	반포4동	6,036	138	31	84	23	3,834	977	1,024	63
2015	서초구	방배본동	5,346	331	41	215	75	3,488	162	1,297	68
2015	서초구	방배1동	4,696	484	50	377	57	1,767	249	2,115	81
2015	서초구	방배2동	6,201	1,400	115	1,137	148	2,151	357	2,219	74
2015	서초구	방배3동	6,707	341	57	251	33	4,481	307	1,546	32
2015	서초구	방배4동	7,299	729	116	445	168	3,552	314	2,563	141
2015	서초구	양재1동	14,074	585	159	325	101	10,772	871	1,712	134
2015	서초구	양재2동	5,832	416	12	283	121	909	854	3,381	272
2015	서초구	내곡동	5,478	611	269	305	37	4,732	16	103	16
2015	강남구	소계	176,654	7,437	1,060	5,010	1,367	133,127	6,106	28,122	1,862
2015	강남구	신사동	5,020	390	34	261	95	3,580	127	758	165
2015	강남구	논현1동	7,220	959	98	677	184	1,551	921	3,556	233
2015	강남구	논현2동	6,597	685	96	458	131	2,724	694	2,330	164
2015	강남구	삼성1동	4,562	241	105	93	43	3,111	381	778	51
2015	강남구	삼성2동	10,073	404	32	298	74	6,949	164	2,469	87
2015	강남구	대치1동	6,726	7	X	X	X	6,629	12	72	6
2015	강남구	대치4동	6,094	519	29	383	107	1,929	125	3,388	133
2015	강남구	역삼1동	10,758	1,316	204	874	238	2,466	1,036	5,710	230
2015	강남구	역삼2동	11,140	344	36	260	48	8,511	258	1,965	62
2015	강남구	도곡1동	6,568	135	14	93	28	5,591	187	598	57
2015	강남구	도곡2동	10,222	47	X	27	18	9,728	126	243	78
2015	강남구	개포1동	6,869	8	X	5	X	6,771	X	90	X
2015	강남구	개포4동	6,393	295	15	207	73	3,122	481	2,286	209
2015	강남구	일원본동	7,265	90	X	86	X	6,884	291	X	X
2015	강남구	일원1동	4,379	570	22	452	96	3,033	7	695	74
2015	강남구	일원2동	6,405	X	X	X	X	6,404	X	X	X
2015	강남구	수서동	6,761	47	24	18	5	6,713	X	X	X
2015	강남구	세곡동	12,097	572	230	312	30	11,400	X	122	X
2015	강남구	압구정동	8,891	178	33	87	58	7,842	251	490	130
2015	강남구	청담동	9,341	416	66	277	73	7,016	629	1,156	124
2015	강남구	대치2동	11,736	155	11	98	46	9,999	407	1,142	33
2015	강남구	개포2동	11,537	59	X	40	15	11,174	9	274	21
2015	송파구	소계	187,030	10,231	1,346	6,959	1,926	111,685	5,040	58,287	1,787
2015	송파구	풍납1동	3,482	1,084	60	926	98	1,596	206	541	55
2015	송파구	풍납2동	7,271	588	22	460	106	5,384	178	1,059	62
2015	송파구	거여1동	3,613	601	180	331	90	1,750	173	1,041	48
2015	송파구	거여2동	7,663	1,220	676	451	93	5,298	219	848	78
2015	송파구	마천1동	5,080	1,008	157	697	154	2,178	129	1,701	64
2015	송파구	마천2동	4,927	980	211	628	141	1,165	479	2,208	95
2015	송파구	방이1동	4,377	154	X	106	48	2,134	305	1,684	100
2015	송파구	방이2동	7,310	417	8	308	101	1,024	634	5,133	102
2015	송파구	오륜동	5,542	X	X	X	X	5,540	X	X	X
2015	송파구	오금동	10,017	417	X	288	125	5,315	483	3,632	170
2015	송파구	송파1동	8,147	493	5	375	113	1,267	405	5,869	113
2015	송파구	송파2동	6,055	156	X	121	34	4,548	155	1,165	31
2015	송파구	석촌동	10,671	625	X	478	144	1,030	386	8,449	181
2015	송파구	삼전동	10,308	570	X	459	111	364	316	8,946	112
2015	송파구	가락본동	7,829	362	X	205	155	4,976	243	2,109	139
2015	송파구	가락1동	206	X	X	X	X	206	X	X	X
2015	송파구	가락2동	9,911	300	X	190	107	6,368	188	2,948	107
2015	송파구	문정1동	6,080	263	X	164	99	3,181	197	2,349	90
2015	송파구	문정2동	4,496	X	X	X	X	4,494	X	X	X
2015	송파구	장지동	11,119	304	X	216	85	8,253	220	2,269	73
2015	송파구	위례동	3,898	X	X	X	X	3,898	X	X	X
2015	송파구	잠실본동	8,427	685	9	556	120	1,116	124	6,336	166
2015	송파구	잠실4동	9,722	X	X	X	X	9,721	X	X	X
2015	송파구	잠실6동	5,390	X	X	X	X	5,390	X	X	X
2015	송파구	잠실7동	3,198	X	X	X	X	3,198	X	X	X
2015	송파구	잠실2동	11,241	X	X	X	X	11,241	X	X	X
2015	송파구	잠실3동	11,050	X	X	X	X	11,050	X	X	X
2015	강동구	소계	119,824	11,345	712	8,556	2,077	78,697	3,704	24,886	1,192
2015	강동구	강일동	10,348	66	45	13	8	10,280	X	X	X
2015	강동구	상일동	7,232	259	9	139	111	5,836	636	457	44
2015	강동구	명일1동	7,563	264	9	179	76	6,306	119	806	68
2015	강동구	명일2동	4,485	167	X	100	64	4,196	X	93	29
2015	강동구	고덕1동	3,893	336	22	248	66	3,196	X	314	47
2015	강동구	고덕2동	3,716	590	16	472	102	2,771	X	316	39
2015	강동구	암사2동	4,693	238	25	168	45	3,679	86	661	29
2015	강동구	암사3동	5,474	210	77	114	19	4,730	38	479	17
2015	강동구	천호1동	6,541	1,165	32	966	167	2,571	383	2,357	65
2015	강동구	천호3동	5,618	1,203	118	976	109	3,269	169	942	35
2015	강동구	성내1동	5,544	215	6	132	77	2,640	413	2,163	113
2015	강동구	성내2동	5,368	1,398	76	1,055	267	1,741	196	1,933	100
2015	강동구	성내3동	5,951	623	8	445	170	2,488	224	2,518	98
2015	강동구	둔촌1동	5,935	5	X	X	X	5,930	X	X	X
2015	강동구	둔촌2동	7,489	598	44	431	123	4,941	238	1,638	74
2015	강동구	암사1동	8,630	1,296	32	1,050	214	2,757	311	4,181	85
2015	강동구	천호2동	7,033	1,803	161	1,396	246	2,256	272	2,521	181
2015	강동구	길동	14,311	909	26	670	213	9,110	619	3,507	166
