gu,dong,count
동작구,사당5동,6881836234.636364
동작구,상도1동,6923625464.173913
동작구,상도2동,7020770666.375
동작구,상도3동,6907493570.55
동작구,상도4동,7092599011.873925
동작구,신대방1동,6809916629.909091
동작구,신대방2동,6779480430.793103
동작구,흑석동,7024261464.733334
마포구,공덕동,3325537561.0384617
마포구,대흥동,3461224500.647059
마포구,도화동,3201775139.4
마포구,망원1동,3394863094.5555553
마포구,망원2동,3445693713.0
마포구,상암동,2202599599.501333
마포구,서강동,3365673125.392857
마포구,서교동,3377938918.023256
마포구,성산1동,3381094043.125
마포구,성산2동,3405403568.970588
마포구,신수동,3445925090.095238
마포구,아현동,3439374599.571429
마포구,연남동,3327271462.826087
마포구,염리동,3460631862.7777777
마포구,용강동,3381124715.35
마포구,합정동,3360886774.7727275
서대문구,남가좌1동,3171751083.1875
서대문구,남가좌2동,3145117349.318182
서대문구,북가좌1동,3086224665.125
서대문구,북가좌2동,2928922008.2941175
서대문구,북아현동,3447117376.6
서대문구,신촌동,3412800914.647059
서대문구,연희동,3130260266.4761906
서대문구,천연동,2478307489.388889
서대문구,충현동,2861341837.111111
서대문구,홍은1동,3152869636.769231
서대문구,홍은2동,3260848110.135135
서대문구,홍제1동,3404441089.647059
서대문구,홍제2동,3147137968.0
서대문구,홍제3동,3048994856.923077
서초구,내곡동,4070513644.4444447
서초구,반포1동,3945760882.8
서초구,반포2동,3816351793.5
서초구,반포3동,3715670229.32
서초구,반포4동,3806879558.875
서초구,반포본동,3769415849.3333335
서초구,방배1동,3568374645.8333335
서초구,방배2동,3952187014.9583335
서초구,방배3동,3686089026.8333335
서초구,방배4동,3739702764.611111
서초구,방배본동,3795671655.4666667
서초구,서초1동,3761189786.125
서초구,서초2동,4041883450.111111
서초구,서초3동,3728375211.9473686
서초구,서초4동,3928926358.9444447
서초구,양재1동,3926366388.387097
서초구,양재2동,3949319639.3103447
서초구,잠원동,3780541142.939394
성동구,금호1가동,3364218947.7222223
성동구,금호2.3가동,3333709602.387097
성동구,금호4가동,3655787653.7272725
성동구,마장동,2955199159.4814816
성동구,사근동,2957298624.5
성동구,성수1가1동,2933351892.7586207
성동구,성수1가2동,2963007307.0
성동구,성수2가1동,2720796735.413793
성동구,성수2가3동,2815678674.826087
성동구,송정동,2476200683.5454545
성동구,옥수동,3193945012.4375
성동구,왕십리2동,2890428932.714286
성동구,왕십리도선동,2802782421.296296
성동구,용답동,2254204699.448276
성동구,응봉동,2947824194.6923075
성동구,행당1동,2983219263.3333335
성동구,행당2동,3023473852.1666665
성북구,길음1동,126547593.7826087
성북구,길음2동,155068348.7
성북구,돈암1동,157134657.95
성북구,돈암2동,120748948.73684211
성북구,동선동,136111123.6818182
성북구,보문동,218093423.44
성북구,삼선동,178577471.65714285
성북구,석관동,312760315.4722222
성북구,성북동,232608735.8
성북구,안암동,4424260437.227468
성북구,월곡1동,117791613.3125
성북구,월곡2동,216205550.0
성북구,장위1동,147816665.57894737
성북구,장위2동,112233252.33333333
성북구,장위3동,284792305.8965517
성북구,정릉1동,105359673.18181819
성북구,정릉2동,170983688.77419356
성북구,정릉3동,141689412.44827586
성북구,정릉4동,197257567.88
성북구,종암동,196827989.53846154
송파구,가락1동,4200602609.8095236
송파구,가락2동,4183162784.8461537
송파구,가락본동,4080061718.6060605
송파구,거여1동,4284017171.9166665
송파구,거여2동,4345579440.333333
송파구,마천1동,4325814743.571428
송파구,마천2동,4572834480.111111
송파구,문정1동,4165489726.4666667
송파구,문정2동,4250912663.62069
송파구,방이1동,4027366973.4
송파구,방이2동,4189997889.3333335
송파구,삼전동,4089368115.7777777
송파구,석촌동,4215632453.0625
송파구,송파1동,4235044305.5333333
송파구,송파2동,4089914768.352941
송파구,오금동,4392058701.178572
송파구,오륜동,4295635035.733334
송파구,위례동,4716409736.181818
송파구,잠실2동,4234656271.8
송파구,잠실3동,4231618485.65
송파구,잠실4동,4250157268.076923
송파구,잠실6동,4145837906.0
송파구,잠실7동,4279832209.6
송파구,잠실본동,4367904744.347826
송파구,장지동,4187347072.5
송파구,풍납1동,4246810298.7272725
송파구,풍납2동,4134560465.5
양천구,목1동,5740427978.30303
양천구,목2동,5871284480.130435
양천구,목3동,5825423422.363636
양천구,목4동,5721307450.083333
양천구,목5동,5785622638.206897
양천구,신월1동,5815624383.9
양천구,신월2동,5827478339.9375
양천구,신월3동,5834274564.133333
양천구,신월4동,5779102298.0
양천구,신월5동,5843891994.25
양천구,신월6동,5837876487.3125
양천구,신월7동,6287065674.4
양천구,신정1동,5842730407.0
양천구,신정2동,5800010028.473684
양천구,신정3동,6070032098.914893
양천구,신정4동,5832861039.76
양천구,신정6동,5682932077.291667
양천구,신정7동,5706007209.518518
영등포구,당산1동,6741203897.058824
영등포구,당산2동,6718836025.666667
영등포구,대림1동,6702495228.0
영등포구,대림2동,6751901625.0
영등포구,대림3동,6746701696.541667
영등포구,도림동,6722579682.789474
영등포구,문래동,6657058258.119047
영등포구,신길1동,6686212213.037037
영등포구,신길3동,6860470777.263158
영등포구,신길4동,6736009806.25
영등포구,신길5동,6764061191.666667
영등포구,신길6동,6813943596.631579
영등포구,신길7동,6836036794.939394
영등포구,양평1동,6637423293.291667
영등포구,양평2동,6643344041.424242
영등포구,여의동,6701126711.790698
영등포구,영등포동,6747784374.434783
영등포구,영등포본동,6710607614.916667
용산구,남영동,2648401965.904762
용산구,보광동,2708141723.8
용산구,서빙고동,2693445756.4814816
용산구,용문동,2713168492.55
용산구,용산2가동,2704357676.923077
용산구,원효로1동,2672766972.9583335
용산구,원효로2동,2688255811.15
용산구,이촌1동,2654792687.259259
용산구,이촌2동,2752216887.7
용산구,이태원1동,2700406925.2
용산구,이태원2동,2688672409.2
용산구,청파동,2668499232.6538463
용산구,한강로동,2666018918.875
용산구,한남동,2679721118.970588
용산구,효창동,2713562333.090909
용산구,후암동,2644974799.1764708
은평구,갈현1동,2189694187.0
은평구,갈현2동,2156965743.8636365
은평구,구산동,2113026327.5294118
은평구,녹번동,2192531217.8
은평구,대조동,2183168488.766667
은평구,불광1동,2211657815.6
은평구,불광2동,2160943091.8
은평구,수색동,2236605741.3
은평구,신사1동,2164943142.111111
은평구,신사2동,2172399417.142857
은평구,역촌동,2159349958.609756
은평구,응암1동,2176717388.5277777
은평구,응암2동,2219026722.25
은평구,응암3동,2207297447.5555553
은평구,증산동,2189158046.529412
은평구,진관동,2236867347.5555553
종로구,가회동,1623939023.3
종로구,교남동,1771692127.764706
종로구,무악동,1654529068.0
종로구,부암동,1597098098.1904762
종로구,사직동,1653814836.909091
종로구,삼청동,1689369842.5333333
종로구,숭인1동,1281072306.375
종로구,숭인2동,1367537575.7692308
종로구,이화동,1655888976.6666667
종로구,종로1.2.3.4가동,1642308228.0
종로구,종로5.6가동,1661424013.0
종로구,창신1동,1627611831.6363637
종로구,창신2동,1634962077.6666667
종로구,창신3동,1243609324.090909
종로구,청운효자동,1591816737.0681818
종로구,평창동,1496235833.0
종로구,혜화동,1545883126.5
중구,광희동,2392885686.7297297
중구,다산동,2450102612.0
중구,동화동,2409790415.2
중구,명동,2293992814.4583335
중구,소공동,2343115527.7058825
중구,신당5동,2560009674.0
중구,신당동,2448666975.3157897
중구,약수동,2497989750.75
중구,을지로동,2418915424.285714
중구,장충동,2483201375.714286
중구,중림동,2477984152.9545455
중구,청구동,2556074225.6666665
중구,필동,2445412244.1153846
중구,황학동,2330971385.3157897
중구,회현동,2370680980.4444447
중랑구,망우3동,1085335175.142857
중랑구,망우본동,1128888664.6136363
중랑구,면목2동,1081315467.5714285
중랑구,면목4동,1025141681.0666667
중랑구,면목5동,1084391114.7
중랑구,면목7동,1026029141.8
중랑구,면목본동,1105656083.88
중랑구,면목제3.8동,1024267073.8888888
중랑구,묵1동,1123114623.1
중랑구,묵2동,1157084953.6842105
중랑구,상봉1동,1124027676.5384614
중랑구,상봉2동,1044226364.5365853
중랑구,신내1동,1160589574.7096775
중랑구,신내2동,1124739810.357143
중랑구,중화1동,1225355889.5
중랑구,중화2동,1578500846.6785715
