,업체명,주소,crawl,x,y,행정동
40,대흥에너지산업(주),서울특별시  강서구 곰달래로24길 19,서울특별시  강서구 곰달래로24길 19,37.5297238,126.8450293,화곡제1동
41,비케이서비스산업(주),서울특별시  양천구 남부순환로 311 액화석유가스충전소,서울특별시  양천구 남부순환로 311,37.5389711,126.8244415,신월5동
42,한경에너지,서울특별시  강서구 개화동로 255 LPG 충전소,서울특별시  강서구 개화동로 255,37.5706795,126.7948821,방화제2동
43,명화가스(주),서울특별시  관악구 관악로 96,서울특별시  관악구 관악로 96,37.4736762,126.9512765,낙성대동
44,(주)남양가스,서울특별시  양천구 남부순환로 538 남양가스충전소,서울특별시  양천구 남부순환로 538,37.5205794,126.8350239,신월7동
45,목동충전소,서울특별시  양천구 목동로 193 SK충전소,서울특별시  양천구 목동로 193,37.5256,126.8618748,신정4동
46,복지개화충전소,서울특별시  강서구 개화동로 416,서울특별시  강서구 개화동로 416,37.5747135,126.7995575,방화제2동
47,복지마곡충전소,서울특별시  강서구 양천로 200,서울특별시  강서구 양천로 200,37.5651159,126.8065389,가양제1동
48,대영가스 충전소,서울특별시  강서구 양천로 242 A동(충전소사무동),서울특별시  강서구 양천로 242,37.5651159,126.8065389,가양제1동
49,복지장안충전소,서울특별시  동대문구 한천로 169,서울특별시  동대문구 한천로 169,37.5761538,127.0650373,답십리2동
50,신내LPG충전소,서울특별시  중랑구 용마산로 691,서울특별시  중랑구 용마산로 691,37.6127083,127.0986253,신내1동
51,동원가스충전소,서울특별시  도봉구 도봉로 430 (창동) 동원충전소,서울특별시  도봉구 도봉로 430,37.6442559,127.0303566,창2동
52,(주)청학에너지,서울특별시  강북구 한천로 833,서울특별시  강북구 한천로 833,37.628133,127.0418651,번3동
53,해양가스,서울특별시  광진구 자양로 77 해양가스,서울특별시  광진구 자양로 77,37.5345877,127.081491,자양1동
54,신성에너지주식회사,서울특별시  노원구 동일로 1113 신성에너지(주),서울특별시  노원구 동일로 1113,37.6290624,127.06866,54
55,서울와사공업(주),서울특별시  강북구 도봉로 318 SK LPG 충전소,서울특별시  강북구 도봉로 318,37.6361977,127.0223295,번1동
56,(주)풍림에너지,서울특별시  중랑구 동일로 553 ,서울특별시  중랑구 동일로 553,37.5796396,127.0770502,면목제5동
57,케이와이에너지 (주)한영충전소,서울특별시  도봉구 도봉로 627,서울특별시  도봉구 도봉로 627,37.6605626,127.0391747,쌍문2동
58,국제가스공업(주),서울특별시  강북구 덕릉로24길 6,서울특별시  강북구 덕릉로24길 6,37.6342897,127.0196568,수유1동
59,대성산업(주)동부충전소,서울특별시  성동구 광나루로 200,서울특별시  성동구 광나루로 200,37.5504541,127.0501927,성수2가3동
60,수도에너지(주)동서울충전소,서울특별시  동대문구 망우로 57,서울특별시  동대문구 망우로 57,37.5896355,127.0572487,휘경1동
61,(주)평안에너지 도봉충전소,서울특별시  도봉구 도봉로 983,서울특별시  도봉구 도봉로 983,37.6669495,127.0037197,도봉1동
62,(주)노일가스,서울특별시  노원구 동일로 1601 동일로가스,서울특별시  노원구 동일로 1601,37.6714118,127.0533609,상계1동
63,(주)평안에너지상계충전소,서울특별시  노원구 동일로210길 86 상계충전소,서울특별시  노원구 동일로210길 86,37.6491705,127.0648569,중계2·3동
64,동일석유(주)황금충전소,서울특별시  중랑구 망우로 209,서울특별시  중랑구 망우로 209,37.5941469,127.0736578,중화제2동
65,망우충전소,서울특별시  중랑구 망우로 449,서울특별시  중랑구 망우로 449,37.6005662,127.0997273,망우본동
66,복지공릉충전소,서울특별시  노원구 화랑로 826 (공릉동),서울특별시  노원구 화랑로 826,37.6387974,127.1073596,공릉2동
67,(주)홍릉가스충전소,서울특별시  동대문구 회기로 44 ,서울특별시  동대문구 회기로 44,37.591046,127.0390423,청량리동
68,덕마가스충전소,서울특별시  성동구 왕십리로 124 (성수동1가),서울특별시  성동구 왕십리로 124,37.5487108,127.0427275,성수1가2동
69,현대오일뱅크 중곡동충전소,서울특별시  광진구 동일로 323 중곡충전소,서울특별시  광진구 동일로 323,37.5600492,127.0715211,69
70,우일에너지(주),서울특별시  성북구 종암로 201 우일에너지,서울특별시  성북구 종암로 201,37.6079111,127.0280595,길음제2동
71,(주)장위가스,서울특별시  성북구 화랑로 291,서울특별시  성북구 화랑로 291,37.6132323,127.0584353,장위제3동
72,한양에너지(주),서울특별시  광진구 동일로 381 한양에너지(주),서울특별시  광진구 동일로 381,37.5649577,127.0743513,중곡1동
73,(주)에스케이행복에너지,서울특별시  도봉구 도봉로 690,서울특별시  도봉구 도봉로 690,37.6657713,127.0413803,방학1동
74,태능가스(주),서울특별시  노원구 화랑로 405 태능가스충전소,서울특별시  노원구 화랑로 405,37.6169558,127.0703365,공릉1동
75,장안동가스충전소,서울특별시  동대문구 천호대로 353 장안동가스충전소,서울특별시  동대문구 천호대로 353,37.5628972,127.0564677,장안1동
76,복지노원충전소,서울특별시  노원구 동일로 1778,서울특별시  노원구 동일로 1778,37.6868658,127.0536446,상계1동
