기간	자치구	동	면적	면적	동	동	통	반
기간	자치구	동	면적	구성비(%)	행정	법정	통	반
2018	동대문구	이문1동	1.04	0.2	1	1	32	210
2018	동대문구	이문2동	0.69	0.1	1	-	20	167
2018	중랑구	소계	18.5	3.1	16	6	550	4 172
2018	중랑구	면목2동	0.73	0.1	1	-	36	255
2018	중랑구	면목4동	1.11	0.2	1	-	32	233
2018	중랑구	면목5동	0.64	0.1	1	-	18	143
2018	중랑구	면목7동	0.87	0.1	1	-	34	243
2018	중랑구	상봉1동	0.85	0.1	1	1	32	251
2018	중랑구	상봉2동	0.68	0.1	1	-	27	189
2018	중랑구	중화1동	0.68	0.1	1	1	26	195
2018	중랑구	중화2동	0.98	0.2	1	-	44	333
2018	중랑구	묵1동	1.2	0.2	1	1	37	317
2018	중랑구	묵2동	0.7	0.1	1	-	26	207
2018	중랑구	망우3동	0.99	0.2	1	-	25	182
2018	중랑구	신내1동	2.53	0.4	1	1	42	317
2018	중랑구	신내2동	0.99	0.2	1	-	37	259
2018	중랑구	면목본동	1.01	0.2	1	1	49	390
2018	중랑구	면목3.8동	1.67	0.3	1	-	38	295
2018	중랑구	망우본동	2.88	0.5	1	1	47	363
2018	성북구	소계	24.57	4.1	20	39	466	3 735
2018	성북구	돈암1동	0.49	0.1	1	4	18	140
2018	성북구	돈암2동	0.48	0.1	1	6	19	142
2018	성북구	안암동	1.33	0.2	1	8	22	155
2018	성북구	보문동	0.56	0.1	1	1	20	127
2018	성북구	정릉1동	0.44	0.1	1	-	16	114
2018	성북구	정릉2동	1.17	0.2	1	5	22	167
2018	성북구	정릉3동	3.71	0.6	1	7	24	170
2018	성북구	정릉4동	3.13	0.5	1	1	24	216
2018	성북구	길음1동	0.79	0.1	1	-	23	205
2018	성북구	길음2동	0.58	0.1	1	-	20	161
2018	성북구	월곡1동	0.81	0.1	1	-	22	229
2018	성북구	월곡2동	1.36	0.2	1	1	19	157
2018	성북구	장위1동	0.7	0.1	1	-	29	246
2018	성북구	장위2동	0.67	0.1	1	1	23	199
2018	성북구	장위3동	0.65	0.1	1	1	22	187
2018	성북구	성북동	2.86	0.5	1	2	21	177
2018	성북구	삼선동	0.92	0.2	1	1	26	194
2018	성북구	동선동	0.73	0.1	1	-	19	130
2018	성북구	종암동	1.46	0.2	1	-	34	267
2018	성북구	석관동	1.73	0.3	1	1	43	352
2018	강북구	소계	23.6	3.9	13	4	388	3 380
2018	강북구	번1동	0.55	0.1	1	1	27	240
2018	강북구	번2동	1.25	0.2	1	-	25	214
2018	강북구	번3동	0.86	0.1	1	-	24	230
2018	강북구	수유1동	1.07	0.2	1	1	26	218
2018	강북구	수유2동	0.73	0.1	1	-	24	218
2018	강북구	수유3동	0.86	0.1	1	-	29	235
2018	강북구	삼양동	0.95	0.2	1	-	37	329
2018	강북구	미아동	0.73	0.1	1	1	27	240
2018	강북구	송중동	1.22	0.2	1	-	41	364
2018	강북구	송천동	0.88	0.1	1	-	42	350
2018	강북구	삼각산동	0.62	0.1	1	-	31	259
2018	강북구	우이동	10.95	1.8	1	1	23	206
2018	강북구	인수동	2.93	0.5	1	-	32	277
2018	도봉구	소계	20.67	3.4	14	4	394	2 967
2018	도봉구	쌍문1동	0.88	0.1	1	1	30	217
2018	도봉구	쌍문2동	1.07	0.2	1	-	32	231
2018	도봉구	쌍문3동	0.67	0.1	1	-	19	141
2018	도봉구	쌍문4동	0.96	0.2	1	-	35	251
2018	도봉구	방학1동	0.7	0.1	1	1	25	210
2018	도봉구	방학2동	8.72	1.4	1	-	29	202
2018	도봉구	방학3동	0.83	0.1	1	-	36	303
2018	도봉구	창1동	1.24	0.2	1	1	25	189
2018	도봉구	창2동	0.54	0.1	1	-	22	183
2018	도봉구	창3동	0.5	0.1	1	-	20	138
2018	도봉구	창4동	0.52	0.1	1	-	23	167
2018	도봉구	창5동	0.69	0.1	1	-	37	274
2018	도봉구	도봉1동	0.74	0.1	1	1	28	211
2018	도봉구	도봉2동	2.64	0.4	1	-	33	250
2018	노원구	소계	35.44	5.9	19	5	710	5 869
2018	노원구	월계1동	1.16	0.2	1	1	28	229
2018	노원구	월계2동	1.94	0.3	1	-	47	350
2018	노원구	월계3동	1.17	0.2	1	-	49	435
2018	노원구	공릉2동	6.82	1.1	1	-	43	379
2018	노원구	하계1동	1.55	0.3	1	1	41	305
2018	노원구	하계2동	0.51	0.1	1	-	27	219
2018	노원구	중계본동	1.97	0.3	1	-	32	279
2018	노원구	중계1동	0.63	0.1	1	1	26	241
2018	노원구	중계4동	0.9	0.1	1	-	51	416
2018	노원구	상계1동	5.62	0.9	1	1	46	378
2018	노원구	상계2동	0.61	0.1	1	-	28	206
2018	노원구	상계5동	1.01	0.2	1	-	37	304
2018	노원구	상계8동	0.67	0.1	1	-	28	226
2018	노원구	상계9동	0.81	0.1	1	-	27	258
2018	노원구	상계10동	0.8	0.1	1	-	25	207
2018	노원구	상계3.4동	5.05	0.8	1	-	52	395
2018	노원구	상계6.7동	1.11	0.2	1	-	48	405
2018	노원구	중계2.3동	1.7	0.3	1	-	26	229
2018	노원구	공릉1동	1.41	0.2	1	1	49	408
2018	은평구	소계	29.71	4.9	16	11	561	4 193
2018	은평구	녹번동	1.79	0.3	1	1	35	284
2018	은평구	불광1동	3.13	0.5	1	1	50	370
2018	은평구	갈현1동	0.97	0.2	1	1	27	233
2018	은평구	갈현2동	0.96	0.2	1	-	30	194
2018	은평구	구산동	1.38	0.2	1	1	34	256
2018	은평구	대조동	0.85	0.1	1	1	34	247
2018	은평구	응암1동	1.2	0.2	1	1	33	241
2018	은평구	응암2동	0.78	0.1	1	-	36	241
2018	은평구	신사1동	0.84	0.1	1	1	29	224
2018	은평구	신사2동	1	0.2	1	-	28	199
2018	은평구	증산동	0.81	0.1	1	1	28	214
2018	은평구	수색동	1.29	0.2	1	1	28	228
2018	은평구	진관동	11.53	1.9	1	1	53	423
2018	은평구	불광2동	1.38	0.2	1	-	34	254
2018	은평구	응암3동	0.63	0.1	1	-	37	248
2018	은평구	역촌동	1.16	0.2	1	1	45	337
2018	서대문구	소계	17.62	2.9	14	20	514	3 704
2018	서대문구	천연동	1.12	0.2	1	5	42	275
2018	서대문구	홍제1동	1.23	0.2	1	1	46	319
2018	서대문구	홍제3동	1.05	0.2	1	-	24	184
2018	서대문구	홍제2동	0.81	0.1	1	-	36	241
2018	서대문구	홍은1동	1.58	0.3	1	1	48	302
2018	서대문구	홍은2동	2.06	0.3	1	-	38	336
2018	서대문구	남가좌1동	0.51	0.1	1	1	24	153
2018	서대문구	남가좌2동	0.77	0.1	1	-	41	326
2018	서대문구	북가좌1동	0.52	0.1	1	1	22	170
2018	서대문구	북가좌2동	0.84	0.1	1	-	42	326
2018	서대문구	충현동	0.46	0.1	1	5	25	174
2018	서대문구	북아현동	0.97	0.2	1	-	32	205
2018	서대문구	신촌동	2.63	0.4	1	5	37	238
2018	서대문구	연희동	3.05	0.5	1	1	57	455
2018	마포구	소계	23.85	3.9	16	26	418	3 313
2018	마포구	용강동	0.84	0.1	1	2	20	203
2018	마포구	대흥동	0.88	0.1	1	2	22	171
2018	마포구	염리동	0.43	0.1	1	1	20	164
2018	마포구	신수동	0.78	0.1	1	4	22	172
2018	마포구	서교동	1.65	0.3	1	2	38	284
2018	마포구	합정동	1.72	0.3	1	1	23	185
2018	마포구	망원1동	1.13	0.2	1	1	24	206
2018	마포구	망원2동	0.67	0.1	1	-	21	197
2018	마포구	연남동	0.64	0.1	1	1	22	168
2018	마포구	성산1동	0.8	0.1	1	1	21	147
2018	마포구	성산2동	2.07	0.3	1	1	38	306
2018	마포구	상암동	8.4	1.4	1	1	28	216
2018	마포구	도화동	0.62	0.1	1	2	21	200
2018	마포구	서강동	1.45	0.2	1	4	29	216
2018	마포구	공덕동	0.76	0.1	1	1	26	172
2018	마포구	아현동	1.01	0.2	1	2	43	306
2018	양천구	소계	17.41	2.9	18	3	558	4 544
2018	양천구	목1동	1.41	0.2	1	1	33	283
2018	양천구	목2동	1.03	0.2	1	-	33	251
2018	양천구	목3동	0.53	0.1	1	-	26	216
2018	양천구	목4동	0.57	0.1	1	-	27	225
2018	양천구	신월1동	0.65	0.1	1	1	29	224
2018	양천구	신월2동	0.61	0.1	1	-	26	216
2018	양천구	신월3동	0.87	0.1	1	-	24	195
2018	양천구	신월4동	0.52	0.1	1	-	18	150
2018	양천구	신월5동	0.69	0.1	1	-	18	148
2018	양천구	신월6동	0.41	0.1	1	-	18	152
2018	양천구	신월7동	1.19	0.2	1	-	34	257
2018	양천구	신정1동	0.7	0.1	1	1	26	213
2018	양천구	신정2동	0.52	0.1	1	-	22	189
2018	양천구	신정3동	2.72	0.4	1	-	72	556
2018	양천구	신정6동	0.96	0.2	1	-	28	226
2018	양천구	신정7동	1.21	0.2	1	-	36	338
2018	양천구	목5동	1.81	0.3	1	-	48	378
2018	양천구	신정4동	1.01	0.2	1	-	40	327
2018	강서구	소계	41.44	6.8	20	13	639	5 009
2018	강서구	염창동	1.74	0.3	1	1	37	347
2018	강서구	등촌1동	0.59	0.1	1	1	23	183
2018	강서구	등촌2동	0.92	0.2	1	-	20	148
2018	강서구	등촌3동	0.79	0.1	1	-	45	374
2018	강서구	화곡본동	0.82	0.1	1	1	24	169
2018	강서구	화곡2동	1.12	0.2	1	-	53	406
2018	강서구	화곡3동	0.47	0.1	1	-	21	158
2018	강서구	화곡4동	0.51	0.1	1	-	21	154
2018	강서구	화곡6동	1.12	0.2	1	-	25	177
2018	강서구	화곡8동	0.53	0.1	1	-	24	169
2018	강서구	가양1동	1.36	0.2	1	2	47	360
2018	강서구	가양2동	4.7	0.8	1	-	37	337
2018	강서구	가양3동	1	0.2	1	-	26	194
2018	강서구	발산1동	0.99	0.2	1	1	24	183
2018	강서구	공항동	10.87	1.8	1	4	31	249
2018	강서구	방화1동	1.04	0.2	1	1	44	353
2018	강서구	방화2동	6.41	1.1	1	1	32	249
2018	강서구	방화3동	2.38	0.4	1	-	38	283
2018	강서구	화곡1동	1.11	0.2	1	-	36	258
2018	강서구	우장산동	2.96	0.5	1	1	31	258
2018	구로구	소계	20.12	3.3	15	10	614	4 696
2018	구로구	신도림동	1.47	0.2	1	1	40	336
2018	구로구	구로1동	1.02	0.2	1	1	33	166
2018	구로구	구로3동	1.02	0.2	1	-	37	293
2018	구로구	구로4동	0.46	0.1	1	-	52	374
2018	구로구	구로5동	1.03	0.2	1	-	41	356
2018	구로구	고척1동	1.16	0.2	1	1	33	241
2018	구로구	고척2동	1.02	0.2	1	-	35	299
2018	구로구	개봉2동	0.8	0.1	1	-	39	305
2018	구로구	개봉3동	0.81	0.1	1	-	28	224
