기간	자치구	동	합계	합계	20대 이하(29세 이하)	20대 이하(29세 이하)	30대(30~39세)	30대(30~39세)	40대(40~49세)	40대(40~49세)	50대(50~59세)	50대(50~59세)	60대 이상(60세 이상)	60대 이상(60세 이상)
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2017	금천구	소계	31,750	228,000	605	2,067	3,534	16,958	9,880	67,578	11,540	101,183	6,191	40,214
2017	금천구	가산동	14,339	157,491	277	1,043	1,976	11,788	5,493	47,683	4,907	72,747	1,686	24,230
2017	금천구	독산1동	4,085	24,308	79	279	417	1,922	1,090	7,622	1,523	9,462	976	5,023
2017	금천구	독산2동	1,194	3,584	31	102	100	281	286	900	450	1,351	327	950
2017	금천구	독산3동	2,174	8,040	48	162	172	456	496	1,578	830	3,712	628	2,132
2017	금천구	독산4동	1,018	3,286	21	64	103	286	257	935	410	1,399	227	602
2017	금천구	시흥1동	3,023	13,776	75	187	305	1,083	745	4,271	1,094	5,361	804	2,874
2017	금천구	시흥2동	577	2,005	7	13	45	92	132	623	216	802	177	475
2017	금천구	시흥3동	3,325	10,223	38	152	231	643	956	2,825	1,374	4,209	726	2,394
2017	금천구	시흥4동	855	1,975	16	30	70	140	167	489	318	890	284	426
2017	금천구	시흥5동	1,160	3,312	13	35	115	267	258	652	418	1,250	356	1,108
2017	영등포구	소계	43,163	362,800	923	2,800	5,313	21,443	11,137	70,215	14,786	157,757	11,004	110,585
2017	영등포구	여의동	8,082	150,277	167	659	1,114	5,459	2,371	24,483	2,776	66,224	1,654	53,452
2017	영등포구	당산1동	3,153	19,916	75	194	398	1,693	874	3,721	1,010	9,522	796	4,786
2017	영등포구	당산2동	2,245	20,112	48	135	348	1,357	670	4,073	743	9,001	436	5,546
2017	영등포구	양평1동	3,114	23,033	54	152	272	1,500	692	6,501	1,042	8,965	1,054	5,915
2017	영등포구	양평2동	2,102	18,290	39	112	284	1,176	629	4,149	679	8,463	471	4,390
2017	영등포구	신길1동	1,157	6,772	26	50	130	350	248	717	399	2,183	354	3,472
2017	영등포구	신길3동	1,555	3,105	17	63	95	248	230	662	464	1,038	749	1,094
2017	영등포구	신길4동	484	1,637	3	5	34	119	114	297	153	836	180	380
2017	영등포구	신길5동	604	2,753	11	28	67	153	134	301	224	1,604	168	667
2017	영등포구	신길6동	1,282	4,564	24	46	162	548	300	1,024	464	1,944	332	1,002
2017	영등포구	신길7동	594	2,615	27	53	65	198	153	581	194	876	155	907
2017	영등포구	대림1동	1,094	4,347	29	60	137	359	242	697	379	1,084	307	2,147
2017	영등포구	대림2동	1,415	4,615	54	123	204	488	363	971	488	1,375	306	1,658
2017	영등포구	대림3동	2,140	9,929	56	165	224	764	615	2,314	767	4,289	478	2,397
2017	영등포구	영등포본동	1,482	5,520	34	94	279	735	396	1,288	431	2,109	342	1,294
2017	영등포구	영등포동	6,320	39,149	135	456	805	3,201	1,440	7,785	2,145	18,128	1,795	9,579
2017	영등포구	도림동	1,052	3,638	26	84	119	311	282	1,299	374	1,415	251	529
2017	영등포구	문래동	5,288	42,528	98	321	576	2,784	1,384	9,352	2,054	18,701	1,176	11,370
2017	동작구	소계	19,966	110,422	513	1,486	2,676	9,407	4,921	28,155	6,401	38,333	5,455	33,041
2017	동작구	노량진2동	1,634	6,715	31	84	178	567	396	2,313	567	1,896	462	1,855
2017	동작구	상도1동	1,697	8,757	48	175	269	880	469	1,725	521	2,768	390	3,209
2017	동작구	상도2동	1,344	5,059	33	81	174	626	331	1,257	428	1,988	378	1,107
2017	동작구	상도3동	1,017	2,937	20	45	112	326	221	708	310	916	354	942
2017	동작구	상도4동	934	2,787	17	30	102	400	194	703	304	809	317	845
2017	동작구	사당1동	1,856	10,295	51	146	274	985	467	3,004	609	3,566	455	2,594
2017	동작구	사당3동	959	4,219	26	80	121	360	256	1,174	296	1,281	260	1,324
2017	동작구	사당4동	664	1,791	16	32	80	204	135	364	220	705	213	486
2017	동작구	사당5동	508	1,738	8	16	78	236	133	563	152	536	137	387
2017	동작구	대방동	1,734	12,303	49	121	233	996	460	3,030	511	4,412	481	3,744
2017	동작구	신대방1동	1,052	4,104	23	49	118	314	274	864	358	1,730	279	1,147
2017	동작구	신대방2동	1,238	23,348	29	137	171	770	309	7,997	426	7,856	303	6,588
2017	동작구	흑석동	1,514	10,524	52	172	182	614	360	1,131	507	2,663	413	5,944
2017	동작구	노량진1동	2,148	9,368	58	193	282	1,099	509	1,979	689	4,420	610	1,677
2017	동작구	사당2동	1,667	6,477	52	125	302	1,030	407	1,343	503	2,787	403	1,192
2017	관악구	소계	26,374	115,390	798	2,455	3,524	13,197	6,251	26,379	8,400	39,799	7,401	33,560
2017	관악구	보라매동	1,407	7,026	46	124	244	691	362	1,419	437	2,500	318	2,292
2017	관악구	청림동	446	1,262	9	22	65	183	103	312	134	440	135	305
2017	관악구	행운동	1,480	6,467	56	173	213	729	404	2,457	424	1,480	383	1,628
2017	관악구	낙성대동	1,323	7,768	63	213	259	1,496	295	1,707	383	2,508	323	1,844
2017	관악구	중앙동	1,028	4,941	21	64	144	646	285	1,225	313	2,006	265	1,000
2017	관악구	인헌동	1,025	4,017	31	92	160	476	251	936	330	1,462	253	1,051
2017	관악구	남현동	846	4,905	35	112	118	519	183	1,298	275	1,719	235	1,257
2017	관악구	서원동	1,312	7,024	40	168	260	1,121	354	1,566	390	2,179	268	1,990
2017	관악구	신원동	847	2,355	24	56	97	222	194	593	288	926	244	558
2017	관악구	서림동	1,311	3,331	30	67	89	248	211	828	358	978	623	1,210
2017	관악구	신사동	1,384	4,721	38	137	170	475	338	1,288	513	1,938	325	883
2017	관악구	신림동	1,659	5,964	92	263	311	1,241	465	1,631	452	1,774	339	1,055
2017	관악구	난향동	426	2,144	16	44	60	154	105	811	123	583	122	552
2017	관악구	조원동	2,215	7,919	44	183	235	785	493	1,889	791	3,226	652	1,836
2017	관악구	대학동	1,669	12,981	72	236	248	743	388	1,415	508	2,840	453	7,747
2017	관악구	은천동	1,640	7,316	44	101	174	498	392	2,090	557	2,370	473	2,257
2017	관악구	성현동	877	2,928	18	45	92	266	205	635	299	1,168	263	814
2017	관악구	청룡동	1,856	11,363	56	185	258	1,108	487	2,231	569	5,344	486	2,495
2017	관악구	난곡동	973	2,426	17	47	101	282	208	472	323	984	324	641
2017	관악구	삼성동	1,052	2,338	13	19	64	159	181	439	368	995	426	726
2017	관악구	미성동	1,598	6,194	33	104	162	1,155	347	1,137	565	2,379	491	1,419
2017	서초구	소계	46,207	436,763	859	3,020	6,451	28,201	13,996	90,560	15,023	190,212	9,878	124,770
2017	서초구	서초1동	3,612	34,095	53	146	475	1,839	1,117	7,369	1,149	12,136	818	12,605
2017	서초구	서초2동	4,356	53,006	74	550	646	2,682	1,437	9,056	1,339	22,939	860	17,779
2017	서초구	서초3동	7,525	78,122	144	466	1,025	4,650	2,351	17,157	2,522	39,319	1,483	16,530
2017	서초구	서초4동	2,869	27,550	41	191	426	2,975	854	6,561	921	13,062	627	4,761
2017	서초구	잠원동	2,137	17,616	37	94	319	1,519	684	4,858	693	8,841	404	2,304
2017	서초구	반포본동	682	2,652	13	47	67	153	169	523	208	820	225	1,109
2017	서초구	반포1동	1,508	9,952	43	111	319	1,574	469	2,404	434	4,149	243	1,714
2017	서초구	반포2동	455	2,670	9	25	58	167	134	650	136	1,230	118	598
2017	서초구	반포3동	969	7,480	19	57	121	475	292	1,566	298	1,690	239	3,692
2017	서초구	반포4동	3,586	30,004	58	208	579	2,968	992	5,574	1,080	11,038	877	10,216
2017	서초구	방배본동	1,583	8,705	32	86	252	986	474	2,591	521	3,663	304	1,379
2017	서초구	방배1동	1,805	17,008	33	114	267	1,363	586	4,151	577	7,303	342	4,077
2017	서초구	방배2동	1,977	18,695	65	217	283	1,060	530	2,673	655	11,940	444	2,805
2017	서초구	방배3동	1,196	14,893	17	61	139	656	296	2,806	431	6,337	313	5,033
2017	서초구	방배4동	2,396	14,199	56	170	345	1,101	680	4,117	782	5,193	533	3,618
2017	서초구	양재1동	3,599	43,639	87	266	469	1,649	1,092	8,614	1,133	15,071	818	18,039
2017	서초구	양재2동	5,271	49,006	65	179	600	2,120	1,671	9,018	1,881	20,757	1,054	16,932
2017	서초구	내곡동	681	7,471	13	32	61	264	168	872	263	4,724	176	1,579
2017	강남구	소계	72,511	679,047	1,926	6,209	13,328	62,607	23,539	180,516	21,082	262,865	12,636	166,850
2017	강남구	신사동	4,365	26,783	127	401	1,076	5,048	1,590	10,490	1,057	6,840	515	4,004
2017	강남구	논현1동	5,578	40,669	186	606	1,278	5,909	1,994	14,165	1,359	12,629	761	7,360
2017	강남구	논현2동	5,542	59,822	149	498	1,135	5,750	1,928	16,051	1,531	22,250	799	15,273
2017	강남구	삼성1동	4,169	62,947	77	228	555	4,083	1,324	14,121	1,428	26,297	785	18,218
2017	강남구	삼성2동	3,740	42,389	108	290	723	2,650	1,222	12,856	1,080	17,089	607	9,504
2017	강남구	대치1동	1,133	7,278	23	70	141	645	386	2,579	404	2,571	179	1,413
2017	강남구	대치4동	3,699	29,228	83	273	694	3,061	1,294	7,426	1,047	8,465	581	10,003
2017	강남구	역삼1동	15,590	146,000	535	1,689	3,169	13,982	5,275	41,800	4,319	54,402	2,292	34,127
2017	강남구	역삼2동	3,480	40,049	75	227	544	2,768	1,134	9,382	1,090	16,765	637	10,907
2017	강남구	도곡1동	1,688	15,994	50	132	264	987	504	3,064	540	6,586	330	5,225
2017	강남구	도곡2동	1,858	22,508	48	140	244	1,015	583	6,418	651	8,037	332	6,898
2017	강남구	개포1동	467	1,460	9	28	26	43	77	552	146	388	209	449
2017	강남구	개포4동	2,182	11,888	29	79	262	1,058	739	3,549	796	4,741	356	2,461
2017	강남구	일원본동	448	8,210	4	13	50	114	99	394	172	6,922	123	767
2017	강남구	일원1동	2,162	7,064	19	70	131	421	258	967	638	2,613	1,116	2,993
2017	강남구	일원2동	646	8,831	5	7	70	205	148	919	249	3,309	174	4,391
2017	강남구	수서동	1,527	17,219	23	190	151	712	390	3,276	607	8,878	356	4,163
2017	강남구	세곡동	1,025	5,389	22	66	170	530	276	1,272	321	2,728	236	793
2017	강남구	압구정동	4,131	28,141	110	489	946	4,635	1,458	9,675	995	9,272	622	4,070
2017	강남구	청담동	4,432	39,229	98	314	877	4,317	1,481	10,900	1,204	13,711	772	9,987
2017	강남구	대치2동	3,965	54,807	131	346	715	4,351	1,207	10,131	1,209	27,043	703	12,936
2017	강남구	개포2동	684	3,142	15	53	107	323	172	529	239	1,329	151	908
2017	송파구	소계	46,676	329,447	1,001	3,219	6,259	24,681	12,703	66,986	16,178	150,815	10,535	83,746
2017	송파구	풍납1동	752	2,611	15	39	63	196	191	781	260	918	223	677
2017	송파구	풍납2동	1,168	15,033	17	60	133	460	276	1,410	417	10,562	325	2,541
2017	송파구	거여1동	839	3,732	14	35	87	226	223	709	348	2,321	167	441
2017	송파구	거여2동	905	4,088	13	29	77	265	225	1,024	326	1,576	264	1,194
2017	송파구	마천1동	960	2,333	11	23	77	141	217	590	352	911	303	668
2017	송파구	마천2동	1,352	4,337	21	44	137	432	313	913	511	1,687	370	1,261
2017	송파구	방이1동	1,382	9,915	31	109	201	698	403	1,651	466	4,488	281	2,969
2017	송파구	방이2동	2,940	21,081	82	316	435	2,628	833	4,522	1,017	9,421	573	4,194
2017	송파구	오륜동	522	4,455	7	12	43	274	125	373	188	1,880	159	1,916
2017	송파구	오금동	2,378	15,311	45	109	259	995	664	4,653	907	6,602	503	2,952
2017	송파구	송파1동	2,535	14,100	66	183	314	1,503	649	3,555	954	5,628	552	3,231
2017	송파구	송파2동	893	4,134	25	67	150	374	240	738	305	1,877	173	1,078
2017	송파구	석촌동	2,570	15,121	63	231	363	1,917	679	3,508	894	5,987	571	3,478
2017	송파구	삼전동	2,080	14,428	37	252	349	1,064	546	2,496	715	7,482	433	3,134
2017	송파구	가락본동	3,587	26,403	88	239	481	1,756	1,020	5,601	1,332	12,725	666	6,082
2017	송파구	가락1동	2,800	10,718	11	33	200	574	649	2,159	992	4,239	948	3,713
2017	송파구	가락2동	1,869	9,696	44	104	202	620	564	2,658	679	3,888	380	2,426
2017	송파구	문정1동	1,370	9,087	27	54	165	474	380	3,315	505	2,657	293	2,587
2017	송파구	문정2동	5,153	41,271	118	356	740	2,874	1,532	7,648	1,676	20,896	1,087	9,497
2017	송파구	장지동	1,388	10,344	31	59	179	638	334	2,181	506	3,439	338	4,027
2017	송파구	위례동	533	3,457	19	67	120	412	168	1,312	154	1,192	72	474
2017	송파구	잠실본동	3,037	22,895	85	254	513	2,135	919	4,723	944	7,475	576	8,308
2017	송파구	잠실4동	495	1,957	9	29	86	305	129	451	150	645	121	527
2017	송파구	잠실6동	2,620	46,806	61	303	398	2,040	668	6,840	809	24,543	684	13,080
2017	송파구	잠실7동	202	1,244	-	-	20	51	42	158	84	669	56	366
2017	송파구	잠실2동	757	4,563	16	42	152	507	241	918	227	2,120	121	976
2017	송파구	잠실3동	1,589	10,327	45	170	315	1,122	473	2,099	460	4,987	296	1,949
2017	강동구	소계	29,952	146,512	433	1,134	3,221	10,332	6,890	29,886	10,148	61,297	9,260	43,863
2017	강동구	강일동	955	14,962	12	34	89	307	274	1,721	299	10,013	281	2,887
2017	강동구	상일동	976	5,538	13	30	61	161	208	564	379	1,720	315	3,063
2017	강동구	명일1동	1,665	6,341	22	71	195	565	391	1,930	569	2,494	488	1,281
2017	강동구	명일2동	1,134	4,752	11	22	145	532	318	1,175	392	2,068	268	955
2017	강동구	고덕1동	714	2,390	5	18	63	123	171	471	288	1,003	187	775
2017	강동구	고덕2동	1,666	3,034	4	6	32	69	146	277	469	1,230	1,015	1,452
2017	강동구	암사2동	864	5,290	15	36	108	272	191	879	280	2,205	270	1,898
2017	강동구	암사3동	614	2,121	7	10	70	147	145	565	198	895	194	504
2017	강동구	천호1동	1,575	6,253	20	53	137	405	347	1,469	564	2,623	507	1,703
2017	강동구	천호3동	1,859	7,527	38	94	230	637	437	2,108	624	2,128	530	2,560
2017	강동구	성내1동	2,102	22,241	28	68	201	620	556	3,551	720	12,868	597	5,134
2017	강동구	성내2동	1,952	7,860	40	80	261	989	431	1,874	696	2,595	524	2,322
2017	강동구	성내3동	2,427	9,289	42	95	282	934	590	2,104	866	3,172	647	2,984
2017	강동구	둔촌1동	102	540	2	2	2	2	21	63	38	208	39	265
2017	강동구	둔촌2동	1,627	9,182	28	72	162	523	317	1,313	620	2,285	500	4,989
2017	강동구	암사1동	1,936	5,684	23	57	208	634	446	1,298	640	2,094	619	1,601
2017	강동구	천호2동	3,730	14,996	77	262	543	1,879	947	3,999	1,141	5,414	1,022	3,442
2017	강동구	길동	4,054	18,512	46	124	432	1,533	954	4,525	1,365	6,282	1,257	6,048
