기간	자치구	동	합계	합계	합계	합계	합계	농업 임업 및 어업	농업 임업 및 어업	광업	광업	제조업	제조업	전기 가스 증기 및 공기조절 공급업	전기 가스 증기 및 공기조절 공급업	수도 하수 및 폐기물 처리 원료 재생업	수도 하수 및 폐기물 처리 원료 재생업	건설업	건설업	도매 및 소매업	도매 및 소매업	운수 및 창고업	운수 및 창고업	숙박 및 음식점업	숙박 및 음식점업	정보통신업	정보통신업	금융 및 보험업	금융 및 보험업	부동산업	부동산업	전문 과학 및 기술 서비스업	전문 과학 및 기술 서비스업	사업시설 관리 사업 지원 및 임대 서비스업	사업시설 관리 사업 지원 및 임대 서비스업	공공행정 국방 및 사회보장 행정	공공행정 국방 및 사회보장 행정	교육 서비스업	교육 서비스업	보건업 및 사회복지 서비스업	보건업 및 사회복지 서비스업	예술 스포츠 및 여가관련 서비스업	예술 스포츠 및 여가관련 서비스업	협회 및 단체 수리 및 기타 개인 서비스업	협회 및 단체 수리 및 기타 개인 서비스업
기간	자치구	동	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	동	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2017	합계	합계	822,863	278,152	5,119,913	2,848,150	2,271,763	29	469	21	66	61,583	277,920	139	5,576	445	8,963	22,228	385,208	228,295	888,464	93,702	274,793	130,195	474,515	23,206	345,030	11,165	268,252	39,677	158,593	38,937	437,822	15,950	478,382	1,296	138,150	34,762	341,732	28,683	358,563	22,913	86,452	69,637	190,963
2017	종로구	소계	40,490	13,577	268,702	154,100	114,602	3	30	4	10	4,450	13,078	7	363	6	136	339	30,754	17,025	44,263	1,350	6,818	6,724	26,577	883	18,628	551	21,634	1,301	7,223	1,499	20,315	1,242	18,625	90	16,504	852	13,317	732	15,954	926	6,198	2,506	8,275
2017	종로구	사직동	3,544	1,147	52,489	31,029	21,460	1	16	-	-	72	217	1	8	2	31	37	7,331	578	3,485	245	1,911	872	4,027	187	2,645	124	4,680	147	1,228	336	7,817	395	7,298	19	7,667	86	898	97	764	95	1,546	250	920
2017	종로구	삼청동	753	360	4,507	2,225	2,282	-	-	-	-	16	82	-	-	-	-	8	42	290	880	19	59	236	908	20	116	8	58	15	35	49	330	21	73	4	1,229	16	279	7	28	17	172	27	216
2017	종로구	부암동	567	235	4,147	2,137	2,010	-	-	1	5	24	122	-	-	-	-	23	62	101	541	37	40	127	386	22	145	3	33	23	47	30	108	9	25	3	58	43	1,543	12	153	15	73	94	806
2017	종로구	평창동	739	327	3,547	1,679	1,868	-	-	-	-	15	101	-	-	-	-	23	98	147	506	40	133	153	529	13	86	9	72	51	139	33	256	12	34	3	77	60	661	34	385	32	167	114	303
2017	종로구	무악동	531	104	1,457	729	728	-	-	-	-	6	11	-	-	-	-	8	55	47	102	330	340	26	73	1	1	3	20	15	74	3	3	3	12	1	14	24	174	10	469	5	14	49	95
2017	종로구	교남동	347	131	3,816	1,553	2,263	-	-	-	-	7	15	-	-	-	-	9	52	77	264	32	67	64	207	9	41	6	21	32	48	8	197	9	22	2	37	14	165	18	2,490	9	31	51	159
2017	종로구	가회동	747	366	13,681	10,225	3,456	-	-	-	-	33	287	-	-	-	-	12	7,896	180	465	18	22	245	902	20	918	8	97	26	53	52	1,321	20	198	3	368	31	657	14	155	33	147	52	195
2017	종로구	종로1.2.3.4가동	15,851	5,042	111,270	66,889	44,381	-	-	3	5	1,927	5,316	5	353	2	18	78	14,262	7,386	19,530	176	2,318	2,383	10,719	353	11,853	229	13,723	461	4,021	595	7,295	568	8,385	25	4,922	292	2,831	198	1,534	258	1,261	912	2,924
2017	종로구	종로5·6가동	7,613	2,486	23,581	14,491	9,090	1	1	-	-	916	2,696	-	-	-	-	25	230	5,107	10,947	69	1,079	621	1,872	63	1,206	36	1,112	166	621	91	665	65	1,125	5	316	42	325	105	463	40	162	261	761
2017	종로구	이화동	1,289	442	17,511	7,128	10,383	1	13	-	-	101	339	1	2	-	-	14	60	242	1,201	30	100	375	2,069	64	812	9	69	47	143	68	1,081	16	220	3	75	45	2,307	30	7,833	140	804	103	383
2017	종로구	창신1동	2,302	717	6,734	3,254	3,480	-	-	-	-	348	1,006	-	-	1	49	9	22	1,284	2,506	45	140	262	810	12	41	34	546	61	208	27	106	23	366	1	19	12	98	44	330	43	210	96	277
2017	종로구	창신2동	871	288	2,332	1,038	1,294	-	-	-	-	405	1,157	-	-	-	-	10	12	125	216	38	51	120	302	5	5	4	32	17	20	6	19	8	11	2	81	7	20	27	267	19	33	78	106
2017	종로구	창신3동	264	81	851	440	411	-	-	-	-	45	121	-	-	1	38	8	17	48	124	47	87	28	57	3	6	1	7	22	65	3	13	1	1	2	63	14	126	8	75	4	8	29	43
