,자치구,동,업체명,동주소,경도,위도
477,서초구,양재2동,(주)에이치앤디이-서울만남의광장,서울특별시  서초구 양재대로12길 73-71,37.4599063,127.0398714
478,서초구,양재2동,(주)에이치앤디이-서울만남의광장,서울특별시  서초구 양재대로12길 73-71,37.4599063,127.0398714
479,서초구,양재2동,(주)에이치앤디이-서울만남의광장,서울특별시  서초구 양재대로12길 73-71,37.4599063,127.0398714
480,서초구,양재2동,(주)에이치앤디이-서울만남의광장,서울특별시  서초구 양재대로12길 73-71,37.4599063,127.0398714
481,서초구,양재2동,(주)에이치앤디이-서울만남의광장,서울특별시  서초구 양재대로12길 73-71,37.4599063,127.0398714
482,서초구,양재2동,(주)에이치앤디이-서울만남의광장,서울특별시  서초구 양재대로12길 73-71,37.4599063,127.0398714
489,강남구,논현2동,(주)상현상사,서울특별시  강남구 학동로 204,37.5136307,127.0291575
504,강남구,도곡1동,진양가스,서울특별시  강남구 강남대로58길 61,37.4905825,127.0346343
517,강남구,일원2동,대치에너지주식회사,서울특별시  강남구 남부순환로 3179,37.4992996,127.0759013
518,강남구,일원2동,대치에너지주식회사,서울특별시  강남구 남부순환로 3179,37.4992996,127.0759013
519,강남구,일원2동,남서울가스(주),서울특별시  강남구 남부순환로 3154,37.4977796,127.0733765
520,강남구,일원2동,남서울가스(주),서울특별시  강남구 남부순환로 3154,37.4977796,127.0733765
522,강남구,세곡동,강남복지충전소,서울특별시  강남구 밤고개로 200,37.4763295,127.1032761
523,강남구,세곡동,(주)수서에너지,서울특별시  강남구 밤고개로 127,37.4827957,127.1028258
541,송파구,오금동,오금가스충전소,서울특별시  송파구 마천로 103,37.5061584,127.1294083
545,송파구,석촌동,홍익에너지(주),서울특별시  송파구 석촌호수로 242,37.5081049,127.1014515
555,송파구,잠실본동,강동LPG충전소,서울특별시  송파구 삼전로 47,37.5034486,127.0846755
567,강동구,상일동,복지상일충전소,서울특별시  강동구 천호대로 1452,37.5450485,127.1675848
572,강동구,암사2동,암사충전소,서울특별시  강동구 올림픽로 791,37.5517791,127.1255452
578,강동구,성내2동,(주)경기에너지,서울특별시  강동구 천호대로 1056,37.5364849,127.1268028
581,강동구,둔촌2동,둔촌충전소,서울특별시  강동구 동남로 563,37.5252332,127.1444095
