,0,1,2,4,5,동
42,SK네트웍스(주)노원역주유소,서울특별시 노원구 상계동 706-2번지 ,서울특별시 노원구 노해로75길 20-25 (상계동),37.6549874,127.0564465,상계동
43,상계동주유소,서울특별시 노원구 상계동 387-212번지 ,서울특별시 노원구 노원로26길 191 (상계동),37.6583374,127.068956,상계동
44,한신주유소,서울특별시 노원구 공릉동 379-17번지 ,서울특별시 노원구 동일로 1089 (공릉동),37.6271125,127.0737695,공릉동
46,월계주유소,서울특별시 노원구 월계동 935번지 ,서울특별시 노원구 월계로 252 (월계동),37.6244446,127.04851,월계동
47,구도일주유소 불암,서울특별시 노원구 중계동 366-8번지 ,서울특별시 노원구 한글비석로 268 (중계동),37.6512956,127.0751134,중계동
48,유림주유소,서울특별시 관악구 신림동 112-47번지 ,서울특별시 관악구 신림로 174 (신림동),37.4798113,126.9226935,신림동
49,씨제이대한통운(주),서울특별시 관악구 신림동 507-24번지 ,서울특별시 관악구 남부순환로 1515 (신림동),37.482932,126.9166762,신림동
50,SK네트웍스(주) 서울셀프주유소,서울특별시 관악구 신림동 406-6번지 ,서울특별시 관악구 신림로 183 (신림동),37.4797746,126.926371,신림동
51,SK에너지(주) 신봉천주유소,서울특별시 관악구 봉천동 1663-11번지 ,서울특별시 관악구 남부순환로 1880 (봉천동),37.4787022,126.956163,봉천동
52,대양석유(주)보라매주유소,서울특별시 관악구 봉천동 729-4번지 ,서울특별시 관악구 보라매로 26 (봉천동),37.49165,126.9250282,봉천동
53,서일석유(주) 락성주유소,서울특별시 관악구 봉천동 1659-1번지 ,서울특별시 관악구 남부순환로 1920 (봉천동),37.4770721,126.9601439,봉천동
54,한규상사 유정주유소,서울특별시 관악구 봉천동 948-17번지 ,서울특별시 관악구 남부순환로 1691 (봉천동),37.4841096,126.9363425,봉천동
55,서울석유(주) 대공원주유소,서울특별시 관악구 남현동 602-306번지 ,서울특별시 관악구 과천대로 921 (남현동),37.4727639,126.9799968,남현동
56,남현주유소,서울특별시 관악구 남현동 1054-6번지 ,서울특별시 관악구 남부순환로 2014 (남현동),37.4727635,126.9734307,남현동
