,자치구,동,합계_사업체수,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,총_수급자_가구,수입차합계,수입화물차,수입특수차
66,광진구,군자동,1580,1.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,14410.0,75.0,3.0
67,광진구,중곡1동,1612,2.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,14410.0,75.0,3.0
68,광진구,중곡2동,1622,,,,,,,,438.0,14410.0,75.0,3.0
69,광진구,중곡3동,1330,,,,,,,,551.0,14410.0,75.0,3.0
70,광진구,중곡4동,1563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0,14410.0,75.0,3.0
71,광진구,능동,783,,,,,,,,146.0,14410.0,75.0,3.0
72,광진구,구의1동,1846,,,,,,,,392.0,14410.0,75.0,3.0
73,광진구,구의2동,1297,1.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,14410.0,75.0,3.0
74,광진구,구의3동,2652,5.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,14410.0,75.0,3.0
75,광진구,광장동,1419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,14410.0,75.0,3.0
76,광진구,자양1동,1711,,,,,,,,600.0,14410.0,75.0,3.0
77,광진구,자양2동,1487,2.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,14410.0,75.0,3.0
78,광진구,자양3동,1353,2.0,1.0,88630.0,0.0,0.0,0.0,0.0,199.0,14410.0,75.0,3.0
79,광진구,자양4동,1996,3.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,14410.0,75.0,3.0
80,동대문구,회기동,997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,11743.0,115.0,7.0
81,동대문구,휘경1동,977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,11743.0,115.0,7.0
82,동대문구,휘경2동,1210,,,,,,,,356.0,11743.0,115.0,7.0
83,동대문구,청량리동,1679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.0,11743.0,115.0,7.0
84,동대문구,용신동,5640,5.0,0.0,0.0,0.0,0.0,1.0,37290.0,989.0,11743.0,115.0,7.0
85,동대문구,제기동,4750,4.0,0.0,0.0,0.0,0.0,2.0,37812.0,922.0,11743.0,115.0,7.0
86,동대문구,전농1동,2199,4.0,1.0,177793.0,0.0,0.0,0.0,0.0,1165.0,11743.0,115.0,7.0
87,동대문구,전농2동,894,,,,,,,,438.0,11743.0,115.0,7.0
88,동대문구,답십리1동,1961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,11743.0,115.0,7.0
89,동대문구,답십리2동,2186,,,,,,,,750.0,11743.0,115.0,7.0
90,동대문구,장안1동,4572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,763.0,11743.0,115.0,7.0
91,동대문구,장안2동,3164,2.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,11743.0,115.0,7.0
92,동대문구,이문1동,1477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,11743.0,115.0,7.0
93,동대문구,이문2동,705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,11743.0,115.0,7.0
94,중랑구,면목2동,2035,,,,,,,,798.0,8490.0,114.0,14.0
95,중랑구,면목4동,1166,,,,,,,,802.0,8490.0,114.0,14.0
96,중랑구,면목5동,850,1.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,8490.0,114.0,14.0
97,중랑구,면목7동,1485,1.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,8490.0,114.0,14.0
98,중랑구,상봉1동,1148,2.0,0.0,0.0,1.0,232943.0,0.0,0.0,809.0,8490.0,114.0,14.0
99,중랑구,상봉2동,2102,2.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,8490.0,114.0,14.0
100,중랑구,중화1동,1096,,,,,,,,442.0,8490.0,114.0,14.0
101,중랑구,중화2동,2175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.0,8490.0,114.0,14.0
102,중랑구,묵1동,1513,1.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,8490.0,114.0,14.0
103,중랑구,묵2동,1780,,,,,,,,498.0,8490.0,114.0,14.0
104,중랑구,망우3동,1115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,924.0,8490.0,114.0,14.0
105,중랑구,신내1동,1998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,665.0,8490.0,114.0,14.0
106,중랑구,신내2동,1115,2.0,0.0,0.0,0.0,0.0,0.0,0.0,771.0,8490.0,114.0,14.0
107,중랑구,면목본동,2511,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,8490.0,114.0,14.0
108,중랑구,면목3.8동,2100,,,,,,,,839.0,8490.0,114.0,14.0
109,중랑구,망우본동,3856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,8490.0,114.0,14.0
110,성북구,돈암1동,389,2.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,14280.0,92.0,6.0
111,성북구,돈암2동,433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,14280.0,92.0,6.0
112,성북구,안암동,1456,,,,,,,,252.0,14280.0,92.0,6.0
113,성북구,보문동,1330,2.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,14280.0,92.0,6.0
114,성북구,정릉1동,753,,,,,,,,241.0,14280.0,92.0,6.0
115,성북구,정릉2동,887,,,,,,,,467.0,14280.0,92.0,6.0
116,성북구,정릉3동,677,,,,,,,,458.0,14280.0,92.0,6.0
117,성북구,정릉4동,921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,14280.0,92.0,6.0
118,성북구,길음1동,1092,2.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,14280.0,92.0,6.0
119,성북구,길음2동,935,4.0,1.0,88679.0,0.0,0.0,0.0,0.0,249.0,14280.0,92.0,6.0
120,성북구,월곡1동,1351,,,,,,,,548.0,14280.0,92.0,6.0
121,성북구,월곡2동,1589,3.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,14280.0,92.0,6.0
122,성북구,장위1동,928,,,,,,,,787.0,14280.0,92.0,6.0
123,성북구,장위2동,1478,,,,,,,,519.0,14280.0,92.0,6.0
124,성북구,장위3동,628,1.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,14280.0,92.0,6.0
125,성북구,성북동,1132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,14280.0,92.0,6.0
126,성북구,삼선동,1906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,14280.0,92.0,6.0
127,성북구,동선동,1995,2.0,0.0,0.0,1.0,26488.0,0.0,0.0,276.0,14280.0,92.0,6.0
128,성북구,종암동,2022,,,,,,,,792.0,14280.0,92.0,6.0
129,성북구,석관동,2137,,,,,,,,856.0,14280.0,92.0,6.0
130,강북구,번1동,1836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,5915.0,45.0,5.0
131,강북구,번2동,678,,,,,,,,897.0,5915.0,45.0,5.0
132,강북구,번3동,912,,,,,,,,1434.0,5915.0,45.0,5.0
133,강북구,수유1동,1432,2.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0,5915.0,45.0,5.0
134,강북구,수유2동,1339,1.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,5915.0,45.0,5.0
135,강북구,수유3동,2446,2.0,0.0,0.0,0.0,0.0,0.0,0.0,722.0,5915.0,45.0,5.0
136,강북구,삼양동,1186,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,5915.0,45.0,5.0
137,강북구,미아동,1670,,,,,,,,654.0,5915.0,45.0,5.0
138,강북구,송중동,1962,3.0,1.0,73173.0,0.0,0.0,0.0,0.0,756.0,5915.0,45.0,5.0
139,강북구,송천동,2106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,5915.0,45.0,5.0
140,강북구,삼각산동,775,,,,,,,,801.0,5915.0,45.0,5.0
141,강북구,우이동,1029,,,,,,,,564.0,5915.0,45.0,5.0
142,강북구,인수동,1557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.0,5915.0,45.0,5.0
143,도봉구,쌍문1동,890,,,,,,,,648.0,7211.0,66.0,9.0
144,도봉구,쌍문2동,1242,,,,,,,,559.0,7211.0,66.0,9.0
