,일자,지점번호,방향,시간,교통량,null
8308,20190501,F-09,유입,0,2512.0,0
8339,20190501,F-09,유출,0,3465.0,0
16678,20190501,F-09,유입,1,1952.0,0
16709,20190501,F-09,유출,1,2762.0,0
25048,20190501,F-09,유입,2,1449.0,0
25079,20190501,F-09,유출,2,2039.0,0
33418,20190501,F-09,유입,3,1231.0,0
33449,20190501,F-09,유출,3,1623.0,0
41788,20190501,F-09,유입,4,1292.0,0
41819,20190501,F-09,유출,4,1605.0,0
50158,20190501,F-09,유입,5,1751.0,0
50189,20190501,F-09,유출,5,1936.0,0
58528,20190501,F-09,유입,6,2244.0,0
58559,20190501,F-09,유출,6,2517.0,0
66898,20190501,F-09,유입,7,2563.0,0
66929,20190501,F-09,유출,7,2310.0,0
75268,20190501,F-09,유입,8,2826.0,0
75299,20190501,F-09,유출,8,2820.0,0
83638,20190501,F-09,유입,9,2600.0,0
83669,20190501,F-09,유출,9,2976.0,0
92008,20190501,F-09,유입,10,2257.0,0
92039,20190501,F-09,유출,10,3051.0,0
100378,20190501,F-09,유입,11,1959.0,0
100409,20190501,F-09,유출,11,2894.0,0
108748,20190501,F-09,유입,12,1746.0,0
108779,20190501,F-09,유출,12,3107.0,0
117118,20190501,F-09,유입,13,2185.0,0
117149,20190501,F-09,유출,13,3079.0,0
125488,20190501,F-09,유입,14,2326.0,0
125519,20190501,F-09,유출,14,3008.0,0
133858,20190501,F-09,유입,15,2464.0,0
133889,20190501,F-09,유출,15,3001.0,0
142228,20190501,F-09,유입,16,2362.0,0
142259,20190501,F-09,유출,16,2928.0,0
150598,20190501,F-09,유입,17,2466.0,0
150629,20190501,F-09,유출,17,2961.0,0
158968,20190501,F-09,유입,18,2425.0,0
158999,20190501,F-09,유출,18,2918.0,0
167338,20190501,F-09,유입,19,2461.0,0
167369,20190501,F-09,유출,19,2992.0,0
175708,20190501,F-09,유입,20,2719.0,0
175739,20190501,F-09,유출,20,2944.0,0
184078,20190501,F-09,유입,21,2604.0,0
184109,20190501,F-09,유출,21,2805.0,0
192448,20190501,F-09,유입,22,2408.0,0
192479,20190501,F-09,유출,22,3006.0,0
200818,20190501,F-09,유입,23,1576.0,0
200849,20190501,F-09,유출,23,2801.0,0
