,일자,지점번호,방향,시간,교통량,null
4278,20190501,C-10,유입,0,663.0,0
4309,20190501,C-10,유출,0,782.0,0
12648,20190501,C-10,유입,1,521.0,0
12679,20190501,C-10,유출,1,608.0,0
21018,20190501,C-10,유입,2,339.0,0
21049,20190501,C-10,유출,2,454.0,0
29388,20190501,C-10,유입,3,248.0,0
29419,20190501,C-10,유출,3,353.0,0
37758,20190501,C-10,유입,4,290.0,0
37789,20190501,C-10,유출,4,331.0,0
46128,20190501,C-10,유입,5,405.0,0
46159,20190501,C-10,유출,5,423.0,0
54498,20190501,C-10,유입,6,659.0,0
54529,20190501,C-10,유출,6,740.0,0
62868,20190501,C-10,유입,7,1064.0,0
62899,20190501,C-10,유출,7,976.0,0
71238,20190501,C-10,유입,8,1338.0,0
71269,20190501,C-10,유출,8,1188.0,0
79608,20190501,C-10,유입,9,1439.0,0
79639,20190501,C-10,유출,9,1395.0,0
87978,20190501,C-10,유입,10,1632.0,0
88009,20190501,C-10,유출,10,1362.0,0
96348,20190501,C-10,유입,11,1600.0,0
96379,20190501,C-10,유출,11,1419.0,0
104718,20190501,C-10,유입,12,1563.0,0
104749,20190501,C-10,유출,12,1322.0,0
113088,20190501,C-10,유입,13,1522.0,0
113119,20190501,C-10,유출,13,1462.0,0
121458,20190501,C-10,유입,14,1555.0,0
121489,20190501,C-10,유출,14,1700.0,0
129828,20190501,C-10,유입,15,1454.0,0
129859,20190501,C-10,유출,15,1840.0,0
138198,20190501,C-10,유입,16,1480.0,0
138229,20190501,C-10,유출,16,2001.0,0
146568,20190501,C-10,유입,17,1459.0,0
146599,20190501,C-10,유출,17,2057.0,0
154938,20190501,C-10,유입,18,1372.0,0
154969,20190501,C-10,유출,18,1761.0,0
163308,20190501,C-10,유입,19,939.0,0
163339,20190501,C-10,유출,19,1214.0,0
171678,20190501,C-10,유입,20,1010.0,0
171709,20190501,C-10,유출,20,1296.0,0
180048,20190501,C-10,유입,21,982.0,0
180079,20190501,C-10,유출,21,1310.0,0
188418,20190501,C-10,유입,22,758.0,0
188449,20190501,C-10,유출,22,1090.0,0
196788,20190501,C-10,유입,23,574.0,0
196819,20190501,C-10,유출,23,738.0,0
4279,20190502,C-10,유입,0,391.0,0
4310,20190502,C-10,유출,0,479.0,0
12649,20190502,C-10,유입,1,246.0,0
12680,20190502,C-10,유출,1,362.0,0
21019,20190502,C-10,유입,2,178.0,0
21050,20190502,C-10,유출,2,230.0,0
29389,20190502,C-10,유입,3,136.0,0
29420,20190502,C-10,유출,3,165.0,0
37759,20190502,C-10,유입,4,151.0,0
37790,20190502,C-10,유출,4,196.0,0
46129,20190502,C-10,유입,5,450.0,0
46160,20190502,C-10,유출,5,539.0,0
54499,20190502,C-10,유입,6,1175.0,0
54530,20190502,C-10,유출,6,1173.0,0
62869,20190502,C-10,유입,7,1927.0,0
62900,20190502,C-10,유출,7,1656.0,0
71239,20190502,C-10,유입,8,2601.0,0
71270,20190502,C-10,유출,8,1886.0,0
79609,20190502,C-10,유입,9,1996.0,0
79640,20190502,C-10,유출,9,1652.0,0
87979,20190502,C-10,유입,10,1623.0,0
88010,20190502,C-10,유출,10,1633.0,0
96349,20190502,C-10,유입,11,1603.0,0
96380,20190502,C-10,유출,11,1629.0,0
104719,20190502,C-10,유입,12,1465.0,0
104750,20190502,C-10,유출,12,1465.0,0
113089,20190502,C-10,유입,13,1417.0,0
113120,20190502,C-10,유출,13,1690.0,0
121459,20190502,C-10,유입,14,1403.0,0
121490,20190502,C-10,유출,14,1980.0,0
129829,20190502,C-10,유입,15,1401.0,0
129860,20190502,C-10,유출,15,2069.0,0
138199,20190502,C-10,유입,16,1769.0,0
138230,20190502,C-10,유출,16,2015.0,0
146569,20190502,C-10,유입,17,1983.0,0
146600,20190502,C-10,유출,17,2684.0,0
154939,20190502,C-10,유입,18,2013.0,0
154970,20190502,C-10,유출,18,2475.0,0
163309,20190502,C-10,유입,19,1411.0,0
163340,20190502,C-10,유출,19,1706.0,0
171679,20190502,C-10,유입,20,1114.0,0
171710,20190502,C-10,유출,20,1485.0,0
180049,20190502,C-10,유입,21,1039.0,0
180080,20190502,C-10,유출,21,1654.0,0
188419,20190502,C-10,유입,22,956.0,0
188450,20190502,C-10,유출,22,1416.0,0
196789,20190502,C-10,유입,23,784.0,0
196820,20190502,C-10,유출,23,945.0,0
4280,20190503,C-10,유입,0,526.0,0
4311,20190503,C-10,유출,0,677.0,0
12650,20190503,C-10,유입,1,386.0,0
12681,20190503,C-10,유출,1,429.0,0
21020,20190503,C-10,유입,2,240.0,0
21051,20190503,C-10,유출,2,305.0,0
29390,20190503,C-10,유입,3,179.0,0
29421,20190503,C-10,유출,3,227.0,0
37760,20190503,C-10,유입,4,185.0,0
37791,20190503,C-10,유출,4,267.0,0
46130,20190503,C-10,유입,5,469.0,0
46161,20190503,C-10,유출,5,542.0,0
54500,20190503,C-10,유입,6,1100.0,0
54531,20190503,C-10,유출,6,1073.0,0
62870,20190503,C-10,유입,7,1841.0,0
62901,20190503,C-10,유출,7,1744.0,0
71240,20190503,C-10,유입,8,2266.0,0
71271,20190503,C-10,유출,8,1942.0,0
79610,20190503,C-10,유입,9,1776.0,0
79641,20190503,C-10,유출,9,1667.0,0
87980,20190503,C-10,유입,10,1680.0,0
88011,20190503,C-10,유출,10,1783.0,0
96350,20190503,C-10,유입,11,1732.0,0
96381,20190503,C-10,유출,11,1635.0,0
104720,20190503,C-10,유입,12,1510.0,0
104751,20190503,C-10,유출,12,1656.0,0
113090,20190503,C-10,유입,13,1517.0,0
113121,20190503,C-10,유출,13,1767.0,0
121460,20190503,C-10,유입,14,1622.0,0
121491,20190503,C-10,유출,14,2096.0,0
129830,20190503,C-10,유입,15,1678.0,0
129861,20190503,C-10,유출,15,2008.0,0
138200,20190503,C-10,유입,16,1844.0,0
138231,20190503,C-10,유출,16,2238.0,0
146570,20190503,C-10,유입,17,2014.0,0
146601,20190503,C-10,유출,17,2514.0,0
154940,20190503,C-10,유입,18,1906.0,0
154971,20190503,C-10,유출,18,2248.0,0
163310,20190503,C-10,유입,19,1476.0,0
163341,20190503,C-10,유출,19,1887.0,0
171680,20190503,C-10,유입,20,1412.0,0
171711,20190503,C-10,유출,20,1993.0,0
180050,20190503,C-10,유입,21,1490.0,0
180081,20190503,C-10,유출,21,1484.0,0
188420,20190503,C-10,유입,22,1328.0,0
188451,20190503,C-10,유출,22,1487.0,0
196790,20190503,C-10,유입,23,994.0,0
196821,20190503,C-10,유출,23,1130.0,0
4281,20190504,C-10,유입,0,706.0,0
4312,20190504,C-10,유출,0,764.0,0
12651,20190504,C-10,유입,1,525.0,0
12682,20190504,C-10,유출,1,634.0,0
