,일자,지점번호,방향,시간,교통량,null
5332,20190501,D-06,유입,0,659.0,0
5363,20190501,D-06,유출,0,937.0,0
13702,20190501,D-06,유입,1,501.0,0
13733,20190501,D-06,유출,1,740.0,0
22072,20190501,D-06,유입,2,405.0,0
22103,20190501,D-06,유출,2,580.0,0
30442,20190501,D-06,유입,3,348.0,0
30473,20190501,D-06,유출,3,495.0,0
38812,20190501,D-06,유입,4,336.0,0
38843,20190501,D-06,유출,4,492.0,0
47182,20190501,D-06,유입,5,498.0,0
47213,20190501,D-06,유출,5,515.0,0
55552,20190501,D-06,유입,6,876.0,0
55583,20190501,D-06,유출,6,699.0,0
63922,20190501,D-06,유입,7,1244.0,0
63953,20190501,D-06,유출,7,1004.0,0
72292,20190501,D-06,유입,8,1300.0,0
72323,20190501,D-06,유출,8,1147.0,0
80662,20190501,D-06,유입,9,1730.0,0
80693,20190501,D-06,유출,9,1495.0,0
89032,20190501,D-06,유입,10,1755.0,0
89063,20190501,D-06,유출,10,1615.0,0
97402,20190501,D-06,유입,11,1870.0,0
97433,20190501,D-06,유출,11,1672.0,0
105772,20190501,D-06,유입,12,1662.0,0
105803,20190501,D-06,유출,12,1534.0,0
114142,20190501,D-06,유입,13,1891.0,0
114173,20190501,D-06,유출,13,1730.0,0
122512,20190501,D-06,유입,14,1846.0,0
122543,20190501,D-06,유출,14,1622.0,0
130882,20190501,D-06,유입,15,1937.0,0
130913,20190501,D-06,유출,15,1765.0,0
139252,20190501,D-06,유입,16,1768.0,0
139283,20190501,D-06,유출,16,1733.0,0
147622,20190501,D-06,유입,17,1935.0,0
147653,20190501,D-06,유출,17,1768.0,0
155992,20190501,D-06,유입,18,1461.0,0
156023,20190501,D-06,유출,18,1578.0,0
164362,20190501,D-06,유입,19,1190.0,0
164393,20190501,D-06,유출,19,1268.0,0
172732,20190501,D-06,유입,20,1217.0,0
172763,20190501,D-06,유출,20,1193.0,0
181102,20190501,D-06,유입,21,1298.0,0
181133,20190501,D-06,유출,21,1320.0,0
189472,20190501,D-06,유입,22,1116.0,0
189503,20190501,D-06,유출,22,1107.0,0
197842,20190501,D-06,유입,23,626.0,0
197873,20190501,D-06,유출,23,809.0,0
5333,20190502,D-06,유입,0,461.0,0
5364,20190502,D-06,유출,0,570.0,0
13703,20190502,D-06,유입,1,302.0,0
13734,20190502,D-06,유출,1,420.0,0
22073,20190502,D-06,유입,2,209.0,0
22104,20190502,D-06,유출,2,335.0,0
30443,20190502,D-06,유입,3,203.0,0
30474,20190502,D-06,유출,3,248.0,0
38813,20190502,D-06,유입,4,244.0,0
38844,20190502,D-06,유출,4,264.0,0
47183,20190502,D-06,유입,5,667.0,0
47214,20190502,D-06,유출,5,476.0,0
55553,20190502,D-06,유입,6,1801.0,0
55584,20190502,D-06,유출,6,961.0,0
63923,20190502,D-06,유입,7,2537.0,0
63954,20190502,D-06,유출,7,1806.0,0
72293,20190502,D-06,유입,8,2551.0,0
72324,20190502,D-06,유출,8,2175.0,0
80663,20190502,D-06,유입,9,2547.0,0
80694,20190502,D-06,유출,9,1775.0,0
89033,20190502,D-06,유입,10,2318.0,0
89064,20190502,D-06,유출,10,1906.0,0
97403,20190502,D-06,유입,11,2138.0,0
97434,20190502,D-06,유출,11,1853.0,0
105773,20190502,D-06,유입,12,1776.0,0
105804,20190502,D-06,유출,12,1798.0,0
114143,20190502,D-06,유입,13,2041.0,0
114174,20190502,D-06,유출,13,1855.0,0
122513,20190502,D-06,유입,14,2075.0,0
122544,20190502,D-06,유출,14,1793.0,0
130883,20190502,D-06,유입,15,2161.0,0
130914,20190502,D-06,유출,15,2069.0,0
139253,20190502,D-06,유입,16,1825.0,0
139284,20190502,D-06,유출,16,2018.0,0
147623,20190502,D-06,유입,17,1989.0,0
147654,20190502,D-06,유출,17,2062.0,0
155993,20190502,D-06,유입,18,1899.0,0
156024,20190502,D-06,유출,18,2171.0,0
164363,20190502,D-06,유입,19,1447.0,0
164394,20190502,D-06,유출,19,1770.0,0
172733,20190502,D-06,유입,20,1262.0,0
172764,20190502,D-06,유출,20,1562.0,0
181103,20190502,D-06,유입,21,1328.0,0
181134,20190502,D-06,유출,21,1456.0,0
189473,20190502,D-06,유입,22,1192.0,0
189504,20190502,D-06,유출,22,1426.0,0
197843,20190502,D-06,유입,23,781.0,0
197874,20190502,D-06,유출,23,1043.0,0
5334,20190503,D-06,유입,0,529.0,0
5365,20190503,D-06,유출,0,838.0,0
13704,20190503,D-06,유입,1,361.0,0
13735,20190503,D-06,유출,1,526.0,0
22074,20190503,D-06,유입,2,281.0,0
22105,20190503,D-06,유출,2,420.0,0
30444,20190503,D-06,유입,3,212.0,0
30475,20190503,D-06,유출,3,308.0,0
38814,20190503,D-06,유입,4,304.0,0
38845,20190503,D-06,유출,4,360.0,0
47184,20190503,D-06,유입,5,620.0,0
47215,20190503,D-06,유출,5,524.0,0
55554,20190503,D-06,유입,6,1703.0,0
55585,20190503,D-06,유출,6,946.0,0
63924,20190503,D-06,유입,7,2448.0,0
63955,20190503,D-06,유출,7,1668.0,0
72294,20190503,D-06,유입,8,2603.0,0
72325,20190503,D-06,유출,8,2068.0,0
80664,20190503,D-06,유입,9,2511.0,0
80695,20190503,D-06,유출,9,1930.0,0
89034,20190503,D-06,유입,10,2244.0,0
89065,20190503,D-06,유출,10,2005.0,0
97404,20190503,D-06,유입,11,2237.0,0
97435,20190503,D-06,유출,11,1915.0,0
105774,20190503,D-06,유입,12,1806.0,0
105805,20190503,D-06,유출,12,1804.0,0
114144,20190503,D-06,유입,13,1961.0,0
114175,20190503,D-06,유출,13,1989.0,0
122514,20190503,D-06,유입,14,2080.0,0
122545,20190503,D-06,유출,14,1957.0,0
130884,20190503,D-06,유입,15,2101.0,0
