,일자,지점번호,방향,시간,교통량,null
3534,20190501,B-34,유입,0,408.0,0
3565,20190501,B-34,유출,0,305.0,0
11904,20190501,B-34,유입,1,284.0,0
11935,20190501,B-34,유출,1,211.0,0
20274,20190501,B-34,유입,2,233.0,0
20305,20190501,B-34,유출,2,207.0,0
28644,20190501,B-34,유입,3,188.0,0
28675,20190501,B-34,유출,3,172.0,0
37014,20190501,B-34,유입,4,240.0,0
37045,20190501,B-34,유출,4,212.0,0
45384,20190501,B-34,유입,5,317.0,0
45415,20190501,B-34,유출,5,356.0,0
53754,20190501,B-34,유입,6,500.0,0
53785,20190501,B-34,유출,6,766.0,0
62124,20190501,B-34,유입,7,830.0,0
62155,20190501,B-34,유출,7,1090.0,0
70494,20190501,B-34,유입,8,925.0,0
70525,20190501,B-34,유출,8,1150.0,0
78864,20190501,B-34,유입,9,1033.0,0
78895,20190501,B-34,유출,9,1201.0,0
87234,20190501,B-34,유입,10,1028.0,0
87265,20190501,B-34,유출,10,1324.0,0
95604,20190501,B-34,유입,11,991.0,0
95635,20190501,B-34,유출,11,1407.0,0
103974,20190501,B-34,유입,12,1003.0,0
104005,20190501,B-34,유출,12,1444.0,0
112344,20190501,B-34,유입,13,1225.0,0
112375,20190501,B-34,유출,13,1293.0,0
120714,20190501,B-34,유입,14,1236.0,0
120745,20190501,B-34,유출,14,1185.0,0
129084,20190501,B-34,유입,15,1345.0,0
129115,20190501,B-34,유출,15,1122.0,0
137454,20190501,B-34,유입,16,1393.0,0
137485,20190501,B-34,유출,16,1097.0,0
145824,20190501,B-34,유입,17,1571.0,0
145855,20190501,B-34,유출,17,1058.0,0
154194,20190501,B-34,유입,18,1695.0,0
154225,20190501,B-34,유출,18,1101.0,0
162564,20190501,B-34,유입,19,1348.0,0
162595,20190501,B-34,유출,19,839.0,0
170934,20190501,B-34,유입,20,1110.0,0
170965,20190501,B-34,유출,20,693.0,0
179304,20190501,B-34,유입,21,886.0,0
179335,20190501,B-34,유출,21,583.0,0
187674,20190501,B-34,유입,22,611.0,0
187705,20190501,B-34,유출,22,486.0,0
196044,20190501,B-34,유입,23,398.0,0
196075,20190501,B-34,유출,23,339.0,0
3535,20190502,B-34,유입,0,274.0,0
3566,20190502,B-34,유출,0,251.0,0
11905,20190502,B-34,유입,1,203.0,0
11936,20190502,B-34,유출,1,164.0,0
20275,20190502,B-34,유입,2,152.0,0
20306,20190502,B-34,유출,2,159.0,0
28645,20190502,B-34,유입,3,128.0,0
28676,20190502,B-34,유출,3,140.0,0
37015,20190502,B-34,유입,4,186.0,0
37046,20190502,B-34,유출,4,179.0,0
45385,20190502,B-34,유입,5,341.0,0
45416,20190502,B-34,유출,5,485.0,0
53755,20190502,B-34,유입,6,723.0,0
53786,20190502,B-34,유출,6,943.0,0
62125,20190502,B-34,유입,7,1151.0,0
62156,20190502,B-34,유출,7,1387.0,0
70495,20190502,B-34,유입,8,1231.0,0
70526,20190502,B-34,유출,8,1423.0,0
78865,20190502,B-34,유입,9,1183.0,0
78896,20190502,B-34,유출,9,1058.0,0
87235,20190502,B-34,유입,10,965.0,0
87266,20190502,B-34,유출,10,1004.0,0
95605,20190502,B-34,유입,11,895.0,0
95636,20190502,B-34,유출,11,1031.0,0
103975,20190502,B-34,유입,12,932.0,0
104006,20190502,B-34,유출,12,1036.0,0
112345,20190502,B-34,유입,13,992.0,0
112376,20190502,B-34,유출,13,1010.0,0
120715,20190502,B-34,유입,14,1083.0,0
120746,20190502,B-34,유출,14,945.0,0
129085,20190502,B-34,유입,15,1055.0,0
129116,20190502,B-34,유출,15,935.0,0
137455,20190502,B-34,유입,16,1191.0,0
137486,20190502,B-34,유출,16,1103.0,0
145825,20190502,B-34,유입,17,1436.0,0
145856,20190502,B-34,유출,17,1084.0,0
154195,20190502,B-34,유입,18,1653.0,0
154226,20190502,B-34,유출,18,1115.0,0
162565,20190502,B-34,유입,19,1418.0,0
162596,20190502,B-34,유출,19,989.0,0
170935,20190502,B-34,유입,20,1018.0,0
170966,20190502,B-34,유출,20,732.0,0
179305,20190502,B-34,유입,21,858.0,0
179336,20190502,B-34,유출,21,674.0,0
187675,20190502,B-34,유입,22,679.0,0
187706,20190502,B-34,유출,22,554.0,0
196045,20190502,B-34,유입,23,458.0,0
196076,20190502,B-34,유출,23,361.0,0
3536,20190503,B-34,유입,0,338.0,0
3567,20190503,B-34,유출,0,300.0,0
11906,20190503,B-34,유입,1,244.0,0
11937,20190503,B-34,유출,1,166.0,0
20276,20190503,B-34,유입,2,200.0,0
20307,20190503,B-34,유출,2,196.0,0
28646,20190503,B-34,유입,3,156.0,0
28677,20190503,B-34,유출,3,175.0,0
37016,20190503,B-34,유입,4,218.0,0
37047,20190503,B-34,유출,4,214.0,0
45386,20190503,B-34,유입,5,392.0,0
45417,20190503,B-34,유출,5,530.0,0
53756,20190503,B-34,유입,6,691.0,0
53787,20190503,B-34,유출,6,913.0,0
62126,20190503,B-34,유입,7,1094.0,0
62157,20190503,B-34,유출,7,1418.0,0
70496,20190503,B-34,유입,8,1176.0,0
70527,20190503,B-34,유출,8,1342.0,0
