,일자,지점번호,방향,시간,교통량,null
868,20190501,A-15,유입,0,679.0,0
899,20190501,A-15,유출,0,620.0,0
9238,20190501,A-15,유입,1,612.0,0
9269,20190501,A-15,유출,1,454.0,0
17608,20190501,A-15,유입,2,500.0,0
17639,20190501,A-15,유출,2,471.0,0
25978,20190501,A-15,유입,3,488.0,0
26009,20190501,A-15,유출,3,578.0,0
34348,20190501,A-15,유입,4,403.0,0
34379,20190501,A-15,유출,4,440.0,0
42718,20190501,A-15,유입,5,461.0,0
42749,20190501,A-15,유출,5,467.0,0
51088,20190501,A-15,유입,6,625.0,0
51119,20190501,A-15,유출,6,650.0,0
59458,20190501,A-15,유입,7,831.0,0
59489,20190501,A-15,유출,7,887.0,0
67828,20190501,A-15,유입,8,926.0,0
67859,20190501,A-15,유출,8,968.0,0
76198,20190501,A-15,유입,9,1088.0,0
76229,20190501,A-15,유출,9,1023.0,0
84568,20190501,A-15,유입,10,1119.0,0
84599,20190501,A-15,유출,10,1089.0,0
92938,20190501,A-15,유입,11,1058.0,0
92969,20190501,A-15,유출,11,1099.0,0
101308,20190501,A-15,유입,12,1235.0,0
101339,20190501,A-15,유출,12,1099.0,0
109678,20190501,A-15,유입,13,1241.0,0
109709,20190501,A-15,유출,13,1074.0,0
118048,20190501,A-15,유입,14,1249.0,0
118079,20190501,A-15,유출,14,1051.0,0
126418,20190501,A-15,유입,15,940.0,0
126449,20190501,A-15,유출,15,1061.0,0
134788,20190501,A-15,유입,16,909.0,0
134819,20190501,A-15,유출,16,1023.0,0
143158,20190501,A-15,유입,17,1052.0,0
143189,20190501,A-15,유출,17,1030.0,0
151528,20190501,A-15,유입,18,1057.0,0
151559,20190501,A-15,유출,18,990.0,0
159898,20190501,A-15,유입,19,949.0,0
159929,20190501,A-15,유출,19,903.0,0
168268,20190501,A-15,유입,20,859.0,0
168299,20190501,A-15,유출,20,797.0,0
176638,20190501,A-15,유입,21,813.0,0
176669,20190501,A-15,유출,21,824.0,0
185008,20190501,A-15,유입,22,773.0,0
185039,20190501,A-15,유출,22,693.0,0
193378,20190501,A-15,유입,23,585.0,0
193409,20190501,A-15,유출,23,601.0,0
869,20190502,A-15,유입,0,469.0,0
900,20190502,A-15,유출,0,476.0,0
9239,20190502,A-15,유입,1,366.0,0
9270,20190502,A-15,유출,1,363.0,0
17609,20190502,A-15,유입,2,299.0,0
17640,20190502,A-15,유출,2,283.0,0
25979,20190502,A-15,유입,3,267.0,0
26010,20190502,A-15,유출,3,261.0,0
34349,20190502,A-15,유입,4,304.0,0
34380,20190502,A-15,유출,4,275.0,0
42719,20190502,A-15,유입,5,568.0,0
42750,20190502,A-15,유출,5,387.0,0
51089,20190502,A-15,유입,6,943.0,0
51120,20190502,A-15,유출,6,696.0,0
59459,20190502,A-15,유입,7,1412.0,0
