,일자,지점번호,방향,시간,교통량,null
1178,20190501,A-20,유입,0,769.0,0
1209,20190501,A-20,유출,0,1670.0,0
9548,20190501,A-20,유입,1,541.0,0
9579,20190501,A-20,유출,1,1145.0,0
17918,20190501,A-20,유입,2,411.0,0
17949,20190501,A-20,유출,2,887.0,0
26288,20190501,A-20,유입,3,390.0,0
26319,20190501,A-20,유출,3,698.0,0
34658,20190501,A-20,유입,4,356.0,0
34689,20190501,A-20,유출,4,573.0,0
43028,20190501,A-20,유입,5,544.0,0
43059,20190501,A-20,유출,5,726.0,0
51398,20190501,A-20,유입,6,1077.0,0
51429,20190501,A-20,유출,6,1199.0,0
59768,20190501,A-20,유입,7,1165.0,0
59799,20190501,A-20,유출,7,1164.0,0
68138,20190501,A-20,유입,8,1307.0,0
68169,20190501,A-20,유출,8,1173.0,0
76508,20190501,A-20,유입,9,1657.0,0
76539,20190501,A-20,유출,9,1488.0,0
84878,20190501,A-20,유입,10,1866.0,0
84909,20190501,A-20,유출,10,1433.0,0
93248,20190501,A-20,유입,11,1868.0,0
93279,20190501,A-20,유출,11,1494.0,0
101618,20190501,A-20,유입,12,1697.0,0
101649,20190501,A-20,유출,12,1428.0,0
109988,20190501,A-20,유입,13,1685.0,0
110019,20190501,A-20,유출,13,1531.0,0
118358,20190501,A-20,유입,14,1407.0,0
118389,20190501,A-20,유출,14,1603.0,0
126728,20190501,A-20,유입,15,1022.0,0
126759,20190501,A-20,유출,15,1163.0,0
135098,20190501,A-20,유입,16,1058.0,0
135129,20190501,A-20,유출,16,1438.0,0
143468,20190501,A-20,유입,17,1429.0,0
143499,20190501,A-20,유출,17,1734.0,0
151838,20190501,A-20,유입,18,1416.0,0
151869,20190501,A-20,유출,18,1607.0,0
160208,20190501,A-20,유입,19,1071.0,0
160239,20190501,A-20,유출,19,1430.0,0
168578,20190501,A-20,유입,20,896.0,0
168609,20190501,A-20,유출,20,1581.0,0
176948,20190501,A-20,유입,21,1154.0,0
176979,20190501,A-20,유출,21,1996.0,0
185318,20190501,A-20,유입,22,1085.0,0
185349,20190501,A-20,유출,22,1701.0,0
193688,20190501,A-20,유입,23,740.0,0
193719,20190501,A-20,유출,23,1205.0,0
1179,20190502,A-20,유입,0,468.0,0
1210,20190502,A-20,유출,0,783.0,0
9549,20190502,A-20,유입,1,338.0,0
9580,20190502,A-20,유출,1,533.0,0
17919,20190502,A-20,유입,2,267.0,0
17950,20190502,A-20,유출,2,402.0,0
26289,20190502,A-20,유입,3,236.0,0
26320,20190502,A-20,유출,3,291.0,0
34659,20190502,A-20,유입,4,345.0,0
34690,20190502,A-20,유출,4,384.0,0
43029,20190502,A-20,유입,5,772.0,0
43060,20190502,A-20,유출,5,835.0,0
51399,20190502,A-20,유입,6,2123.0,0
51430,20190502,A-20,유출,6,1876.0,0
59769,20190502,A-20,유입,7,2236.0,0
59800,20190502,A-20,유출,7,1777.0,0
68139,20190502,A-20,유입,8,2304.0,0
68170,20190502,A-20,유출,8,1872.0,0
76509,20190502,A-20,유입,9,2310.0,0
76540,20190502,A-20,유출,9,1905.0,0
84879,20190502,A-20,유입,10,2086.0,0
84910,20190502,A-20,유출,10,1842.0,0
93249,20190502,A-20,유입,11,2068.0,0
93280,20190502,A-20,유출,11,1909.0,0
101619,20190502,A-20,유입,12,1782.0,0
101650,20190502,A-20,유출,12,1820.0,0
109989,20190502,A-20,유입,13,1870.0,0
110020,20190502,A-20,유출,13,2086.0,0
118359,20190502,A-20,유입,14,1933.0,0
118390,20190502,A-20,유출,14,1751.0,0
126729,20190502,A-20,유입,15,1790.0,0
