,자치구,동,동별_승용차수,edu_percent,동별_친환경자동차수,store_총_개소,백화점_개소,합계_사업체수,㎡당 매매평균가,행정구역코드,가구수별_승용차수,동별_수소차_대수,택시,수소충전소,업체명,동주소,경도,위도,주차장명,주차장구분,주차장유형,주차구획수,주차급지구분,주차부제시행구분,주차운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,주차요금정보,주차기본시간,주차기본요금,주차경도,주차위도,interval_1,sum_1,sum_2,interval_2
0,강남구,신사동,2472.428898919177,21087.97751039816,508.27536427784673,2.0,1.0,4365,1071.0,1121068.0,0.35074888621353056,0.9183894728515524,4937691237.2,0,,,,,남부초공영주차장,공영,노외,135.0,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,150.0,126.9221169,37.48504129999999,7,2.9141182013466693,2.9570200174489694,10
1,강남구,신사동,2472.428898919177,21087.97751039816,508.27536427784673,2.0,1.0,4365,1071.0,1121068.0,0.35074888621353056,0.9183894728515524,4937691237.2,0,,,,,신사동제1공영주차장,공영,노외,41.0,5,요일제,평일+토요일+공휴일,09:00,19:00,09:00,16:00,유료,5.0,50.0,126.915444,37.4843973,7,2.9141182013466693,2.9570200174489694,10
2,강남구,신사동,2472.428898919177,21087.97751039816,508.27536427784673,2.0,1.0,4365,1071.0,1121068.0,0.35074888621353056,0.9183894728515524,4937691237.2,0,,,,,압구정428,공영,노외,343.0,1,요일제,평일+토요일+공휴일,09:00,21:00,09:00,21:00,유료,5.0,400.0,127.0270562016,37.5268421056,7,2.9141182013466693,2.9570200174489694,10
3,강남구,신사동,2472.428898919177,21087.97751039816,508.27536427784673,2.0,1.0,4365,1071.0,1121068.0,0.35074888621353056,0.9183894728515524,4937691237.2,0,,,,,신구초교,공영,노외,185.0,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,300.0,127.02399152299999,37.5233612951,7,2.9141182013466693,2.9570200174489694,10
4,강남구,논현1동,3339.645861836541,28484.69246492393,686.555523487861,1.0,0.0,5578,1079.0,1123052.0,0.2655781997484327,1.638352620387044,4983400832.5161295,0,,,,,논현초교,공영,노외,192.0,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,300.0,127.0262216669,37.508490656599996,10,3.366768695927484,3.414381187581929,10
5,강남구,논현2동,3095.775790798479,26404.662347269994,636.4213621991294,2.0,0.0,5542,1079.0,1123053.0,0.3037456623624881,1.3278799130802983,4894706916.512197,0,(주)상현상사,서울특별시  강남구 학동로 204,37.5136307,127.0291575,,,,,,,,,,,,,,,,,10,3.238445477930929,3.2832306112863323,10
6,강남구,삼성1동,2116.9643275313133,18056.129399236102,435.1999020920517,5.0,1.0,4169,1519.0,1123058.0,0.4006367008954037,0.6884338167892756,5073520212.928572,0,,,,,삼성1동문화센터,공영,노외,67.0,1,요일제,평일+토요일+공휴일,07:00,22:00,00:00,00:00,유료,5.0,400.0,127.0626093517,37.5143551261,10,3.0208496570114938,3.0602457661072195,10
7,강남구,삼성1동,2116.9643275313133,18056.129399236102,435.1999020920517,5.0,1.0,4169,1519.0,1123058.0,0.4006367008954037,0.6884338167892756,5073520212.928572,0,,,,,탄천주차장,공영,노외,926.0,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,100.0,127.066491114,37.5141115358,10,3.0208496570114938,3.0602457661072195,10
8,강남구,삼성1동,2116.9643275313133,18056.129399236102,435.1999020920517,5.0,1.0,4169,1519.0,1123058.0,0.4006367008954037,0.6884338167892756,5073520212.928572,0,,,,,삼성로별관 부설,공영,부설,45.0,2,요일제,평일,09:00,18:00,00:00,00:00,유료,5.0,300.0,127.0521408548,37.5159099376,10,3.0208496570114938,3.0602457661072195,10
9,강남구,삼성1동,2116.9643275313133,18056.129399236102,435.1999020920517,5.0,1.0,4169,1519.0,1123058.0,0.4006367008954037,0.6884338167892756,5073520212.928572,0,,,,,탄천,공영,노외,859.0,기타,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,420.0,2500.0,127.069268,37.51289000000001,10,3.0208496570114938,3.0602457661072195,10
10,강남구,삼성2동,4232.263065505166,36098.05255976311,870.0573967080278,1.0,0.0,3740,1519.0,1123059.0,0.3599781462537353,1.5317782710052068,4878778864.171429,0,,,,,강남치매지원센터,공영,노외,115.0,1,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,400.0,127.04637764540001,37.5103116999,10,3.8481574075368266,3.88421238200609,10
11,강남구,삼성2동,4232.263065505166,36098.05255976311,870.0573967080278,1.0,0.0,3740,1519.0,1123059.0,0.3599781462537353,1.5317782710052068,4878778864.171429,0,,,,,구청 부설,공영,부설,201.0,2,요일제,평일,09:00,18:00,00:00,00:00,유료,5.0,300.0,127.0470610826,37.5179663586,10,3.8481574075368266,3.88421238200609,10
12,강남구,대치1동,3551.869731282868,30294.80404710542,730.1839427311569,2.0,0.0,1133,1672.0,1123060.0,0.6032387451227698,0.7671268571641284,4871840735.315789,0,,,,,,,,,,,,,,,,,,,,,10,3.707493401412683,3.723411405387176,10
13,강남구,대치4동,2951.563494948425,25174.63884570913,606.7745815622527,1.0,1.0,3699,1672.0,1123063.0,0.31356246626457296,1.2263867368352481,4989787699.142858,0,,,,,도산대로25길32,공영,노외,26.0,1,요일제,평일,09:00,19:00,00:00,00:00,유료,5.0,400.0,127.0564525891,37.4976788229,10,3.3387202274226846,3.383809530145295,10
