,Unnamed: 0,일자,지점번호,방향,시간,교통량
5394,5394,20190301,D-07,유입,0,1072.0
5425,5425,20190301,D-07,유출,0,1459.0
13764,13764,20190301,D-07,유입,1,850.0
13795,13795,20190301,D-07,유출,1,1150.0
22134,22134,20190301,D-07,유입,2,779.0
22165,22165,20190301,D-07,유출,2,953.0
30504,30504,20190301,D-07,유입,3,587.0
30535,30535,20190301,D-07,유출,3,723.0
38874,38874,20190301,D-07,유입,4,505.0
38905,38905,20190301,D-07,유출,4,704.0
47244,47244,20190301,D-07,유입,5,849.0
47275,47275,20190301,D-07,유출,5,701.0
55614,55614,20190301,D-07,유입,6,1199.0
55645,55645,20190301,D-07,유출,6,801.0
63984,63984,20190301,D-07,유입,7,1322.0
64015,64015,20190301,D-07,유출,7,869.0
72354,72354,20190301,D-07,유입,8,1468.0
72385,72385,20190301,D-07,유출,8,1084.0
80724,80724,20190301,D-07,유입,9,1825.0
80755,80755,20190301,D-07,유출,9,1184.0
89094,89094,20190301,D-07,유입,10,1916.0
89125,89125,20190301,D-07,유출,10,1378.0
97464,97464,20190301,D-07,유입,11,1946.0
97495,97495,20190301,D-07,유출,11,1556.0
105834,105834,20190301,D-07,유입,12,1724.0
105865,105865,20190301,D-07,유출,12,1541.0
114204,114204,20190301,D-07,유입,13,1632.0
114235,114235,20190301,D-07,유출,13,1719.0
122574,122574,20190301,D-07,유입,14,1607.0
122605,122605,20190301,D-07,유출,14,1867.0
130944,130944,20190301,D-07,유입,15,1534.0
130975,130975,20190301,D-07,유출,15,1965.0
139314,139314,20190301,D-07,유입,16,1504.0
139345,139345,20190301,D-07,유출,16,2149.0
147684,147684,20190301,D-07,유입,17,1530.0
147715,147715,20190301,D-07,유출,17,2291.0
156054,156054,20190301,D-07,유입,18,1282.0
156085,156085,20190301,D-07,유출,18,2074.0
164424,164424,20190301,D-07,유입,19,1095.0
164455,164455,20190301,D-07,유출,19,1756.0
172794,172794,20190301,D-07,유입,20,1117.0
172825,172825,20190301,D-07,유출,20,1618.0
181164,181164,20190301,D-07,유입,21,1132.0
181195,181195,20190301,D-07,유출,21,1602.0
189534,189534,20190301,D-07,유입,22,968.0
189565,189565,20190301,D-07,유출,22,1489.0
197904,197904,20190301,D-07,유입,23,828.0
197935,197935,20190301,D-07,유출,23,1143.0
5395,5395,20190302,D-07,유입,0,727.0
5426,5426,20190302,D-07,유출,0,1064.0
13765,13765,20190302,D-07,유입,1,608.0
13796,13796,20190302,D-07,유출,1,830.0
22135,22135,20190302,D-07,유입,2,450.0
22166,22166,20190302,D-07,유출,2,674.0
30505,30505,20190302,D-07,유입,3,430.0
30536,30536,20190302,D-07,유출,3,529.0
38875,38875,20190302,D-07,유입,4,425.0
38906,38906,20190302,D-07,유출,4,538.0
47245,47245,20190302,D-07,유입,5,681.0
47276,47276,20190302,D-07,유출,5,534.0
55615,55615,20190302,D-07,유입,6,1047.0
55646,55646,20190302,D-07,유출,6,674.0
63985,63985,20190302,D-07,유입,7,1251.0
64016,64016,20190302,D-07,유출,7,860.0
72355,72355,20190302,D-07,유입,8,1690.0
72386,72386,20190302,D-07,유출,8,1223.0
80725,80725,20190302,D-07,유입,9,1956.0
80756,80756,20190302,D-07,유출,9,1365.0
89095,89095,20190302,D-07,유입,10,1778.0
89126,89126,20190302,D-07,유출,10,1485.0
97465,97465,20190302,D-07,유입,11,1889.0
97496,97496,20190302,D-07,유출,11,1677.0
105835,105835,20190302,D-07,유입,12,1691.0
105866,105866,20190302,D-07,유출,12,1661.0
114205,114205,20190302,D-07,유입,13,1774.0
114236,114236,20190302,D-07,유출,13,1836.0
122575,122575,20190302,D-07,유입,14,1686.0
122606,122606,20190302,D-07,유출,14,1897.0
130945,130945,20190302,D-07,유입,15,1645.0
130976,130976,20190302,D-07,유출,15,2035.0
139315,139315,20190302,D-07,유입,16,1668.0
139346,139346,20190302,D-07,유출,16,2066.0
147685,147685,20190302,D-07,유입,17,1543.0
147716,147716,20190302,D-07,유출,17,2211.0
156055,156055,20190302,D-07,유입,18,1303.0
156086,156086,20190302,D-07,유출,18,2216.0
164425,164425,20190302,D-07,유입,19,1148.0
164456,164456,20190302,D-07,유출,19,1871.0
172795,172795,20190302,D-07,유입,20,1135.0
172826,172826,20190302,D-07,유출,20,1505.0
181165,181165,20190302,D-07,유입,21,1209.0
181196,181196,20190302,D-07,유출,21,1590.0
189535,189535,20190302,D-07,유입,22,973.0
189566,189566,20190302,D-07,유출,22,1503.0
197905,197905,20190302,D-07,유입,23,886.0
197936,197936,20190302,D-07,유출,23,1191.0
5396,5396,20190303,D-07,유입,0,704.0
5427,5427,20190303,D-07,유출,0,987.0
13766,13766,20190303,D-07,유입,1,587.0
13797,13797,20190303,D-07,유출,1,862.0
22136,22136,20190303,D-07,유입,2,466.0
22167,22167,20190303,D-07,유출,2,687.0
30506,30506,20190303,D-07,유입,3,362.0
30537,30537,20190303,D-07,유출,3,575.0
38876,38876,20190303,D-07,유입,4,367.0
38907,38907,20190303,D-07,유출,4,480.0
47246,47246,20190303,D-07,유입,5,474.0
47277,47277,20190303,D-07,유출,5,455.0
55616,55616,20190303,D-07,유입,6,617.0
55647,55647,20190303,D-07,유출,6,606.0
