,Unnamed: 0,일자,지점번호,방향,시간,교통량
1178,1178,20190301,A-20,유입,0,779.0
1209,1209,20190301,A-20,유출,0,1763.0
9548,9548,20190301,A-20,유입,1,535.0
9579,9579,20190301,A-20,유출,1,1263.0
17918,17918,20190301,A-20,유입,2,448.0
17949,17949,20190301,A-20,유출,2,984.0
26288,26288,20190301,A-20,유입,3,384.0
26319,26319,20190301,A-20,유출,3,744.0
34658,34658,20190301,A-20,유입,4,405.0
34689,34689,20190301,A-20,유출,4,531.0
43028,43028,20190301,A-20,유입,5,529.0
43059,43059,20190301,A-20,유출,5,685.0
51398,51398,20190301,A-20,유입,6,927.0
51429,51429,20190301,A-20,유출,6,1151.0
59768,59768,20190301,A-20,유입,7,1136.0
59799,59799,20190301,A-20,유출,7,1222.0
68138,68138,20190301,A-20,유입,8,1444.0
68169,68169,20190301,A-20,유출,8,1217.0
76508,76508,20190301,A-20,유입,9,1724.0
76539,76539,20190301,A-20,유출,9,1574.0
84878,84878,20190301,A-20,유입,10,1946.0
84909,84909,20190301,A-20,유출,10,1593.0
93248,93248,20190301,A-20,유입,11,2011.0
93279,93279,20190301,A-20,유출,11,1586.0
101618,101618,20190301,A-20,유입,12,1905.0
101649,101649,20190301,A-20,유출,12,1534.0
109988,109988,20190301,A-20,유입,13,1661.0
110019,110019,20190301,A-20,유출,13,1565.0
118358,118358,20190301,A-20,유입,14,1384.0
118389,118389,20190301,A-20,유출,14,1763.0
126728,126728,20190301,A-20,유입,15,1437.0
126759,126759,20190301,A-20,유출,15,1491.0
135098,135098,20190301,A-20,유입,16,1073.0
135129,135129,20190301,A-20,유출,16,1580.0
143468,143468,20190301,A-20,유입,17,959.0
143499,143499,20190301,A-20,유출,17,1791.0
151838,151838,20190301,A-20,유입,18,1390.0
151869,151869,20190301,A-20,유출,18,1746.0
160208,160208,20190301,A-20,유입,19,1399.0
160239,160239,20190301,A-20,유출,19,2115.0
168578,168578,20190301,A-20,유입,20,1254.0
168609,168609,20190301,A-20,유출,20,2020.0
176948,176948,20190301,A-20,유입,21,1247.0
176979,176979,20190301,A-20,유출,21,1876.0
185318,185318,20190301,A-20,유입,22,1103.0
185349,185349,20190301,A-20,유출,22,1631.0
193688,193688,20190301,A-20,유입,23,814.0
193719,193719,20190301,A-20,유출,23,1327.0
