,avg_clus,interval_1,sing_clus,sum_2,경도,동,동주소,수소충전소,업체명,위도,자치구,주차경도,주차구획수,주차급지구분,주차기본시간,주차기본요금,주차부제시행구분,주차요금정보,주차운영요일,주차위도,주차장구분,주차장명,주차장유형,토요일운영시작시각,토요일운영종료시각,평일운영시작시각,평일운영종료시각
0,,10,1.0,4.5150509748421905,37.4763295,세곡동,서울특별시  강남구 밤고개로 200,0.0,강남복지충전소,127.1032761,강남구,,,,,,,,,,,,,,,,
1,,10,0.0,2.7859427143781472,37.52972379999999,화곡1동,서울특별시  강서구 곰달래로24길 19,0.0,대흥에너지산업(주),126.8450293,강서구,,,,,,,,,,,,,,,,
0,3.0,10,,4.9995099466958735,,역삼1동,,0.0,,,강남구,127.0388718483,78.0,1,5.0,400.0,요일제,유료,평일+토요일+공휴일,37.4925934254,공영,도곡로21길7,노외,00:00,00:00,00:00,00:00
1,1.0,10,,3.3456668066053585,,일원본동,,0.0,,,강남구,127.084056,67.0,4,5.0,100.0,미시행,혼합,평일+토요일+공휴일,37.484669,공영,일원역,노외,09:00,15:00,09:00,19:00
2,4.0,8,,1.9852128761416503,,암사1동,,0.0,,,강동구,127.137985,114.0,3,5.0,150.0,미시행,유료,평일+토요일+공휴일,37.55275200000001,공영,암사1동공영주차장,노외,00:00,00:00,00:00,00:00
3,7.0,8,,2.0247918133928167,,공항동,,0.0,,,강서구,126.810614,11.0,3,5.0,150.0,미시행,유료,평일+토요일+공휴일,37.560321,공영,공항동(송정역),노외,00:00,00:00,00:00,00:00
4,5.0,9,,2.571027031839221,,우장산동,,0.0,,,강서구,126.8385479,25.0,5,5.0,50.0,미시행,유료,평일,37.5441769,공영,화곡5-2,노외,00:00,00:00,09:00,18:00
5,0.0,9,,2.477951235004668,,대방동,,0.0,,,동작구,126.926641,39.0,3,5.0,150.0,요일제,유료,평일+토요일+공휴일,37.500189,공영,대방생태,노외,00:00,23:59,00:00,23:59
6,2.0,10,,3.8686637211629633,,잠원동,,0.0,,,서초구,127.016135,94.0,3,10.0,300.0,미시행,유료,평일+토요일+공휴일,37.515762,공영,잠원동 방음언덕형 공영주차장,노외,00:00,00:00,00:00,00:00
7,6.0,9,,2.5701354059298867,,문래동,,0.0,,,영등포구,126.887453,52.0,3,5.0,150.0,미시행,유료,평일,37.516205,공영,문래동 공영주차장,노외,00:00,00:00,09:00,18:00
