,Unnamed: 0,일자,지점번호,방향,시간,교통량
7920,7920,20190401,F-07,유입,0,1016.0
7950,7950,20190401,F-07,유출,0,1107.0
16020,16020,20190401,F-07,유입,1,660.0
16050,16050,20190401,F-07,유출,1,702.0
24120,24120,20190401,F-07,유입,2,667.0
24150,24150,20190401,F-07,유출,2,466.0
32220,32220,20190401,F-07,유입,3,530.0
32250,32250,20190401,F-07,유출,3,424.0
40320,40320,20190401,F-07,유입,4,720.0
40350,40350,20190401,F-07,유출,4,680.0
48420,48420,20190401,F-07,유입,5,1945.0
48450,48450,20190401,F-07,유출,5,2240.0
56520,56520,20190401,F-07,유입,6,3989.0
56550,56550,20190401,F-07,유출,6,3797.0
64620,64620,20190401,F-07,유입,7,4000.0
64650,64650,20190401,F-07,유출,7,3951.0
72720,72720,20190401,F-07,유입,8,4002.0
72750,72750,20190401,F-07,유출,8,3089.0
80820,80820,20190401,F-07,유입,9,3829.0
80850,80850,20190401,F-07,유출,9,2891.0
88920,88920,20190401,F-07,유입,10,3841.0
88950,88950,20190401,F-07,유출,10,3777.0
97020,97020,20190401,F-07,유입,11,3697.0
97050,97050,20190401,F-07,유출,11,3631.0
105120,105120,20190401,F-07,유입,12,3668.0
105150,105150,20190401,F-07,유출,12,3531.0
113220,113220,20190401,F-07,유입,13,3866.0
113250,113250,20190401,F-07,유출,13,3582.0
121320,121320,20190401,F-07,유입,14,3817.0
121350,121350,20190401,F-07,유출,14,3718.0
129420,129420,20190401,F-07,유입,15,3885.0
129450,129450,20190401,F-07,유출,15,3805.0
137520,137520,20190401,F-07,유입,16,3766.0
137550,137550,20190401,F-07,유출,16,3823.0
145620,145620,20190401,F-07,유입,17,3900.0
145650,145650,20190401,F-07,유출,17,3862.0
153720,153720,20190401,F-07,유입,18,3803.0
153750,153750,20190401,F-07,유출,18,3802.0
161820,161820,20190401,F-07,유입,19,3598.0
161850,161850,20190401,F-07,유출,19,3411.0
169920,169920,20190401,F-07,유입,20,3294.0
169950,169950,20190401,F-07,유출,20,3159.0
178020,178020,20190401,F-07,유입,21,3168.0
178050,178050,20190401,F-07,유출,21,3019.0
186120,186120,20190401,F-07,유입,22,2747.0
186150,186150,20190401,F-07,유출,22,2899.0
194220,194220,20190401,F-07,유입,23,1998.0
194250,194250,20190401,F-07,유출,23,1973.0
7921,7921,20190402,F-07,유입,0,1321.0
7951,7951,20190402,F-07,유출,0,1352.0
16021,16021,20190402,F-07,유입,1,911.0
