,Unnamed: 0,일자,지점번호,방향,시간,교통량
540,540,20190401,A-10,유입,0,357.0
570,570,20190401,A-10,유출,0,410.0
8640,8640,20190401,A-10,유입,1,300.0
8670,8670,20190401,A-10,유출,1,295.0
16740,16740,20190401,A-10,유입,2,198.0
16770,16770,20190401,A-10,유출,2,227.0
24840,24840,20190401,A-10,유입,3,184.0
24870,24870,20190401,A-10,유출,3,186.0
32940,32940,20190401,A-10,유입,4,263.0
32970,32970,20190401,A-10,유출,4,209.0
41040,41040,20190401,A-10,유입,5,520.0
41070,41070,20190401,A-10,유출,5,327.0
49140,49140,20190401,A-10,유입,6,1265.0
49170,49170,20190401,A-10,유출,6,612.0
57240,57240,20190401,A-10,유입,7,2369.0
57270,57270,20190401,A-10,유출,7,1327.0
65340,65340,20190401,A-10,유입,8,2543.0
65370,65370,20190401,A-10,유출,8,1440.0
73440,73440,20190401,A-10,유입,9,2255.0
73470,73470,20190401,A-10,유출,9,1482.0
81540,81540,20190401,A-10,유입,10,2252.0
81570,81570,20190401,A-10,유출,10,1598.0
89640,89640,20190401,A-10,유입,11,2260.0
89670,89670,20190401,A-10,유출,11,1598.0
97740,97740,20190401,A-10,유입,12,1847.0
97770,97770,20190401,A-10,유출,12,1590.0
105840,105840,20190401,A-10,유입,13,1959.0
105870,105870,20190401,A-10,유출,13,1758.0
113940,113940,20190401,A-10,유입,14,2108.0
113970,113970,20190401,A-10,유출,14,1861.0
122040,122040,20190401,A-10,유입,15,2002.0
122070,122070,20190401,A-10,유출,15,1673.0
130140,130140,20190401,A-10,유입,16,1927.0
130170,130170,20190401,A-10,유출,16,1838.0
138240,138240,20190401,A-10,유입,17,1877.0
138270,138270,20190401,A-10,유출,17,1960.0
146340,146340,20190401,A-10,유입,18,1698.0
146370,146370,20190401,A-10,유출,18,1985.0
154440,154440,20190401,A-10,유입,19,1384.0
154470,154470,20190401,A-10,유출,19,1732.0
162540,162540,20190401,A-10,유입,20,1288.0
162570,162570,20190401,A-10,유출,20,1565.0
170640,170640,20190401,A-10,유입,21,1032.0
170670,170670,20190401,A-10,유출,21,1370.0
178740,178740,20190401,A-10,유입,22,777.0
178770,178770,20190401,A-10,유출,22,954.0
186840,186840,20190401,A-10,유입,23,598.0
186870,186870,20190401,A-10,유출,23,663.0
541,541,20190402,A-10,유입,0,429.0
571,571,20190402,A-10,유출,0,511.0
8641,8641,20190402,A-10,유입,1,356.0
8671,8671,20190402,A-10,유출,1,366.0
16741,16741,20190402,A-10,유입,2,239.0
16771,16771,20190402,A-10,유출,2,296.0
24841,24841,20190402,A-10,유입,3,214.0
24871,24871,20190402,A-10,유출,3,228.0
32941,32941,20190402,A-10,유입,4,307.0
32971,32971,20190402,A-10,유출,4,241.0
