,Unnamed: 0,일자,지점번호,방향,시간,교통량
1920,1920,20190401,B-09,유입,0,363.0
1950,1950,20190401,B-09,유출,0,
10020,10020,20190401,B-09,유입,1,241.0
10050,10050,20190401,B-09,유출,1,
18120,18120,20190401,B-09,유입,2,188.0
18150,18150,20190401,B-09,유출,2,
26220,26220,20190401,B-09,유입,3,190.0
26250,26250,20190401,B-09,유출,3,
34320,34320,20190401,B-09,유입,4,318.0
34350,34350,20190401,B-09,유출,4,
42420,42420,20190401,B-09,유입,5,1232.0
42450,42450,20190401,B-09,유출,5,
50520,50520,20190401,B-09,유입,6,2446.0
50550,50550,20190401,B-09,유출,6,
58620,58620,20190401,B-09,유입,7,3015.0
58650,58650,20190401,B-09,유출,7,
66720,66720,20190401,B-09,유입,8,2955.0
66750,66750,20190401,B-09,유출,8,
74820,74820,20190401,B-09,유입,9,2487.0
74850,74850,20190401,B-09,유출,9,
82920,82920,20190401,B-09,유입,10,2285.0
82950,82950,20190401,B-09,유출,10,
91020,91020,20190401,B-09,유입,11,1844.0
91050,91050,20190401,B-09,유출,11,
99120,99120,20190401,B-09,유입,12,1754.0
99150,99150,20190401,B-09,유출,12,
107220,107220,20190401,B-09,유입,13,2015.0
107250,107250,20190401,B-09,유출,13,
115320,115320,20190401,B-09,유입,14,2184.0
115350,115350,20190401,B-09,유출,14,
123420,123420,20190401,B-09,유입,15,2087.0
123450,123450,20190401,B-09,유출,15,
131520,131520,20190401,B-09,유입,16,2171.0
131550,131550,20190401,B-09,유출,16,
139620,139620,20190401,B-09,유입,17,2648.0
139650,139650,20190401,B-09,유출,17,
147720,147720,20190401,B-09,유입,18,2522.0
147750,147750,20190401,B-09,유출,18,
155820,155820,20190401,B-09,유입,19,2081.0
155850,155850,20190401,B-09,유출,19,
163920,163920,20190401,B-09,유입,20,1434.0
163950,163950,20190401,B-09,유출,20,
172020,172020,20190401,B-09,유입,21,1222.0
172050,172050,20190401,B-09,유출,21,
180120,180120,20190401,B-09,유입,22,1023.0
180150,180150,20190401,B-09,유출,22,
188220,188220,20190401,B-09,유입,23,738.0
188250,188250,20190401,B-09,유출,23,
1921,1921,20190402,B-09,유입,0,481.0
1951,1951,20190402,B-09,유출,0,
10021,10021,20190402,B-09,유입,1,300.0
10051,10051,20190402,B-09,유출,1,
18121,18121,20190402,B-09,유입,2,206.0
18151,18151,20190402,B-09,유출,2,
26221,26221,20190402,B-09,유입,3,191.0
26251,26251,20190402,B-09,유출,3,
34321,34321,20190402,B-09,유입,4,391.0
34351,34351,20190402,B-09,유출,4,
42421,42421,20190402,B-09,유입,5,1174.0
42451,42451,20190402,B-09,유출,5,
50521,50521,20190402,B-09,유입,6,2395.0
50551,50551,20190402,B-09,유출,6,
