,Unnamed: 0,일자,지점번호,방향,시간,교통량
5040,5040,20190401,D-04,유입,0,864.0
5070,5070,20190401,D-04,유출,0,671.0
13140,13140,20190401,D-04,유입,1,548.0
13170,13170,20190401,D-04,유출,1,462.0
21240,21240,20190401,D-04,유입,2,427.0
21270,21270,20190401,D-04,유출,2,332.0
29340,29340,20190401,D-04,유입,3,342.0
29370,29370,20190401,D-04,유출,3,251.0
37440,37440,20190401,D-04,유입,4,392.0
37470,37470,20190401,D-04,유출,4,343.0
45540,45540,20190401,D-04,유입,5,778.0
45570,45570,20190401,D-04,유출,5,682.0
53640,53640,20190401,D-04,유입,6,1810.0
53670,53670,20190401,D-04,유출,6,1197.0
61740,61740,20190401,D-04,유입,7,3026.0
61770,61770,20190401,D-04,유출,7,2472.0
69840,69840,20190401,D-04,유입,8,2976.0
69870,69870,20190401,D-04,유출,8,2790.0
77940,77940,20190401,D-04,유입,9,2583.0
77970,77970,20190401,D-04,유출,9,2562.0
86040,86040,20190401,D-04,유입,10,2581.0
86070,86070,20190401,D-04,유출,10,2387.0
94140,94140,20190401,D-04,유입,11,2659.0
94170,94170,20190401,D-04,유출,11,2162.0
102240,102240,20190401,D-04,유입,12,2456.0
102270,102270,20190401,D-04,유출,12,2005.0
110340,110340,20190401,D-04,유입,13,2373.0
110370,110370,20190401,D-04,유출,13,2108.0
118440,118440,20190401,D-04,유입,14,2539.0
118470,118470,20190401,D-04,유출,14,2156.0
126540,126540,20190401,D-04,유입,15,2785.0
126570,126570,20190401,D-04,유출,15,2319.0
134640,134640,20190401,D-04,유입,16,2893.0
134670,134670,20190401,D-04,유출,16,2710.0
142740,142740,20190401,D-04,유입,17,2932.0
142770,142770,20190401,D-04,유출,17,2722.0
150840,150840,20190401,D-04,유입,18,2677.0
150870,150870,20190401,D-04,유출,18,2709.0
158940,158940,20190401,D-04,유입,19,2094.0
158970,158970,20190401,D-04,유출,19,1991.0
167040,167040,20190401,D-04,유입,20,1880.0
167070,167070,20190401,D-04,유출,20,1639.0
175140,175140,20190401,D-04,유입,21,2094.0
175170,175170,20190401,D-04,유출,21,1539.0
183240,183240,20190401,D-04,유입,22,1750.0
183270,183270,20190401,D-04,유출,22,1401.0
191340,191340,20190401,D-04,유입,23,1277.0
191370,191370,20190401,D-04,유출,23,1023.0
5041,5041,20190402,D-04,유입,0,967.0
5071,5071,20190402,D-04,유출,0,764.0
13141,13141,20190402,D-04,유입,1,679.0
13171,13171,20190402,D-04,유출,1,537.0
21241,21241,20190402,D-04,유입,2,477.0
21271,21271,20190402,D-04,유출,2,414.0
29341,29341,20190402,D-04,유입,3,392.0
29371,29371,20190402,D-04,유출,3,265.0
37441,37441,20190402,D-04,유입,4,452.0
37471,37471,20190402,D-04,유출,4,363.0
45541,45541,20190402,D-04,유입,5,744.0
45571,45571,20190402,D-04,유출,5,649.0
53641,53641,20190402,D-04,유입,6,1596.0
53671,53671,20190402,D-04,유출,6,1257.0
61741,61741,20190402,D-04,유입,7,2917.0
61771,61771,20190402,D-04,유출,7,2279.0
69841,69841,20190402,D-04,유입,8,2999.0
69871,69871,20190402,D-04,유출,8,2788.0
77941,77941,20190402,D-04,유입,9,3022.0
77971,77971,20190402,D-04,유출,9,2808.0
86041,86041,20190402,D-04,유입,10,2683.0
86071,86071,20190402,D-04,유출,10,2296.0
94141,94141,20190402,D-04,유입,11,2624.0
94171,94171,20190402,D-04,유출,11,2277.0
102241,102241,20190402,D-04,유입,12,2203.0
102271,102271,20190402,D-04,유출,12,2020.0
110341,110341,20190402,D-04,유입,13,2511.0
110371,110371,20190402,D-04,유출,13,2173.0
118441,118441,20190402,D-04,유입,14,2674.0
118471,118471,20190402,D-04,유출,14,2277.0
126541,126541,20190402,D-04,유입,15,2733.0
126571,126571,20190402,D-04,유출,15,2377.0
134641,134641,20190402,D-04,유입,16,2886.0
134671,134671,20190402,D-04,유출,16,2720.0
142741,142741,20190402,D-04,유입,17,2899.0
142771,142771,20190402,D-04,유출,17,2949.0
150841,150841,20190402,D-04,유입,18,2929.0
150871,150871,20190402,D-04,유출,18,2574.0
158941,158941,20190402,D-04,유입,19,2304.0
158971,158971,20190402,D-04,유출,19,2122.0
167041,167041,20190402,D-04,유입,20,2155.0
167071,167071,20190402,D-04,유출,20,1659.0
175141,175141,20190402,D-04,유입,21,2248.0
175171,175171,20190402,D-04,유출,21,1606.0
183241,183241,20190402,D-04,유입,22,2073.0
183271,183271,20190402,D-04,유출,22,1542.0
191341,191341,20190402,D-04,유입,23,1470.0
191371,191371,20190402,D-04,유출,23,1153.0
5042,5042,20190403,D-04,유입,0,1070.0
5072,5072,20190403,D-04,유출,0,805.0
13142,13142,20190403,D-04,유입,1,751.0
13172,13172,20190403,D-04,유출,1,609.0
21242,21242,20190403,D-04,유입,2,570.0
21272,21272,20190403,D-04,유출,2,441.0
29342,29342,20190403,D-04,유입,3,440.0
29372,29372,20190403,D-04,유출,3,334.0
37442,37442,20190403,D-04,유입,4,441.0
37472,37472,20190403,D-04,유출,4,332.0
45542,45542,20190403,D-04,유입,5,726.0
45572,45572,20190403,D-04,유출,5,605.0
53642,53642,20190403,D-04,유입,6,1558.0
53672,53672,20190403,D-04,유출,6,1259.0
61742,61742,20190403,D-04,유입,7,2839.0
61772,61772,20190403,D-04,유출,7,2181.0
69842,69842,20190403,D-04,유입,8,2937.0
69872,69872,20190403,D-04,유출,8,2850.0
77942,77942,20190403,D-04,유입,9,2738.0
77972,77972,20190403,D-04,유출,9,2683.0
86042,86042,20190403,D-04,유입,10,2618.0
86072,86072,20190403,D-04,유출,10,2266.0
94142,94142,20190403,D-04,유입,11,2509.0
94172,94172,20190403,D-04,유출,11,2225.0
102242,102242,20190403,D-04,유입,12,2408.0
102272,102272,20190403,D-04,유출,12,2002.0
110342,110342,20190403,D-04,유입,13,2518.0
110372,110372,20190403,D-04,유출,13,2082.0
118442,118442,20190403,D-04,유입,14,2686.0
118472,118472,20190403,D-04,유출,14,2329.0
126542,126542,20190403,D-04,유입,15,2786.0
126572,126572,20190403,D-04,유출,15,2382.0
134642,134642,20190403,D-04,유입,16,2848.0
134672,134672,20190403,D-04,유출,16,2865.0
142742,142742,20190403,D-04,유입,17,2982.0
142772,142772,20190403,D-04,유출,17,3102.0
150842,150842,20190403,D-04,유입,18,2679.0
150872,150872,20190403,D-04,유출,18,2822.0
158942,158942,20190403,D-04,유입,19,2278.0
158972,158972,20190403,D-04,유출,19,2260.0
167042,167042,20190403,D-04,유입,20,2110.0
167072,167072,20190403,D-04,유출,20,1734.0
175142,175142,20190403,D-04,유입,21,2068.0
175172,175172,20190403,D-04,유출,21,1691.0
183242,183242,20190403,D-04,유입,22,2077.0
183272,183272,20190403,D-04,유출,22,1393.0
191342,191342,20190403,D-04,유입,23,1560.0
191372,191372,20190403,D-04,유출,23,1110.0
5043,5043,20190404,D-04,유입,0,1081.0
5073,5073,20190404,D-04,유출,0,842.0
13143,13143,20190404,D-04,유입,1,815.0
13173,13173,20190404,D-04,유출,1,637.0
21243,21243,20190404,D-04,유입,2,591.0
21273,21273,20190404,D-04,유출,2,492.0
29343,29343,20190404,D-04,유입,3,468.0
29373,29373,20190404,D-04,유출,3,405.0
37443,37443,20190404,D-04,유입,4,464.0
37473,37473,20190404,D-04,유출,4,392.0
45543,45543,20190404,D-04,유입,5,753.0
45573,45573,20190404,D-04,유출,5,695.0
53643,53643,20190404,D-04,유입,6,1613.0
53673,53673,20190404,D-04,유출,6,1267.0
61743,61743,20190404,D-04,유입,7,2837.0
61773,61773,20190404,D-04,유출,7,2125.0
69843,69843,20190404,D-04,유입,8,3018.0
69873,69873,20190404,D-04,유출,8,2795.0
77943,77943,20190404,D-04,유입,9,2595.0
77973,77973,20190404,D-04,유출,9,2728.0
86043,86043,20190404,D-04,유입,10,2628.0
86073,86073,20190404,D-04,유출,10,2478.0
94143,94143,20190404,D-04,유입,11,2597.0
94173,94173,20190404,D-04,유출,11,2359.0
102243,102243,20190404,D-04,유입,12,2246.0
102273,102273,20190404,D-04,유출,12,2215.0
110343,110343,20190404,D-04,유입,13,2607.0
110373,110373,20190404,D-04,유출,13,2118.0
118443,118443,20190404,D-04,유입,14,2646.0
118473,118473,20190404,D-04,유출,14,2280.0
126543,126543,20190404,D-04,유입,15,2753.0
126573,126573,20190404,D-04,유출,15,2354.0
134643,134643,20190404,D-04,유입,16,2896.0
134673,134673,20190404,D-04,유출,16,2728.0
142743,142743,20190404,D-04,유입,17,2956.0
142773,142773,20190404,D-04,유출,17,3084.0
150843,150843,20190404,D-04,유입,18,2651.0
150873,150873,20190404,D-04,유출,18,2775.0
158943,158943,20190404,D-04,유입,19,2510.0
158973,158973,20190404,D-04,유출,19,2186.0
167043,167043,20190404,D-04,유입,20,2213.0
167073,167073,20190404,D-04,유출,20,1910.0
175143,175143,20190404,D-04,유입,21,2265.0
175173,175173,20190404,D-04,유출,21,1589.0
183243,183243,20190404,D-04,유입,22,2178.0
183273,183273,20190404,D-04,유출,22,1633.0
191343,191343,20190404,D-04,유입,23,1657.0
191373,191373,20190404,D-04,유출,23,1251.0
5044,5044,20190405,D-04,유입,0,1231.0
5074,5074,20190405,D-04,유출,0,932.0
13144,13144,20190405,D-04,유입,1,845.0
13174,13174,20190405,D-04,유출,1,709.0
21244,21244,20190405,D-04,유입,2,700.0
21274,21274,20190405,D-04,유출,2,548.0
29344,29344,20190405,D-04,유입,3,553.0
29374,29374,20190405,D-04,유출,3,407.0
37444,37444,20190405,D-04,유입,4,515.0
37474,37474,20190405,D-04,유출,4,402.0
45544,45544,20190405,D-04,유입,5,782.0
45574,45574,20190405,D-04,유출,5,717.0
53644,53644,20190405,D-04,유입,6,1462.0
53674,53674,20190405,D-04,유출,6,1267.0
61744,61744,20190405,D-04,유입,7,2729.0
61774,61774,20190405,D-04,유출,7,1952.0
69844,69844,20190405,D-04,유입,8,2816.0
69874,69874,20190405,D-04,유출,8,2426.0
77944,77944,20190405,D-04,유입,9,2613.0
77974,77974,20190405,D-04,유출,9,2397.0
86044,86044,20190405,D-04,유입,10,2602.0
86074,86074,20190405,D-04,유출,10,2269.0
94144,94144,20190405,D-04,유입,11,2705.0
94174,94174,20190405,D-04,유출,11,2377.0
102244,102244,20190405,D-04,유입,12,2438.0
102274,102274,20190405,D-04,유출,12,2162.0
110344,110344,20190405,D-04,유입,13,2557.0
110374,110374,20190405,D-04,유출,13,2133.0
118444,118444,20190405,D-04,유입,14,2824.0
118474,118474,20190405,D-04,유출,14,2337.0
126544,126544,20190405,D-04,유입,15,2778.0
126574,126574,20190405,D-04,유출,15,2495.0
134644,134644,20190405,D-04,유입,16,2948.0
134674,134674,20190405,D-04,유출,16,2891.0
142744,142744,20190405,D-04,유입,17,2812.0
142774,142774,20190405,D-04,유출,17,3103.0
150844,150844,20190405,D-04,유입,18,2750.0
150874,150874,20190405,D-04,유출,18,2792.0
158944,158944,20190405,D-04,유입,19,2476.0
158974,158974,20190405,D-04,유출,19,2268.0
167044,167044,20190405,D-04,유입,20,2325.0
167074,167074,20190405,D-04,유출,20,2063.0
175144,175144,20190405,D-04,유입,21,2359.0
175174,175174,20190405,D-04,유출,21,2132.0
183244,183244,20190405,D-04,유입,22,2311.0
183274,183274,20190405,D-04,유출,22,1910.0
191344,191344,20190405,D-04,유입,23,2438.0
191374,191374,20190405,D-04,유출,23,1879.0
5045,5045,20190406,D-04,유입,0,2074.0
5075,5075,20190406,D-04,유출,0,1722.0
13145,13145,20190406,D-04,유입,1,1882.0
13175,13175,20190406,D-04,유출,1,1396.0
21245,21245,20190406,D-04,유입,2,1613.0
21275,21275,20190406,D-04,유출,2,1267.0
29345,29345,20190406,D-04,유입,3,1355.0
29375,29375,20190406,D-04,유출,3,1132.0
37445,37445,20190406,D-04,유입,4,1097.0
37475,37475,20190406,D-04,유출,4,1032.0
45545,45545,20190406,D-04,유입,5,1209.0
45575,45575,20190406,D-04,유출,5,1198.0
53645,53645,20190406,D-04,유입,6,1449.0
53675,53675,20190406,D-04,유출,6,1308.0
61745,61745,20190406,D-04,유입,7,1326.0
61775,61775,20190406,D-04,유출,7,1253.0
69845,69845,20190406,D-04,유입,8,1786.0
69875,69875,20190406,D-04,유출,8,1655.0
77945,77945,20190406,D-04,유입,9,2220.0
77975,77975,20190406,D-04,유출,9,1833.0
86045,86045,20190406,D-04,유입,10,2436.0
86075,86075,20190406,D-04,유출,10,2097.0
94145,94145,20190406,D-04,유입,11,2747.0
94175,94175,20190406,D-04,유출,11,2266.0
102245,102245,20190406,D-04,유입,12,2731.0
102275,102275,20190406,D-04,유출,12,2277.0
110345,110345,20190406,D-04,유입,13,2771.0
