,자치구,동,sum_2,interval_1,수소충전소,주차장명,주차장구분,주차장유형,주차구획수,주차급지구분,주차부제시행구분,주차운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,주차요금정보,주차기본시간,주차기본요금,주차경도,주차위도,avg_clus
0,구로구,구로2동,2.281144856701434,9,0,하늘공원 주차장,공영,노외,198.0,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,유료,5.0,150.0,126.880518,37.487394,1
1,동작구,대방동,2.4779512350046677,9,0,대방생태,공영,노외,39.0,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,유료,5.0,150.0,126.92664099999999,37.500189,4
2,동작구,흑석동,2.38933513113716,9,0,흑석3동,공영,노외,108.0,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,250.0,126.96228700000002,37.506417,2
3,송파구,잠실본동,2.5272378487337037,9,0,아시아공원,공영,노외,115.0,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,0.0,0.0,127.07828,37.510186,5
4,송파구,잠실3동,2.673941639721189,10,0,더다이닝호수,공영,노외,20.0,1,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,0.0,0.0,127.10108799999999,37.510556,3
5,양천구,신정3동,2.570891707009513,9,0,다락골,공영,노외,102.0,5,미시행,평일+토요일+공휴일,00:00,24:00,00:00,24:00,혼합,5.0,50.0,126.849601,37.516131,0
