,자치구,동,동별_승용차수,edu_percent,동별_친환경자동차수,합계_사업체수,㎡당 매매평균가,가구수별_승용차수,동별_수소차_대수,택시,동별_수소차_비율,승용차수_percentage,interval_1,interval_2,sum_2
0,강남구,신사동,2472.428898919177,0.38288784745917875,0.3907707641398413,0.270683852943044,0.340080971659919,0.5801374449210355,0.3008653136757146,0.6915938226502361,0.006290338855147619,247.24288989191768,10,10,2.957020017448969
1,강남구,논현1동,3339.645861836541,0.5189478267635202,0.5285264193821064,0.34770461616610576,0.34367971210076476,0.43850806546180043,0.5388788573610922,0.6981356903465393,0.01122159329032222,333.9645861836541,10,10,3.414381187581929
2,강남구,논현2동,3095.775790798479,0.48068640172547156,0.4897881533352659,0.3454187567464601,0.34367971210076476,0.5019763110509374,0.43623928540990603,0.6854419909175264,0.009095067897810262,309.57757907984796,10,10,3.2832306112863323
3,강남구,삼성1동,2116.9643275313133,0.32711806400872756,0.33430593810343895,0.258238618324973,0.5416104363472785,0.663095332537292,0.22484397733755118,0.7110333994479584,0.004715300114995038,211.69643275313135,10,10,3.0602457661072195
4,강남구,삼성2동,4232.263065505166,0.6589929174975503,0.6703168513384137,0.2309987935741952,0.5416104363472785,0.5954846779493588,0.5036463060156998,0.6831623992835937,0.010491631993186349,423.22630655051665,10,10,3.88421238200609
5,강남구,대치1동,3551.869731282868,0.5522441949383504,0.5622377505065341,0.06546447393485301,0.6104363472784525,1.0,0.250859210849308,0.6821694278796775,0.005254293542220058,355.1869731282868,10,10,3.723411405387176
6,강남구,대치4동,2951.563494948425,0.4580605504935236,0.466880322701989,0.2283954536795987,0.6104363472784525,0.5183005641787437,0.4026865256323257,0.6990497661806618,0.008399909156405809,295.1563494948425,10,10,3.383809530145295
7,강남구,역삼1동,5116.274723126917,0.7976878611898283,0.8107403097631877,0.9834275192075688,0.4574898785425101,0.4354046294998152,0.8328854533068738,0.6818742951860901,0.017312932916544052,511.6274723126917,10,10,4.9995099466958735
8,강남구,역삼2동,5110.861557065173,0.7968385751474357,0.8098804393159328,0.2144898088767541,0.4574898785425101,0.6560600183627283,0.5525756193755603,0.677808647442823,0.01150536797551685,511.0861557065173,10,10,4.165142987063744
9,강남구,도곡1동,3170.7273208841675,0.49244574692783144,0.5016940518357178,0.10070480665439076,0.4188034188034188,0.6846669809269553,0.3274404777100755,0.6659672677681162,0.006840933134283112,317.0727320884168,10,10,3.1917227506265062
10,강남구,도곡2동,4816.885000173531,0.7507158100759573,0.7631828596419382,0.11149914280271764,0.4188034188034188,0.7283159974132997,0.4689306136142494,0.6948118770290931,0.009772379174737066,481.68850001735314,10,10,3.9362597193806743
11,강남구,개포1동,1082.6332123488226,0.16483910021616124,0.1700045387972034,0.02317607467140771,1.0,0.22911772037427877,0.3311446334749946,0.6885348287237448,0.006917677231537006,108.26332123488226,10,10,2.6068168962577905
12,강남구,개포4동,2626.079535594836,0.40699450512401636,0.41517785606576757,0.13207187757952885,1.0,0.5197978570039035,0.3569445090934421,0.6984651842575973,0.007452208792642612,262.60795355948363,10,10,3.5294517891242556
13,강남구,일원본동,3439.581235284125,0.5346269537000002,0.5444009507160422,0.021969648866594704,0.47863247863247865,0.7491684504493243,0.324726968254379,0.6921413559865398,0.006784713621178515,343.9581235284125,10,10,3.345666806605359
14,강남구,일원1동,2378.46188805249,0.36814511282584966,0.37584429509390443,0.1308019556797257,0.47863247863247865,0.5641669993304105,0.2975488021187523,0.8019990617579188,0.006221626116908669,237.846188805249,10,10,3.0171387054390397
15,강남구,일원2동,2303.093960577438,0.35632043792792123,0.3638722527128945,0.03454187567464601,0.47863247863247865,0.6128998940359963,0.26502976022905633,0.7340432567830157,0.005547884332877394,230.3093960577438,10,10,2.8453399559960086
16,강남구,수서동,2279.2205102538487,0.3525748687153177,0.3600800035608987,0.0904819353609753,0.4394961763382816,0.5388644998132993,0.2984533052706511,0.6967521529319939,0.0062403659546102,227.9220510253849,10,10,2.7767029419914175
17,강남구,세곡동,6307.726453229775,0.9846178967769711,1.0,0.05860689567591593,0.3049932523616734,0.7196156784180234,0.6223515768077557,0.8248656748018504,0.01295101259820647,630.7726453229775,10,10,4.51505097484219
18,강남구,압구정동,3906.6403070217907,0.6079050955628535,0.6185923367420062,0.255825766715347,0.7156995051731894,0.6804151838861937,0.406606039290554,0.6811356575837245,0.008481115119779115,390.6640307021791,10,10,3.9661795849538684
19,강남구,청담동,4189.651732660155,0.6523075119843571,0.6635481275613051,0.2749380913073846,0.5393612235717499,0.629145769341324,0.47185948096325514,0.6848344318452875,0.009833060553961074,418.96517326601554,10,10,3.915994636574663
20,강남구,대치2동,5574.589449687919,0.86959407944574,0.8835426742974322,0.24528541494698075,0.6104363472784525,0.7216599672155335,0.5481392467733898,0.6963831786186684,0.011413453533456953,557.4589449687919,10,10,4.575040908576197
21,강남구,개포2동,1923.061943217043,0.2966962024389187,0.30350493772356635,0.036954727284272015,1.0,0.3126233676750262,0.43348270437554776,0.688833816284009,0.009037956011481784,192.3061943217043,10,10,3.07209575578134
