,자치구,동,edu_percent,동별_친환경자동차수,총가구,면적_동,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,합계_사업체수,총_수급자_가구,㎡당 매매평균가,㎡당 전세평균가,수입차합계,수입화물차,수입특수차,주택건설현황,인구,면적,인구밀도,행정구역코드,구별_인구_비율,가구수_비율,동별_승용차수,가구수별_승용차수,동별_수소차_대수
16,종로구,혜화동,17257.369818311192,198.5056003336891,11000,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1737,175.0,614.0,462.0,9497.0,59.0,38.0,548,20366,1.12,18184,1101073.0,0.12492485861150981,0.1607505589735346,1165.424005986775,0.10594763690788864,1.607505589735346
17,중구,소공동,2137.0005234714267,36.90753725125891,664,0.95,3.0,2.0,125379.0,0.0,0.0,0.0,0.0,3918,24.0,921.0,607.0,11403.0,144.0,50.0,2156,2936,0.95,3091,1102052.0,0.0216466494142281,0.011962239677163653,241.18696777332948,0.3632333852007974,0.04784895870865461
18,중구,회현동,4332.2299440401675,74.82072946849217,2732,0.84,9.0,1.0,131663.0,0.0,0.0,0.0,0.0,9425,498.0,794.0,538.0,11403.0,144.0,50.0,2156,5952,0.84,7086,1102054.0,0.043883125787971954,0.04921813071989623,488.9457875295835,0.1789699075876953,0.19687252287958493
19,중구,명동,2525.6784115959977,43.620284149137746,1489,0.99,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6770,52.0,531.0,365.0,11403.0,144.0,50.0,2156,3470,0.99,3505,1102055.0,0.025583744368995746,0.026824962167615478,285.0540797593506,0.1914399461110481,0.10729984867046191
20,중구,필동,3672.059823199369,63.4191162917579,2408,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075,66.0,531.0,365.0,11403.0,144.0,50.0,2156,5045,1.14,4425,1102057.0,0.037195962634462114,0.04338113425091879,414.4374156731769,0.17210856132607014,0.17352453700367515
21,중구,장충동,4114.5994411389565,71.06209403316302,3094,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855,67.0,534.0,386.0,11403.0,144.0,50.0,2156,5653,1.36,4157,1102058.0,0.04167864752678183,0.055739713194494486,464.3834907434032,0.15009162596748649,0.22295885277797794
22,중구,광희동,4408.655371480392,76.14065161133352,2764,0.74,12.0,0.0,0.0,0.0,0.0,0.0,0.0,9253,114.0,473.0,305.5,11403.0,144.0,50.0,2156,6057,0.74,8185,1102059.0,0.04465727367233638,0.04979462419831376,497.5713432571719,0.18001857570809404,0.19917849679325503
23,중구,을지로동,1383.6641672749258,23.896876128965665,960,0.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9453,81.0,531.0,365.0,11403.0,144.0,50.0,2156,1901,0.6,3168,1102060.0,0.01401576312549306,0.017294804352525762,156.16363274424367,0.16267045077525383,0.06917921741010305
24,중구,신당5동,7053.703022125885,121.82252844071871,4390,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305,243.0,788.0,466.0,11403.0,144.0,50.0,2156,9691,0.39,24849,1102065.0,0.07145016330833942,0.07908769907040426,796.0977195815178,0.18134344409601771,0.31635079628161705
25,중구,황학동,9738.78303952578,168.19579305921127,5758,0.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1867,309.0,690.0,488.0,11403.0,144.0,50.0,2156,13380,0.33,40545,1102067.0,0.09864855897900954,0.10373279527275348,1099.1422441441243,0.19088958738175135,0.4149311810910139
26,중구,중림동,9447.63855403921,163.16751822933946,3682,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982,409.0,941.0,525.5,11403.0,144.0,50.0,2156,12980,0.48,27042,1102068.0,0.09569942418143078,0.06633278086041651,1066.2829842295018,0.2895934232019288,0.26533112344166604
27,중구,신당동,6855.7247719950155,118.40330155640589,4171,0.55,16.0,0.0,0.0,0.0,0.0,2.0,520932.0,12073,211.0,702.0,472.5,11403.0,144.0,50.0,2156,9419,0.55,17125,1102069.0,0.06944475164598586,0.07514232182748433,773.7534228395745,0.18550789327249448,0.3005692873099373
28,중구,다산동,11000.166522896348,189.98079375963079,6382,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396,253.0,702.0,472.5,11403.0,144.0,50.0,2156,15113,0.51,29633,1102070.0,0.11142568548951952,0.11497441810189522,1241.5049877242266,0.19453227635917056,0.4598976724075809
29,중구,약수동,13081.849594125322,225.93295879321403,7266,0.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,841,510.0,702.0,472.5,11403.0,144.0,50.0,2156,17973,0.48,37444,1102071.0,0.13251199929220764,0.13090005044317937,1476.4486961137775,0.20319965539688653,0.5236002017727175
30,중구,청구동,10804.371856406628,186.599278936542,5878,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785,419.0,702.0,472.5,11403.0,144.0,50.0,2156,14844,0.34,43659,1102072.0,0.1094423923381478,0.10589464581681919,1219.4071354316427,0.20745272804213044,0.42357858326727676
31,중구,동화동,8165.874956684583,141.03053829082893,3870,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938,100.0,702.0,472.5,11403.0,144.0,50.0,2156,11219,0.26,43150,1102073.0,0.08271585823509028,0.06971968004611948,921.6200924553759,0.23814472673265527,0.2788787201844779
32,용산구,후암동,15547.550777265493,176.20150556938268,7502,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859,509.0,846.0,315.0,22513.0,131.0,6.0,2068,18703,0.86,21748,1103051.0,0.07631074299237015,0.07783368781449396,1703.0268513607245,0.2270097109251832,0.23350106344348187
