,자치구,동,면적_동,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,합계_사업체수,총_수급자_가구,㎡당 매매평균가,㎡당 전세평균가,수입차합계,수입화물차,수입특수차,주택건설현황,남자수,여자수,인구,면적,인구밀도,사용년수,세대수
32,종로구,무악동,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,101.0,809.0,503.0,9497.0,59.0,38.0,548,3686,4194,8260,0.36,22944,0-5,2238
33,종로구,무악동,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,101.0,809.0,503.0,9497.0,59.0,38.0,548,3686,4194,8260,0.36,22944,5-10,1626
34,종로구,무악동,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,101.0,809.0,503.0,9497.0,59.0,38.0,548,3686,4194,8260,0.36,22944,10-15,1950
35,종로구,무악동,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,101.0,809.0,503.0,9497.0,59.0,38.0,548,3686,4194,8260,0.36,22944,15-20,2088
36,종로구,무악동,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,101.0,809.0,503.0,9497.0,59.0,38.0,548,3686,4194,8260,0.36,22944,20-30,3357
37,종로구,무악동,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,101.0,809.0,503.0,9497.0,59.0,38.0,548,3686,4194,8260,0.36,22944,30-40,720
38,종로구,무악동,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,101.0,809.0,503.0,9497.0,59.0,38.0,548,3686,4194,8260,0.36,22944,40-50,421
39,종로구,무악동,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,101.0,809.0,503.0,9497.0,59.0,38.0,548,3686,4194,8260,0.36,22944,50-,221
40,종로구,교남동,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347,131.0,1065.75,600.0,9497.0,59.0,38.0,548,2022,2294,10846,0.35,30989,0-5,2238
41,종로구,교남동,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347,131.0,1065.75,600.0,9497.0,59.0,38.0,548,2022,2294,10846,0.35,30989,5-10,1626
42,종로구,교남동,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347,131.0,1065.75,600.0,9497.0,59.0,38.0,548,2022,2294,10846,0.35,30989,10-15,1950
43,종로구,교남동,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347,131.0,1065.75,600.0,9497.0,59.0,38.0,548,2022,2294,10846,0.35,30989,15-20,2088
44,종로구,교남동,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347,131.0,1065.75,600.0,9497.0,59.0,38.0,548,2022,2294,10846,0.35,30989,20-30,3357
45,종로구,교남동,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347,131.0,1065.75,600.0,9497.0,59.0,38.0,548,2022,2294,10846,0.35,30989,30-40,720
46,종로구,교남동,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347,131.0,1065.75,600.0,9497.0,59.0,38.0,548,2022,2294,10846,0.35,30989,40-50,421
47,종로구,교남동,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347,131.0,1065.75,600.0,9497.0,59.0,38.0,548,2022,2294,10846,0.35,30989,50-,221
48,종로구,가회동,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747,45.0,716.0,442.0,9497.0,59.0,38.0,548,2025,2339,4546,0.54,8419,0-5,2238
49,종로구,가회동,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747,45.0,716.0,442.0,9497.0,59.0,38.0,548,2025,2339,4546,0.54,8419,5-10,1626
50,종로구,가회동,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747,45.0,716.0,442.0,9497.0,59.0,38.0,548,2025,2339,4546,0.54,8419,10-15,1950
51,종로구,가회동,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747,45.0,716.0,442.0,9497.0,59.0,38.0,548,2025,2339,4546,0.54,8419,15-20,2088
52,종로구,가회동,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747,45.0,716.0,442.0,9497.0,59.0,38.0,548,2025,2339,4546,0.54,8419,20-30,3357
53,종로구,가회동,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747,45.0,716.0,442.0,9497.0,59.0,38.0,548,2025,2339,4546,0.54,8419,30-40,720
54,종로구,가회동,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747,45.0,716.0,442.0,9497.0,59.0,38.0,548,2025,2339,4546,0.54,8419,40-50,421
55,종로구,가회동,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747,45.0,716.0,442.0,9497.0,59.0,38.0,548,2025,2339,4546,0.54,8419,50-,221
56,종로구,종로1.2.3.4가동,2.35,6.0,0.0,0.0,0.0,0.0,2.0,168311.0,15851,627.0,511.0,356.0,9497.0,59.0,38.0,548,3501,2700,8462,2.35,3601,0-5,2238
57,종로구,종로1.2.3.4가동,2.35,6.0,0.0,0.0,0.0,0.0,2.0,168311.0,15851,627.0,511.0,356.0,9497.0,59.0,38.0,548,3501,2700,8462,2.35,3601,5-10,1626
58,종로구,종로1.2.3.4가동,2.35,6.0,0.0,0.0,0.0,0.0,2.0,168311.0,15851,627.0,511.0,356.0,9497.0,59.0,38.0,548,3501,2700,8462,2.35,3601,10-15,1950
59,종로구,종로1.2.3.4가동,2.35,6.0,0.0,0.0,0.0,0.0,2.0,168311.0,15851,627.0,511.0,356.0,9497.0,59.0,38.0,548,3501,2700,8462,2.35,3601,15-20,2088
60,종로구,종로1.2.3.4가동,2.35,6.0,0.0,0.0,0.0,0.0,2.0,168311.0,15851,627.0,511.0,356.0,9497.0,59.0,38.0,548,3501,2700,8462,2.35,3601,20-30,3357
61,종로구,종로1.2.3.4가동,2.35,6.0,0.0,0.0,0.0,0.0,2.0,168311.0,15851,627.0,511.0,356.0,9497.0,59.0,38.0,548,3501,2700,8462,2.35,3601,30-40,720
62,종로구,종로1.2.3.4가동,2.35,6.0,0.0,0.0,0.0,0.0,2.0,168311.0,15851,627.0,511.0,356.0,9497.0,59.0,38.0,548,3501,2700,8462,2.35,3601,40-50,421
63,종로구,종로1.2.3.4가동,2.35,6.0,0.0,0.0,0.0,0.0,2.0,168311.0,15851,627.0,511.0,356.0,9497.0,59.0,38.0,548,3501,2700,8462,2.35,3601,50-,221
64,종로구,종로5·6가동,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7613,172.0,511.0,356.0,9497.0,59.0,38.0,548,2473,2304,5597,0.6,9328,0-5,2238
65,종로구,종로5·6가동,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7613,172.0,511.0,356.0,9497.0,59.0,38.0,548,2473,2304,5597,0.6,9328,5-10,1626
66,종로구,종로5·6가동,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7613,172.0,511.0,356.0,9497.0,59.0,38.0,548,2473,2304,5597,0.6,9328,10-15,1950
67,종로구,종로5·6가동,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7613,172.0,511.0,356.0,9497.0,59.0,38.0,548,2473,2304,5597,0.6,9328,15-20,2088
68,종로구,종로5·6가동,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7613,172.0,511.0,356.0,9497.0,59.0,38.0,548,2473,2304,5597,0.6,9328,20-30,3357
69,종로구,종로5·6가동,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7613,172.0,511.0,356.0,9497.0,59.0,38.0,548,2473,2304,5597,0.6,9328,30-40,720
70,종로구,종로5·6가동,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7613,172.0,511.0,356.0,9497.0,59.0,38.0,548,2473,2304,5597,0.6,9328,40-50,421
71,종로구,종로5·6가동,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7613,172.0,511.0,356.0,9497.0,59.0,38.0,548,2473,2304,5597,0.6,9328,50-,221
72,종로구,이화동,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289,150.0,729.0,544.0,9497.0,59.0,38.0,548,3847,4253,8621,0.78,11053,0-5,2238
